	genome_id	resistant_phenotype
274559	1280.9188	1
274571	1280.9190	1
274577	1280.9191	1
274589	1280.9193	1
274595	1280.9194	1
274601	1280.9195	1
274607	1280.9196	1
274619	1280.9198	1
274655	1280.9201	1
274667	1280.9203	1
274685	1280.9205	1
274703	1280.9208	1
274715	1280.9210	1
274733	1280.9213	1
274739	1280.9214	1
274745	1280.9215	1
274757	1280.9217	1
274769	1280.9219	1
274775	1280.9220	1
274811	1280.9227	1
274817	1280.9226	1
274823	1280.9228	1
274829	1280.9229	1
274835	1280.9230	1
274841	1280.9231	1
274859	1280.9234	1
274865	1280.9235	1
274871	1280.9236	1
274925	1280.9245	1
274962	1280.9249	1
274968	1280.9250	1
274974	1280.9251	1
274980	1280.9252	1
274987	1280.9253	1
274999	1280.9254	1
275057	1280.9263	1
275087	1280.9264	1
275114	1280.9265	1
275126	1280.7355	1
275132	1280.9267	1
275144	1280.9268	1
275176	1280.9273	1
275182	1280.9274	1
275198	1280.9276	1
275234	1280.9277	1
275289	1280.9283	1
275295	1280.9284	1
275312	1280.9287	1
275318	1280.9286	1
275324	1280.9288	1
275330	1280.9289	1
275348	1280.9292	1
275360	1280.9294	1
275384	1280.9296	1
275390	1280.9297	1
275396	1280.9298	1
275402	1280.9299	1
275475	1280.8699	1
275486	1280.8698	1
275497	1280.8701	1
275508	1280.8700	1
275519	1280.8697	1
275530	1280.9408	1
275541	1280.9409	1
275563	1280.9411	1
275574	1280.7377	1
275585	1280.7408	1
275596	1280.9412	1
275607	1280.7411	1
275618	1280.7413	1
275629	1280.8718	1
275640	1280.8736	1
275651	1280.8735	1
275662	1280.8738	1
275673	1280.8737	1
275684	1280.9413	1
275695	1280.8739	1
275706	1280.8379	1
275717	1280.9414	1
275728	1280.8456	1
275739	1280.8457	1
275750	1280.9415	1
275761	1280.9416	1
275772	1280.9417	1
275783	1280.8389	1
275794	1280.8388	1
275805	1280.9418	1
275816	1280.9419	1
275827	1280.8385	1
275838	1280.8392	1
275849	1280.9420	1
275860	1280.8569	1
275871	1280.8568	1
275882	1280.8566	1
275893	1280.8567	1
275904	1280.8564	1
275915	1280.8565	1
275926	1280.8521	1
275937	1280.8520	1
275948	1280.8522	1
275959	1280.8519	1
275970	1280.8518	1
275981	1280.8517	1
275992	1280.9421	1
276003	1280.9422	1
276014	1280.9423	1
276025	1280.8733	1
276036	1280.9424	1
276058	1280.8790	0
276069	1280.8791	0
276080	1280.9425	0
276091	1280.9427	0
276102	1280.9426	0
276124	1280.8785	0
276146	1280.9429	0
276179	1280.8799	0
276190	1280.8800	0
276201	1280.8801	0
276212	1280.9430	0
276223	1280.8803	0
276234	1280.8777	1
276245	1280.9431	0
276256	1280.8805	0
276267	1280.9432	0
276278	1280.8807	0
276289	1280.9433	0
276300	1280.9434	0
276333	1280.8812	0
276344	1280.8813	0
276355	1280.8814	0
276366	1280.9437	1
276377	1280.7908	0
276388	1280.8816	0
276399	1280.9438	0
276410	1280.9439	1
276421	1280.7912	0
276432	1280.7913	0
276443	1280.7914	0
276454	1280.7915	0
276476	1280.9440	1
276487	1280.7917	0
276498	1280.9441	0
276509	1280.9442	0
276520	1280.7920	0
276531	1280.9443	0
276542	1280.7922	1
276553	1280.7923	0
276564	1280.8773	0
276597	1280.9445	0
276608	1280.9446	0
276619	1280.7928	0
276630	1280.7929	0
276652	1280.9447	0
276663	1280.9448	0
276674	1280.7933	0
276685	1280.9449	0
276696	1280.7935	0
276707	1280.9692	0
276718	1280.7937	1
276729	1280.7938	1
276740	1280.7939	0
276751	1280.9451	0
276784	1280.9452	0
276795	1280.7944	0
276806	1280.9453	0
276828	1280.7946	0
276850	1280.7948	0
276861	1280.7949	0
276872	1280.7950	0
276883	1280.7951	0
276894	1280.9693	0
276905	1280.7953	0
276916	1280.9456	0
276927	1280.9457	0
276938	1280.9458	0
276949	1280.7957	0
276960	1280.9691	0
276971	1280.7959	0
276982	1280.8774	1
276993	1280.7960	0
277004	1280.7961	0
277015	1280.7962	0
277026	1280.9690	0
277037	1280.7964	0
277048	1280.7965	0
277059	1280.7966	0
277070	1280.9462	0
277081	1280.7968	0
277092	1280.7969	0
277103	1280.7970	0
277114	1280.9689	0
277125	1280.9694	0
277136	1280.7973	0
277147	1280.8786	0
277180	1280.9466	0
277191	1280.7977	0
277202	1280.9467	0
277213	1280.7980	0
277224	1280.7979	0
277235	1280.9700	0
