	genome.genome_id	genome.genome_name	genome.genome_status	genome.genome_length	genome.genome_quality	genome.plasmids	genome.contigs	genome.fine_consistency	genome.coarse_consistency	genome.checkm_completeness	genome.checkm_contamination
0	287.2957	Pseudomonas aeruginosa strain TNCF_167	WGS	6634570.0	Good		73.0	98.4	99.9	100.0	0.6
1	287.4311	Pseudomonas aeruginosa strain Site 7	WGS	6666345.0	Good		54.0	98.6	99.7	100.0	0.7
2	287.4334	Pseudomonas aeruginosa strain PPF-7	WGS	6870403.0	Good		81.0	98.3	99.9	100.0	0.3
3	287.4329	Pseudomonas aeruginosa strain VD564	WGS	6395928.0	Good		36.0	99.3	99.8	100.0	0.6
4	287.4344	Pseudomonas aeruginosa strain VD171	WGS	6394289.0	Good		39.0	99.0	99.8	100.0	0.3
5	287.3726	Pseudomonas aeruginosa strain SCH_ABX05	WGS	6568726.0	Good		86.0	99.0	99.7	100.0	0.3
6	287.4312	Pseudomonas aeruginosa strain 151 Assistante	WGS	6668216.0	Good		41.0	98.7	99.7	100.0	0.0
7	1341644.3	Pseudomonas aeruginosa WS136	WGS	6493088.0	Good		70.0	98.3	99.6	100.0	0.0
8	287.4343	Pseudomonas aeruginosa strain VD706	WGS	6399842.0	Good		40.0	99.3	99.8	100.0	0.0
9	287.4373	Pseudomonas aeruginosa strain env159a	WGS	6374043.0	Good		64.0	99.3	99.7	100.0	0.0
10	287.4561	Pseudomonas aeruginosa strain PA34	WGS	6302340.0	Good		17.0	99.3	99.9	100.0	0.0
11	287.4272	Pseudomonas aeruginosa strain Env_1	WGS	6407931.0	Good		95.0	99.2	99.7	100.0	0.0
12	287.2010	Pseudomonas aeruginosa strain UM-01	WGS	6267368.0	Good		77.0	99.7	99.9	100.0	0.0
13	1123015.3	Pseudomonas aeruginosa DSM 50071	Complete	6317050.0	Good		1.0	99.6	99.9	100.0	0.0
14	287.4440	Pseudomonas aeruginosa strain env101	WGS	6342230.0	Good		47.0	99.5	99.9	100.0	0.0
15	1009714.7	Pseudomonas aeruginosa PAK	WGS	6422904.0	Good		9.0	97.0	98.3	98.5	0.2
16	1051003.3	Pseudomonas aeruginosa 19BR	WGS	6742964.0	Good	0.0	1.0	98.9	99.7	100.0	0.0
17	1051004.3	Pseudomonas aeruginosa 213BR	WGS	6719211.0	Good	0.0	1.0	99.0	99.7	100.0	0.0
18	1051005.3	Pseudomonas aeruginosa 9BR	WGS	6849861.0	Good	0.0	2.0	99.0	99.7	100.0	0.0
19	1331059.3	Pseudomonas aeruginosa MSH-10	WGS	6466492.0	Good	0.0	19.0	99.4	99.9	100.0	0.0
20	1340851.3	Pseudomonas aeruginosa RP73	Complete	6342034.0	Good	0.0	1.0	99.1	99.6	99.7	0.0
21	1367494.3	Pseudomonas aeruginosa PAO1-VE13	Complete	6265484.0	Good	0.0	1.0	99.9	99.9	100.0	0.1
22	1408274.3	Pseudomonas aeruginosa LESlike1	Complete	6509070.0	Good	0.0	1.0	99.3	99.5	99.4	0.0
23	1408276.3	Pseudomonas aeruginosa LESlike5	Complete	6543350.0	Good	0.0	1.0	99.3	99.6	100.0	0.0
24	1457392.3	Pseudomonas aeruginosa PA96	Complete	6444091.0	Good		1.0	99.2	99.6	100.0	0.0
25	208964.12	Pseudomonas aeruginosa PAO1	Complete	6264404.0	Good	0.0	1.0	99.9	99.9	99.7	0.0
26	1402541.3	Pseudomonas aeruginosa Z61	WGS	6453260.0	Good	0.0	43.0	99.2	99.7	100.0	0.3
