	genome_id	resistant_phenotype
38208	1328432.3	0
38240	1328434.3	1
38255	1438684.3	1
38272	1438685.3	1
38288	1438686.3	1
38308	562.22560	1
38326	562.22782	0
38339	562.23244	0
38349	562.23267	0
38359	562.23563	0
38369	562.23560	0
38385	562.22824	0
38398	562.23245	0
38408	562.23869	1
38428	562.23807	0
38437	562.23135	0
38456	562.23529	0
38485	562.23536	0
38495	562.23759	0
38553	562.23786	0
38582	562.23166	0
38592	562.23743	0
38627	562.22687	0
38650	562.23472	0
38660	562.23510	0
38670	562.22996	0
38704	562.22639	0
38723	562.22741	0
38742	562.22764	0
38761	562.22792	0
38800	562.22780	0
38819	562.22582	1
38838	562.22791	0
38851	562.23064	0
38871	562.23165	0
38881	562.23808	0
38891	562.23285	0
38901	562.23603	0
38911	562.23630	0
38921	562.23773	0
38941	562.23892	0
38957	562.22599	0
38976	562.22675	0
38995	562.22743	0
39022	562.22503	1
39034	562.22854	1
39043	562.23788	1
39059	562.22757	0
39072	562.23216	0
39082	562.23641	0
39098	562.22464	0
39117	562.22562	0
39129	562.22835	0
39137	562.22847	1
39145	562.22860	1
39154	562.22933	1
39164	562.22997	1
39184	562.23800	1
39194	562.23494	1
39204	562.23470	1
39224	562.23391	1
39234	562.23717	0
39244	562.23721	1
39254	562.23897	0
39264	562.23878	0
39309	562.22809	0
39341	562.23298	0
39351	562.23290	0
39361	562.23697	1
39371	562.23774	0
39381	562.23906	0
39430	562.23431	0
39446	562.22590	0
39465	562.22699	0
39484	562.22716	0
39497	562.23825	0
39513	562.22449	0
39545	562.23904	0
39561	562.22466	0
39580	562.22480	0
39599	562.22453	0
39618	562.22807	0
39630	562.22862	0
39639	562.23004	0
39649	562.23514	0
39659	562.23582	0
39675	562.22505	0
39698	562.23643	0
39708	562.23142	0
39718	562.23439	0
39758	562.23101	0
39768	562.23607	0
39778	562.23728	0
39804	562.22487	0
39842	562.22580	0
39880	562.22654	0
39899	562.22667	0
39918	562.22678	0
39937	562.22740	0
39975	562.22823	0
39987	562.22883	0
39996	562.22945	0
40006	562.23223	0
40016	562.23263	0
40026	562.23873	0
40036	562.23318	0
40046	562.23424	0
40056	562.23824	0
40066	562.23344	1
40076	562.23360	0
40086	562.23407	0
40096	562.23557	0
40106	562.23686	0
40116	562.23665	0
40136	562.23780	0
40204	562.22925	0
40224	562.23019	0
40250	562.22589	0
40263	562.23787	0
40283	562.23364	0
40299	562.22628	0
40312	562.23576	0
40322	562.22970	0
40332	562.23368	0
40369	562.23177	0
40385	562.22586	1
40404	562.22765	1
40417	562.22913	0
40427	562.22918	1
40437	562.22920	1
40447	562.23928	1
40457	562.22942	1
