	genome_id	resistant_phenotype
234045	28901.13275	0
234059	28901.13325	0
234073	28901.13333	0
234087	28901.13339	0
234101	28901.13347	0
234115	28901.13364	0
234129	28901.13303	0
234143	28901.13372	0
234157	28901.13387	0
234171	28901.13394	0
234185	28901.13276	0
234199	28901.13283	0
234213	28901.13298	0
234227	28901.13278	0
234241	28901.13297	0
234255	28901.13304	0
234269	28901.13310	0
234283	28901.13279	0
234297	28901.13287	0
234311	28901.13309	0
234339	28901.13330	0
234367	28901.13343	0
234465	28901.13318	0
234521	28901.13314	0
234535	28901.13327	1
234549	28901.13382	1
234563	28901.13317	1
234577	28901.13324	1
234591	28901.13381	0
234622	28901.13389	0
234636	28901.13388	1
234650	28901.13371	0
234664	28901.13406	0
234678	28901.13392	0
234692	28901.13367	0
234706	28901.13396	0
234727	28901.13332	0
234868	28901.8199	0
234877	28901.13405	0
234891	28901.13338	0
234905	28901.13341	0
234919	28901.13342	0
234933	28901.13350	0
234947	28901.13351	0
234961	28901.13410	0
234975	28901.13348	0
235003	28901.13349	0
235017	28901.13280	0
235031	28901.13284	0
235045	28901.13344	0
235059	28901.13345	0
235073	28901.13365	0
235087	28901.13292	0
235101	28901.13307	0
235115	28901.13291	0
235129	28901.13352	0
235143	28901.13293	0
235157	28901.13355	0
235171	28901.13290	0
235185	28901.13346	0
235226	28901.13354	0
235240	28901.13357	0
235310	28901.13358	0
235492	28901.8200	1
235507	28901.8201	0
235521	28901.8202	0
235549	28901.8204	0
235563	28901.8205	1
235577	28901.8206	1
235605	28901.8208	0
235619	28901.8209	0
235633	28901.8210	0
235647	28901.8211	0
235661	28901.8212	0
235675	28901.8213	0
235689	28901.8214	0
235703	28901.8215	0
235717	28901.8216	0
235731	28901.8217	0
235745	28901.8218	0
235759	28901.8219	0
235773	28901.8220	1
235787	28901.8221	0
235829	28901.8224	1
235843	28901.8225	1
235857	28901.8226	1
235871	28901.8227	0
235885	28901.8228	0
235899	28901.8229	0
235913	28901.8230	0
235927	28901.8231	0
235941	28901.8232	0
235969	28901.8234	0
235983	28901.8235	0
235997	28901.8236	1
236011	28901.8237	0
236025	28901.8238	0
236053	28901.8240	1
236067	28901.8241	0
236081	28901.8242	0
236095	28901.8243	1
236109	28901.8244	1
236123	28901.8245	0
236137	28901.8246	0
236151	28901.8247	0
236165	28901.8248	0
236179	28901.8249	0
236207	28901.8251	0
236221	28901.8252	0
236235	28901.8253	1
236249	28901.8254	0
236263	28901.8255	1
236277	28901.8256	0
236291	28901.8257	0
236305	28901.8258	0
236319	28901.8259	0
236333	28901.8260	0
236347	28901.8261	0
236361	28901.8262	0
236375	28901.8263	1
236389	28901.8264	0
236403	28901.8265	0
236417	28901.8266	0
236431	28901.8267	0
236445	28901.8268	1
236459	28901.8269	0
236473	28901.8270	0
236487	28901.8271	0
236501	28901.8272	0
236515	28901.8273	0
236529	28901.8274	0
236543	28901.8275	0
236557	28901.8276	0
