	genome.genome_id	genome.genome_name	genome.genome_status	genome.genome_length	genome.genome_quality	genome.plasmids	genome.contigs	genome.fine_consistency	genome.coarse_consistency	genome.checkm_completeness	genome.checkm_contamination
0	72407.901	Klebsiella pneumoniae subsp. pneumoniae strain WCHKP020039	WGS	5427036.0	Good		133	98.2	99.6	100.0	0.0
1	1203545.3	Klebsiella pneumoniae subsp. pneumoniae WGLW2	WGS	5729369.0	Good	0.0	32	98.2	99.6	100.0	0.0
2	1203546.5	Klebsiella pneumoniae subsp. pneumoniae WGLW3	WGS	5518063.0	Good	0.0	23	98.0	99.5	100.0	0.0
3	1203547.3	Klebsiella pneumoniae subsp. pneumoniae WGLW5	WGS	5788283.0	Good	0.0	34	98.6	99.6	100.0	0.3
4	1226115.3	Klebsiella pneumoniae subsp. pneumoniae KpQ3	WGS	5401505.0	Good	0.0	54	97.6	99.4	100.0	0.0
5	72407.1056	Klebsiella pneumoniae subsp. pneumoniae strain 1461/2371	WGS	5640375.0	Good		146	98.0	99.6	100.0	0.0
6	72407.921	Klebsiella pneumoniae subsp. pneumoniae strain 1357/2245	WGS	5560998.0	Good		62	98.2	99.7	99.7	0.0
7	72407.1001	Klebsiella pneumoniae subsp. pneumoniae strain 1334/2217	WGS	5417700.0	Good		100	98.2	99.6	100.0	0.0
8	72407.1005	Klebsiella pneumoniae subsp. pneumoniae strain 1448/2382	WGS	5547311.0	Good		145	98.4	99.7	100.0	0.0
9	72407.1008	Klebsiella pneumoniae subsp. pneumoniae strain 1465/2377	WGS	5395444.0	Good		97	98.2	99.7	100.0	0.0
10	72407.1010	Klebsiella pneumoniae subsp. pneumoniae strain 1354/2241	WGS	5654251.0	Good		140	98.1	99.6	100.0	0.0
11	72407.1012	Klebsiella pneumoniae subsp. pneumoniae strain 1424/2329	WGS	5624698.0	Good		132	98.2	99.7	100.0	0.0
12	72407.1026	Klebsiella pneumoniae subsp. pneumoniae strain 1258/2133	WGS	5616604.0	Good		117	98.4	99.8	100.0	0.0
13	72407.1028	Klebsiella pneumoniae subsp. pneumoniae strain 1737/2713	WGS	5390814.0	Good		96	98.3	99.7	100.0	0.0
14	72407.1029	Klebsiella pneumoniae subsp. pneumoniae strain 1780/2772	WGS	5742868.0	Good		123	98.4	99.8	100.0	0.0
15	72407.1032	Klebsiella pneumoniae subsp. pneumoniae strain 1787/2780	WGS	5582668.0	Good		113	98.2	99.6	100.0	0.0
16	72407.1033	Klebsiella pneumoniae subsp. pneumoniae strain 1789/2782	WGS	5482465.0	Good		143	98.2	99.6	100.0	0.0
17	72407.1034	Klebsiella pneumoniae subsp. pneumoniae strain 1901/2915	WGS	5715696.0	Good		107	98.3	99.7	100.0	0.3
18	72407.1039	Klebsiella pneumoniae subsp. pneumoniae strain 1348/2234	WGS	5522954.0	Good		108	98.5	99.8	100.0	0.3
19	72407.1045	Klebsiella pneumoniae subsp. pneumoniae strain 1266/2142	WGS	5613842.0	Good		122	98.2	99.5	100.0	0.0
20	72407.1049	Klebsiella pneumoniae subsp. pneumoniae strain 1448/2356	WGS	5546985.0	Good		136	98.3	99.7	100.0	0.0
21	72407.1052	Klebsiella pneumoniae subsp. pneumoniae strain 1592/2530	WGS	5642116.0	Good		142	98.2	99.6	99.7	0.0
22	72407.1053	Klebsiella pneumoniae subsp. pneumoniae strain 744/1800	WGS	5399656.0	Good		97	98.4	99.8	99.7	0.0
23	72407.1062	Klebsiella pneumoniae subsp. pneumoniae strain 746/1707	WGS	5643762.0	Good		128	97.9	99.7	100.0	0.0
24	72407.1063	Klebsiella pneumoniae subsp. pneumoniae strain 1108/1989	WGS	5508438.0	Good		110	98.2	99.6	100.0	0.0
25	72407.1065	Klebsiella pneumoniae subsp. pneumoniae strain 1365/2253	WGS	5632066.0	Good		123	98.2	99.6	100.0	0.0
26	72407.1066	Klebsiella pneumoniae subsp. pneumoniae strain 912/1862	WGS	5597255.0	Good		119	98.2	99.6	100.0	0.0
27	72407.1073	Klebsiella pneumoniae subsp. pneumoniae strain 1548/2482	WGS	5531004.0	Good		104	98.2	99.6	100.0	0.0
28	72407.1074	Klebsiella pneumoniae subsp. pneumoniae strain 1589/2527	WGS	5535472.0	Good		107	98.2	99.6	100.0	0.0
29	72407.1075	Klebsiella pneumoniae subsp. pneumoniae strain 1574/2511	WGS	5635600.0	Good		127	98.2	99.6	100.0	0.0
30	72407.1084	Klebsiella pneumoniae subsp. pneumoniae strain 1396/2304	WGS	5531358.0	Good		110	98.2	99.6	100.0	0.0
31	72407.902	Klebsiella pneumoniae subsp. pneumoniae strain 738/1691,4	WGS	5609985.0	Good		137	98.2	99.9	100.0	0.0
32	72407.912	Klebsiella pneumoniae subsp. pneumoniae strain 1093/1967	WGS	5692675.0	Good		137	98.3	99.9	100.0	0.0
33	72407.913	Klebsiella pneumoniae subsp. pneumoniae strain 1164/2047	WGS	5632908.0	Good		122	98.2	99.8	100.0	0.0
34	72407.916	Klebsiella pneumoniae subsp. pneumoniae strain 1247/2119	WGS	5607636.0	Good		113	98.0	99.7	100.0	0.3
35	72407.928	Klebsiella pneumoniae subsp. pneumoniae strain 1624/2578	WGS	5597709.0	Good		78	98.3	99.8	100.0	0.0
36	72407.930	Klebsiella pneumoniae subsp. pneumoniae strain 1606/2554	WGS	5769869.0	Good		138	98.4	99.7	100.0	0.0
37	72407.932	Klebsiella pneumoniae subsp. pneumoniae strain 1723/2696	WGS	5679790.0	Good		136	98.1	99.6	100.0	0.0
38	72407.945	Klebsiella pneumoniae subsp. pneumoniae strain 1983/3063	WGS	5606954.0	Good		102	97.9	99.6	100.0	0.3
39	72407.946	Klebsiella pneumoniae subsp. pneumoniae strain 1915/2933	WGS	5583691.0	Good		103	97.9	99.7	100.0	1.3
40	72407.952	Klebsiella pneumoniae subsp. pneumoniae strain 649/1571	WGS	5625267.0	Good		83	97.9	99.6	100.0	0.7
41	72407.959	Klebsiella pneumoniae subsp. pneumoniae strain 1471/2386	WGS	5599434.0	Good		111	97.9	99.6	100.0	0.3
42	72407.961	Klebsiella pneumoniae subsp. pneumoniae strain 1356/2244	WGS	5553657.0	Good		85	98.2	99.9	100.0	0.0
43	72407.969	Klebsiella pneumoniae subsp. pneumoniae strain 1298/2179	WGS	5614549.0	Good		103	98.0	99.6	100.0	0.3
44	72407.970	Klebsiella pneumoniae subsp. pneumoniae strain 2000/3010,2	WGS	5610409.0	Good		115	97.9	99.6	100.0	0.3
45	72407.973	Klebsiella pneumoniae subsp. pneumoniae strain 2143/3182	WGS	5608532.0	Good		116	98.0	99.7	100.0	0.3
46	72407.981	Klebsiella pneumoniae subsp. pneumoniae strain 160/1080,2	WGS	5418782.0	Good		90	98.4	99.7	100.0	0.0
47	72407.986	Klebsiella pneumoniae subsp. pneumoniae strain 866/1807	WGS	5372259.0	Good		101	98.3	99.8	100.0	0.0
48	72407.989	Klebsiella pneumoniae subsp. pneumoniae strain 969/1907	WGS	5550119.0	Good		138	98.2	99.6	100.0	0.0
49	72407.991	Klebsiella pneumoniae subsp. pneumoniae strain 972/1910	WGS	5669225.0	Good		137	98.2	99.6	100.0	0.0
50	72407.994	Klebsiella pneumoniae subsp. pneumoniae strain 140/1040,2	WGS	5554895.0	Good		136	98.4	99.7	100.0	0.0
51	72407.997	Klebsiella pneumoniae subsp. pneumoniae strain 1140/2021	WGS	5623816.0	Good		136	98.3	99.7	100.0	0.0
52	1087441.3	Klebsiella pneumoniae subsp. pneumoniae KPNIH2	WGS	5724800.0	Good	0.0	147	98.2	99.6	100.0	0.0
53	1094169.3	Klebsiella pneumoniae subsp. pneumoniae KPNIH9	WGS	5720331.0	Good	0.0	115	98.2	99.6	100.0	0.0
54	72407.1093	Klebsiella pneumoniae subsp. pneumoniae strain DG7752	WGS	5586389.0	Good		107	98.3	99.7	100.0	0.0
55	72407.1094	Klebsiella pneumoniae subsp. pneumoniae strain DG7721	WGS	5589484.0	Good		78	98.2	99.6	100.0	0.0
56	72407.1096	Klebsiella pneumoniae subsp. pneumoniae strain DG7180	WGS	5625216.0	Good		117	98.4	99.8	100.0	0.0
57	72407.1098	Klebsiella pneumoniae subsp. pneumoniae strain DG7163	WGS	5666079.0	Good		132	98.4	99.9	100.0	0.7
58	72407.1099	Klebsiella pneumoniae subsp. pneumoniae strain DG7144	WGS	5671436.0	Good		107	98.5	99.8	100.0	0.0
59	72407.1102	Klebsiella pneumoniae subsp. pneumoniae strain DG6658	WGS	5568497.0	Good		81	98.2	99.6	100.0	0.0
60	72407.1104	Klebsiella pneumoniae subsp. pneumoniae strain DG8154	WGS	5638237.0	Good		99	98.0	99.6	100.0	0.0
61	72407.1105	Klebsiella pneumoniae subsp. pneumoniae strain DG8133	WGS	5635354.0	Good		83	98.0	99.6	100.0	0.0
62	72407.1106	Klebsiella pneumoniae subsp. pneumoniae strain DG7783	WGS	5632994.0	Good		84	97.9	99.6	100.0	0.0
63	72407.1109	Klebsiella pneumoniae subsp. pneumoniae strain DG7168	WGS	5621654.0	Good		77	98.2	99.8	100.0	0.0
64	72407.1111	Klebsiella pneumoniae subsp. pneumoniae strain DG6682	WGS	5630737.0	Good		74	98.0	99.6	100.0	0.0
65	72407.1112	Klebsiella pneumoniae subsp. pneumoniae strain DG6086	WGS	5585507.0	Good		81	98.4	99.6	100.0	0.0
66	72407.1115	Klebsiella pneumoniae subsp. pneumoniae strain DG6078	WGS	5633836.0	Good		73	98.0	99.6	100.0	0.0
67	72407.1119	Klebsiella pneumoniae subsp. pneumoniae strain DG5559	WGS	5591799.0	Good		67	97.9	99.6	100.0	0.0
68	72407.1120	Klebsiella pneumoniae subsp. pneumoniae strain DG5556	WGS	5610117.0	Good		131	98.3	99.6	100.0	0.0
69	72407.1122	Klebsiella pneumoniae subsp. pneumoniae strain DG6664	WGS	5631212.0	Good		116	98.5	99.8	100.0	0.0
70	72407.1255	Klebsiella pneumoniae subsp. pneumoniae strain MGF001	WGS	5613225.0	Good		121	98.0	99.6		
71	72407.106	Klebsiella pneumoniae subsp. pneumoniae strain ST258_FL	WGS	5821835.0	Good		12	98.1	99.4	100.0	0.0
72	72407.1395	Klebsiella pneumoniae subsp. pneumoniae strain NCTC7761	WGS	5353508.0	Good		3	97.3	99.2		
73	72407.108	Klebsiella pneumoniae subsp. pneumoniae strain NUHL24835	Complete	5535187.0	Good	2.0	3	98.2	99.6	100.0	0.7
74	72407.1089	Klebsiella pneumoniae subsp. pneumoniae strain SCKP040074	WGS	5522717.0	Good		82	97.3	99.5	100.0	0.0
75	72407.110	Klebsiella pneumoniae subsp. pneumoniae strain RJF293	Complete	5450593.0	Good	1.0	2	97.9	99.6	100.0	0.0
76	72407.1137	Klebsiella pneumoniae subsp. pneumoniae strain KC-Pl-HB1	Complete	5464719.0	Good	1.0	2	97.9	99.6	100.0	0.7
77	72407.1138	Klebsiella pneumoniae subsp. pneumoniae strain NUFHKp	WGS	5503597.0	Good	5.0	72	97.9	99.7	100.0	0.0
78	72407.123	Klebsiella pneumoniae subsp. pneumoniae strain TGH10	Complete	5355459.0	Good		1	98.2	99.6	100.0	0.0
79	72407.331	Klebsiella pneumoniae subsp. pneumoniae strain KPACU35	WGS	5487301.0	Good		123	97.9	99.4	100.0	0.0
80	72407.454	Klebsiella pneumoniae subsp. pneumoniae strain ATCC 9621	WGS	5561554.0	Good		66	97.3	99.4	99.7	1.0
81	72407.476	Klebsiella pneumoniae subsp. pneumoniae strain KpvST147L_NDM	WGS	5691912.0	Good	1.0	112	98.4	99.9	100.0	0.3
82	72407.719	Klebsiella pneumoniae subsp. pneumoniae strain 33UCLB_AMP_LB	WGS	5631613.0	Good		57	98.2	99.6	100.0	0.0
83	72407.722	Klebsiella pneumoniae subsp. pneumoniae strain 43UCKPCBLUE1_LB	WGS	5555571.0	Good		122	98.4	99.7	100.0	0.0
84	72407.729	Klebsiella pneumoniae subsp. pneumoniae strain 43UCKPC_BLUE1PLATE	WGS	5560178.0	Good		131	98.4	99.7	100.0	0.0
85	72407.84	Klebsiella pneumoniae subsp. pneumoniae strain ST101:950171785	WGS	5708196.0	Good		129	97.8	99.5	100.0	0.7
86	72407.90	Klebsiella pneumoniae subsp. pneumoniae strain ST101:950173000	WGS	5700065.0	Good		114	98.1	99.5	100.0	0.3
87	72407.900	Klebsiella pneumoniae subsp. pneumoniae strain GD4	Complete	5537629.0	Good	1.0	2	98.3	99.6	100.0	0.0
88	72407.1153	Klebsiella pneumoniae subsp. pneumoniae strain R3643	WGS	5522050.0	Good		87	98.0	99.8		
89	72407.1157	Klebsiella pneumoniae subsp. pneumoniae strain R2589	WGS	5538760.0	Good		86	98.0	99.8		
90	72407.1159	Klebsiella pneumoniae subsp. pneumoniae strain U508	WGS	5572336.0	Good		90	97.9	99.8		
91	72407.1161	Klebsiella pneumoniae subsp. pneumoniae strain C794	WGS	5544135.0	Good		85	98.0	99.8		
92	72407.1162	Klebsiella pneumoniae subsp. pneumoniae strain P781	WGS	5662739.0	Good		101	97.6	99.7		
93	72407.1164	Klebsiella pneumoniae subsp. pneumoniae strain U4350	WGS	5537545.0	Good		78	97.8	99.8		
94	72407.1166	Klebsiella pneumoniae subsp. pneumoniae strain B2595	WGS	5540262.0	Good		85	98.0	99.8		
95	72407.1167	Klebsiella pneumoniae subsp. pneumoniae strain C1072	WGS	5662300.0	Good		116	97.7	99.4		
96	72407.1175	Klebsiella pneumoniae subsp. pneumoniae strain R4462	WGS	5832893.0	Good		145	97.8	99.8		
97	72407.1176	Klebsiella pneumoniae subsp. pneumoniae strain B1305	WGS	5537025.0	Good		82	97.9	99.8		
98	72407.479	Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864852	WGS	5330767.0	Good		54	97.8	99.4	100.0	0.0
99	72407.482	Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864737	WGS	5475183.0	Good		75	97.3	99.0	99.7	0.0
100	72407.484	Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864845	WGS	5796261.0	Good		78	97.1	99.4	100.0	0.0
101	72407.485	Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864748	WGS	5839704.0	Good		70	97.3	99.4	100.0	0.0
102	72407.486	Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864851	WGS	5666451.0	Good		56	98.0	99.4	99.5	0.7
103	72407.494	Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864839	WGS	5789613.0	Good		84	97.2	99.4	100.0	0.0
104	72407.497	Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864848	WGS	5795165.0	Good		80	97.2	99.3	99.7	0.3
105	72407.498	Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864830	WGS	5615813.0	Good		71	97.4	99.4	100.0	0.3
106	72407.501	Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864831	WGS	5491392.0	Good		100	97.8	99.3	99.7	0.3
107	72407.504	Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864834	WGS	5667571.0	Good		53	98.0	99.6	100.0	0.3
108	72407.506	Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864849	WGS	5794221.0	Good		78	97.3	99.3	100.0	0.3
109	72407.510	Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864927	WGS	5568042.0	Good		68	97.6	99.5	100.0	0.0
110	72407.511	Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864752	WGS	5832651.0	Good		109	98.3	99.5	100.0	0.2
111	72407.512	Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864736	WGS	5436516.0	Good		40	98.0	99.3	99.7	0.0
