	genome.genome_id	genome.genome_name	genome.genome_status	genome.genome_length	genome.genome_quality	genome.plasmids	genome.contigs	genome.fine_consistency	genome.coarse_consistency	genome.checkm_completeness	genome.checkm_contamination
0	32022.567	Campylobacter jejuni subsp. jejuni strain CFSAN065343	WGS	1685694	Good		37	99.6	99.8	100.0	0.6
1	32022.157	Campylobacter jejuni subsp. jejuni strain P9-2209	WGS	1656947	Good		69	99.5	99.9	100.0	0.3
2	32022.220	Campylobacter jejuni subsp. jejuni strain 14980A	Complete	1759887	Good	1.0	2	99.3	99.7	100.0	0.0
3	1357994.3	Campylobacter jejuni subsp. jejuni 00-2425	Complete	1718980	Good	0.0	1	99.9	100.0	100.0	0.0
4	1380767.3	Campylobacter jejuni subsp. jejuni 00-2426	Complete	1615143	Good	0.0	1	99.9	100.0	100.0	0.0
5	1201032.3	Campylobacter jejuni subsp. jejuni PT14	Complete	1622145	Good	0.0	1	99.9	100.0	100.0	0.0
6	1383068.3	Campylobacter jejuni subsp. jejuni 00-2544	Complete	1710056	Good	1.0	2	99.8	99.9	100.0	0.0
7	32022.537	Campylobacter jejuni subsp. jejuni strain CFSAN065371	WGS	1665892	Good		34	99.8	99.9	100.0	0.0
8	32022.557	Campylobacter jejuni subsp. jejuni strain CFSAN065391	WGS	1670670	Good		40	99.8	99.9	100.0	0.0
9	32022.279	Campylobacter jejuni subsp. jejuni strain CJ069CC21	WGS	1722019	Good	1.0	20	99.7	99.9	100.0	0.0
10	32022.609	Campylobacter jejuni subsp. jejuni strain CFSAN065334	WGS	1700593	Good		22	99.7	99.8	100.0	0.0
11	32022.610	Campylobacter jejuni subsp. jejuni strain CFSAN065333	WGS	1701738	Good		21	99.7	99.8	100.0	0.0
12	32022.549	Campylobacter jejuni subsp. jejuni strain CFSAN065319	WGS	1721410	Good		48	99.7	99.9	100.0	0.0
13	32022.595	Campylobacter jejuni subsp. jejuni strain CFSAN065354	WGS	1758887	Good		21	99.7	99.9	100.0	0.0
14	32022.559	Campylobacter jejuni subsp. jejuni strain CFSAN065387	WGS	1728151	Good		35	99.6	99.8	100.0	0.0
15	32022.629	Campylobacter jejuni subsp. jejuni strain CFSAN065305	WGS	1758306	Good		37	99.6	99.7	100.0	0.0
16	360111.4	Campylobacter jejuni subsp. jejuni CF93-6	WGS	1676304	Good	0.0	14	99.4	99.8	100.0	0.0
17	1385723.3	Campylobacter jejuni subsp. jejuni NCTC 11168-Kf1	Complete	1641480	Good		1	99.9	100.0	100.0	0.0
18	192222.6	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	Complete	1641481	Good	0.0	1	99.9	100.0	100.0	0.0
19	32022.687	Campylobacter jejuni subsp. jejuni strain NCTC12109	Complete	1653145	Good		1	99.9	100.0		
20	32022.145	Campylobacter jejuni subsp. jejuni strain 00-1597	Complete	1742047	Good		1	99.7	99.8	100.0	0.0
21	32022.156	Campylobacter jejuni subsp. jejuni strain C2-5524	WGS	1740321	Good		78	99.3	99.6	100.0	0.0
22	32022.221	Campylobacter jejuni subsp. jejuni strain MTVDSCj07	Complete	1652714	Good		1	99.9	100.0	100.0	0.0
23	32022.293	Campylobacter jejuni subsp. jejuni strain FDAARGOS_263	Complete	1641468	Good		1	99.9	100.0	100.0	0.0
24	32022.295	Campylobacter jejuni subsp. jejuni strain FDAARGOS_266	Complete	1620455	Good		1	100.0	100.0	100.0	0.0
25	32022.525	Campylobacter jejuni subsp. jejuni strain CFSAN065413	WGS	1752409	Good		31	99.6	99.7	100.0	0.6
26	32022.536	Campylobacter jejuni subsp. jejuni strain CFSAN065404	WGS	1710363	Good		30	99.5	99.9	100.0	0.6
27	32022.546	Campylobacter jejuni subsp. jejuni strain CFSAN065397	WGS	1719314	Good		37	99.9	99.9	100.0	0.0
28	32022.550	Campylobacter jejuni subsp. jejuni strain CFSAN065394	WGS	1670585	Good		41	99.8	99.9	100.0	0.0
29	32022.555	Campylobacter jejuni subsp. jejuni strain CFSAN065392	WGS	1728428	Good		35	99.7	99.8	100.0	0.0
30	32022.556	Campylobacter jejuni subsp. jejuni strain CFSAN065393	WGS	1729361	Good		39	99.6	99.8	100.0	0.0
31	32022.564	Campylobacter jejuni subsp. jejuni strain CFSAN065386	WGS	1727803	Good		41	99.6	99.8	100.0	0.0
32	32022.568	Campylobacter jejuni subsp. jejuni strain CFSAN065383	WGS	1750742	Good		38	99.7	99.9	100.0	0.0
33	32022.575	Campylobacter jejuni subsp. jejuni strain CFSAN065377	WGS	1708257	Good		24	99.7	99.9	100.0	0.0
34	32022.586	Campylobacter jejuni subsp. jejuni strain CFSAN065363	WGS	1665294	Good		32	99.6	99.9	100.0	0.0
35	32022.588	Campylobacter jejuni subsp. jejuni strain CFSAN065314	WGS	1635220	Good		29	99.9	100.0	100.0	0.0
36	32022.597	Campylobacter jejuni subsp. jejuni strain CFSAN065352	WGS	1722229	Good		26	99.8	99.9	100.0	0.0
37	32022.598	Campylobacter jejuni subsp. jejuni strain CFSAN065351	WGS	1722346	Good		29	99.8	99.9	100.0	0.0
38	32022.600	Campylobacter jejuni subsp. jejuni strain CFSAN065349	WGS	1686062	Good		28	99.9	99.9	100.0	0.0
39	32022.602	Campylobacter jejuni subsp. jejuni strain CFSAN065340	WGS	1683564	Good		27	99.8	99.9	100.0	0.0
40	32022.607	Campylobacter jejuni subsp. jejuni strain CFSAN065336	WGS	1649862	Good		21	99.8	99.9	100.0	0.0
41	32022.612	Campylobacter jejuni subsp. jejuni strain CFSAN065332	WGS	1710322	Good		32	99.6	99.8	100.0	0.0
42	32022.620	Campylobacter jejuni subsp. jejuni strain CFSAN065313	WGS	1633367	Good		29	99.9	100.0	100.0	0.0
43	32022.624	Campylobacter jejuni subsp. jejuni strain CFSAN065307	WGS	1747568	Good		51	99.4	99.6	100.0	0.0
44	32022.631	Campylobacter jejuni subsp. jejuni strain CFSAN065300	WGS	1683415	Good		32	99.9	100.0	100.0	0.0
45	32022.633	Campylobacter jejuni subsp. jejuni strain CFSAN065312	WGS	1656094	Good		30	99.8	99.9	100.0	0.0
46	32022.653	Campylobacter jejuni subsp. jejuni strain NCTC11168	Complete	1641464	Good		1	99.9	100.0	100.0	0.0
47	32022.655	Campylobacter jejuni subsp. jejuni strain NCTC11827	WGS	1637237	Good		2	99.8	99.9	100.0	0.6
48	360108.4	Campylobacter jejuni subsp. jejuni 260.94	WGS	1657846	Good	0.0	10	99.7	99.9	100.0	0.0
49	645464.3	Campylobacter jejuni subsp. jejuni M1	Complete	1616648	Good	0.0	1	99.3	99.9	100.0	0.6
50	889236.3	Campylobacter jejuni subsp. jejuni LMG 9872	WGS	1620398	Good	0.0	91	99.7	99.8	100.0	0.6
51	32022.534	Campylobacter jejuni subsp. jejuni strain CFSAN065370	WGS	1612492	Good		22	99.9	99.9	100.0	0.0
52	32022.587	Campylobacter jejuni subsp. jejuni strain CFSAN065362	WGS	1676939	Good		20	99.9	99.9	100.0	0.0
53	32022.594	Campylobacter jejuni subsp. jejuni strain CFSAN065355	WGS	1633437	Good		32	99.9	99.9	100.0	0.6
54	32022.276	Campylobacter jejuni subsp. jejuni strain CJ035CC21	WGS	1625708	Good		17	99.9	100.0	100.0	0.0
55	32022.878	Campylobacter jejuni subsp. jejuni strain OBT12393	Complete	1627623	Good	0.0	1	98.9	99.0		
56	32022.859	Campylobacter jejuni subsp. jejuni strain LDG21f	WGS	1714537	Good	0.0	29	98.8	99.1		
57	32022.860	Campylobacter jejuni subsp. jejuni strain LDG60m	WGS	1711678	Good	0.0	21	98.7	98.7		
58	32022.862	Campylobacter jejuni subsp. jejuni strain LDGmimi	WGS	1679278	Good	0.0	46	98.6	99.1		
59	32022.865	Campylobacter jejuni subsp. jejuni strain LDG784	WGS	1672420	Good	0.0	19	98.9	99.0		
60	32022.688	Campylobacter jejuni subsp. jejuni strain NCTC10983	Complete	1641302	Good		1	99.9	100.0		
61	32022.893	Campylobacter jejuni subsp. jejuni strain BP18682	Complete	1728842	Good	1.0	2	97.7	99.8		
62	32022.857	Campylobacter jejuni subsp. jejuni strain CITCj625-18	WGS	1636085	Good	0.0	60	99.0	99.0		
63	32022.885	Campylobacter jejuni subsp. jejuni strain CITCj727-18	WGS	1640064	Good	0.0	52	100.0	100.0		
64	32022.868	Campylobacter jejuni subsp. jejuni strain 816	WGS	1614679	Good	0.0	12	99.0	99.0		
65	32022.873	Campylobacter jejuni subsp. jejuni strain 9581	WGS	1683533	Good	0.0	14	98.9	99.0		
66	32022.890	Campylobacter jejuni subsp. jejuni strain 81-176	WGS	1655001	Good	0.0	2	99.9	100.0		
67	1380768.3	Campylobacter jejuni subsp. jejuni 00-2538	Complete	1664792	Good	0.0	1	99.9	100.0	100.0	0.0
68	32022.288	Campylobacter jejuni subsp. jejuni strain CJ505CC21	WGS	1717673	Good	1.0	12	99.9	100.0	100.0	0.0
69	32022.572	Campylobacter jejuni subsp. jejuni strain CFSAN065346	WGS	1624676	Good		30	99.9	100.0	100.0	0.0
70	32022.621	Campylobacter jejuni subsp. jejuni strain CFSAN065323	WGS	1635838	Good		25	99.9	100.0	100.0	0.0
71	718271.4	Campylobacter jejuni subsp. jejuni S3	Complete	1724586	Good	1.0	2	99.8	99.9	100.0	0.0
72	32022.294	Campylobacter jejuni subsp. jejuni strain FDAARGOS_265	Complete	1696130	Good	1.0	2	99.8	99.9	100.0	0.0
73	32022.287	Campylobacter jejuni subsp. jejuni strain CJ506CC21	WGS	1703992	Good	1.0	19	99.8	99.9	100.0	0.0
74	32022.551	Campylobacter jejuni subsp. jejuni strain CFSAN065395	WGS	1669445	Good		42	99.8	99.9	100.0	0.0
75	32022.560	Campylobacter jejuni subsp. jejuni strain CFSAN065389	WGS	1667493	Good		36	99.8	99.9	100.0	0.0
76	32022.531	Campylobacter jejuni subsp. jejuni strain CFSAN065406	WGS	1639872	Good		25	99.8	100.0	100.0	0.0
77	32022.155	Campylobacter jejuni subsp. jejuni strain P5-2209	WGS	1658719	Good		48	99.7	99.9	100.0	0.0
78	32022.613	Campylobacter jejuni subsp. jejuni strain CFSAN065330	WGS	1757062	Good		37	99.6	99.6	100.0	0.0
79	32022.625	Campylobacter jejuni subsp. jejuni strain CFSAN065310	WGS	1768408	Good		39	99.6	99.6	100.0	0.0
80	1111072.3	Campylobacter jejuni subsp. jejuni xy259	WGS	1709783	Good	0.0	68	99.7	100.0	100.0	1.3
81	1211776.3	Campylobacter jejuni subsp. jejuni NCTC 11168-BN148	Complete	1641481	Good	0.0	1	99.9	100.0	100.0	0.0
82	1295400.3	Campylobacter jejuni subsp. jejuni ICDCCJ07004	WGS	1695092	Good	0.0	73	99.7	99.9	100.0	0.0
83	1340842.3	Campylobacter jejuni subsp. jejuni str. RM3420	Complete	1666780	Good		1	99.9	99.9	100.0	0.0
84	1385722.3	Campylobacter jejuni subsp. jejuni NCTC 11168-mfK12E5	Complete	1641469	Good		1	99.9	100.0	100.0	0.0
85	1408176.3	Campylobacter jejuni subsp. jejuni F38011	Complete	1691939	Good		1	99.3	99.9	100.0	1.3
86	32022.684	Campylobacter jejuni subsp. jejuni strain CLB104	Complete	1754322	Good		1	99.9	99.9		
87	567106.3	Campylobacter jejuni subsp. jejuni IA3902	Complete	1672219	Good	1.0	2	99.8	99.9	100.0	0.0
88	32022.578	Campylobacter jejuni subsp. jejuni strain CFSAN065368	WGS	1720872	Good		41	99.5	99.7	100.0	0.0
89	32022.582	Campylobacter jejuni subsp. jejuni strain CFSAN065364	WGS	1773927	Good		37	99.5	99.7	100.0	0.0
90	32022.618	Campylobacter jejuni subsp. jejuni strain CFSAN065325	WGS	1631960	Good		34	99.8	99.9	100.0	0.0
91	32022.149	Campylobacter jejuni subsp. jejuni strain 35925B2	Complete	1612378	Good		1	100.0	100.0	100.0	0.0
92	32022.152	Campylobacter jejuni subsp. jejuni strain C10-448	WGS	1772775	Good		77	99.3	99.4	100.0	0.0
93	32022.153	Campylobacter jejuni subsp. jejuni strain C12-5524	WGS	1747984	Good		78	99.3	99.6	100.0	0.0
94	32022.219	Campylobacter jejuni subsp. jejuni strain RM1285	Complete	1675112	Good		1	99.9	99.9	100.0	0.0
95	32022.286	Campylobacter jejuni subsp. jejuni strain CJ503CC21	WGS	1690057	Good	1.0	23	99.9	100.0	100.0	0.0
96	32022.532	Campylobacter jejuni subsp. jejuni strain CFSAN065322	WGS	1634654	Good		29	99.9	99.9	100.0	0.0
97	32022.533	Campylobacter jejuni subsp. jejuni strain CFSAN065408	WGS	1742771	Good		40	99.6	99.6	100.0	0.0
98	32022.544	Campylobacter jejuni subsp. jejuni strain CFSAN065372	WGS	1725677	Good		33	99.6	99.6	100.0	0.0
99	32022.552	Campylobacter jejuni subsp. jejuni strain CFSAN065373	WGS	1706072	Good		24	99.6	99.8	100.0	0.0
100	32022.558	Campylobacter jejuni subsp. jejuni strain CFSAN065390	WGS	1667257	Good		36	99.7	99.9	100.0	0.0
101	32022.562	Campylobacter jejuni subsp. jejuni strain CFSAN065385	WGS	1748159	Good		34	99.7	99.9	100.0	0.0
102	32022.577	Campylobacter jejuni subsp. jejuni strain CFSAN065342	WGS	1706137	Good		80	99.3	99.7	100.0	0.6
