genome.genome_id	genome.genome_name	genome.genome_status	genome.genome_length	genome.genome_quality	genome.plasmids	genome.contigs	genome.fine_consistency	genome.coarse_consistency	genome.checkm_completeness	genome.checkm_contamination
46170.620	Staphylococcus aureus subsp. aureus strain M6KS0367_3	WGS	2717059	Good		22	99.8	100	100	0.6
46170.241	Staphylococcus aureus subsp. aureus strain 1450/94	WGS	2938835	Good		29	99.5	100	100	0.6
46170.602	Staphylococcus aureus subsp. aureus strain M6KS0073_1	WGS	2830538	Good		45	99.8	100	100	0
46170.594	Staphylococcus aureus subsp. aureus strain M1KS0564_1	WGS	2738090	Good		58	99.5	99.9	100	0
46170.634	Staphylococcus aureus subsp. aureus strain M6KS0564_2	WGS	2737850	Good		57	99.5	99.9	100	0
1116218.3	Staphylococcus aureus subsp. aureus VRS5	WGS	2919993	Good	0	96	99.9	100	100	0
1116223.3	Staphylococcus aureus subsp. aureus VRS10	WGS	3014923	Good	0	66	99.9	100	100	0.6
1134842.3	Staphylococcus aureus subsp. aureus CM05	WGS	2837839	Good	0	136	99.8	100	100	0
1137129.3	Staphylococcus aureus subsp. aureus 091751	WGS	2824513	Good	0	132	99.9	99.9	99.4	0
1137133.3	Staphylococcus aureus subsp. aureus MRGR3	WGS	3003332	Good	0	112	99.7	99.9	100	0
1155084.3	Staphylococcus aureus subsp. aureus 71193	Complete	2715000	Good	0	1	99.7	100	100	0
1169408.3	Staphylococcus aureus subsp. aureus PSP1996	WGS	2901359	Good	0	106	99.2	99.9	100	0.9
1194085.3	Staphylococcus aureus subsp. aureus SA40	Complete	2728308	Good	0	1	100	100	100	0
1203553.3	Staphylococcus aureus subsp. aureus KPL1845	WGS	2769559	Good	0	30	99.9	100	100	0
1216363.3	Staphylococcus aureus subsp. aureus 06BA18369	WGS	2865757	Good	0	59	99.9	100	100	0.6
1288493.3	Staphylococcus aureus subsp. aureus S1800	WGS	2738393	Good	0	401	99.8	99.8	99.4	0
1288907.3	Staphylococcus aureus subsp. aureus S1805	WGS	2755866	Good	0	125	100	100	100	0
1323662.3	Staphylococcus aureus subsp. aureus PS187	WGS	2781079	Good	0	18	97.3	99.8	100	5.2
1343064.3	Staphylococcus aureus subsp. aureus ST772-MRSA-V	WGS	2741418	Good	0	70	100	100	100	0
1368166.3	Staphylococcus aureus subsp. aureus SA268	Complete	2833899	Good		1	99.9	100	100	0
1392476.3	Staphylococcus aureus subsp. aureus 6850	Complete	2736560	Good	0	1	99.9	100	100	1.2
1424301.3	Staphylococcus aureus subsp. aureus ST 1413 strain 10S	WGS	2775894	Good	0	300	95.3	99	96.2	5.2
1453869.3	Staphylococcus aureus subsp. aureus 301-188	WGS	2762484	Good	0	40	99.7	100	100	0
282459.5	Staphylococcus aureus subsp. aureus MSSA476	Complete	2820454	Good	1	2	100	100	100	0
904747.3	Staphylococcus aureus subsp. aureus 21266	WGS	2712127	Good	0	27	99.1	100	100	1.3
904780.3	Staphylococcus aureus subsp. aureus IS-99	WGS	2910585	Good	0	91	98.2	99.9	100	0.6
1295139.3	Staphylococcus aureus subsp. aureus JCM 2151	WGS	2677311	Good		47	82.6	99.6	100	41.7
46170.84	Staphylococcus aureus subsp. aureus UAMS-1	WGS	2763963	Good		2	99.6	99.7	98.1	0
367830.75	Staphylococcus aureus subsp. aureus USA300 strain NRS384 strain USA300 NRS384	WGS	2880326	Good	2	3	100	100	100	0
46170.101	Staphylococcus aureus subsp. aureus strain SA0520	WGS	2819947	Good		440	97	100	99.4	8.2
46170.104	Staphylococcus aureus subsp. aureus strain MM66	WGS	3002171	Good		90	99.3	100	100	2.5
46170.106	Staphylococcus aureus subsp. aureus strain MV8	WGS	3032613	Good		81	98.2	99.7	100	2.2
46170.110	Staphylococcus aureus subsp. aureus strain MRSA_P7	WGS	2808340	Good		101	99.9	100	100	0
46170.112	Staphylococcus aureus subsp. aureus strain MRSA_P1	WGS	2840742	Good		180	99.9	100	100	0
46170.125	Staphylococcus aureus subsp. aureus strain HG003	WGS	2797898	Good		19	99.9	100	100	0
46170.128	Staphylococcus aureus subsp. aureus strain FRI137	WGS	2811023	Good		74	99.5	99.9	100	0.6
46170.129	Staphylococcus aureus subsp. aureus strain CCM5757	WGS	2914989	Good	2	163	99	100	100	2.5
46170.131	Staphylococcus aureus subsp. aureus strain SA-085	WGS	2745368	Good		196	99.7	100	100	0
46170.133	Staphylococcus aureus subsp. aureus strain SA-083	WGS	2792320	Good		98	98.9	99.8	100	4.2
46170.136	Staphylococcus aureus subsp. aureus strain FRI1151m	WGS	2740099	Good	1	81	99.6	100	100	3.1
46170.139	Staphylococcus aureus subsp. aureus strain SA-038	WGS	2817763	Good	1	91	99.6	99.9	100	0
46170.141	Staphylococcus aureus subsp. aureus strain SA-067	WGS	2852110	Good	1	203	98.9	99.9	100	4.2
46170.143	Staphylococcus aureus subsp. aureus strain B6	WGS	2830424	Good	1	71	98.7	99.9	100	4.9
46170.152	Staphylococcus aureus subsp. aureus strain Alex455	WGS	2548625	Good		628	96.6	99.4	99.4	6.8
46170.156	Staphylococcus aureus subsp. aureus strain MRSA_S8	WGS	2885017	Good		34	99.9	100	100	0
46170.161	Staphylococcus aureus subsp. aureus strain MRSA_S18	WGS	2882492	Good		24	100	100	100	0
46170.164	Staphylococcus aureus subsp. aureus strain MRSA_S7	WGS	2893900	Good		28	99.9	100	100	0
46170.167	Staphylococcus aureus subsp. aureus strain MRSA_S28	WGS	2923312	Good		29	100	100	100	0
46170.169	Staphylococcus aureus subsp. aureus strain MRSA_S13	WGS	2851839	Good		30	99.9	100	100	0
46170.183	Staphylococcus aureus subsp. aureus strain Gv88	Complete	2990923	Good	1	2	99.7	100	100	1.9
46170.184	Staphylococcus aureus subsp. aureus strain HC1340	Complete	3046545	Good		1	99.8	100	100	0
46170.185	Staphylococcus aureus subsp. aureus strain HC1335	Complete	2976370	Good		1	99.9	100	100	0.6
46170.239	Staphylococcus aureus subsp. aureus strain 137/93A	WGS	2987014	Good	1	36	99.3	100	100	0
46170.242	Staphylococcus aureus subsp. aureus strain SA12-148	WGS	2684634	Good		24	99.8	100	100	0
46170.243	Staphylococcus aureus subsp. aureus strain SA15-166	WGS	2745369	Good		29	99.8	100	100	0
46170.246	Staphylococcus aureus subsp. aureus strain 1971.CO1	Complete	2959940	Good	2	3	96.9	99.9	100	7.6
46170.277	Staphylococcus aureus subsp. aureus strain 3020.CO1	Complete	2953199	Good	1	2	98.2	99.9	100	1.9
46170.288	Staphylococcus aureus subsp. aureus strain E154	Complete	2841399	Good	2	3	99.7	100	100	0
46170.304	Staphylococcus aureus subsp. aureus strain ATCC 6538	Complete	2800610	Good	1	2	100	100	100	1.2
46170.339	Staphylococcus aureus subsp. aureus strain TW01	WGS	2883703	Good		47	100	100	100	0.6
46170.341	Staphylococcus aureus subsp. aureus strain TW02	WGS	2883548	Good		40	99.9	100	100	0
46170.342	Staphylococcus aureus subsp. aureus strain TW03	WGS	2881366	Good		40	100	100	100	0
46170.349	Staphylococcus aureus subsp. aureus strain TW07_4	WGS	2879970	Good		43	100	100	100	0
46170.356	Staphylococcus aureus subsp. aureus strain TW13	WGS	2881305	Good		55	100	100	100	0
46170.357	Staphylococcus aureus subsp. aureus strain TW15	WGS	2876389	Good		44	100	100	100	0
46170.358	Staphylococcus aureus subsp. aureus strain TW23	WGS	2916521	Good		42	99.9	100	100	0
46170.361	Staphylococcus aureus subsp. aureus strain TW19	WGS	2924959	Good		39	100	100	100	0
46170.363	Staphylococcus aureus subsp. aureus strain TW20	WGS	2878904	Good		41	100	100	100	0
46170.364	Staphylococcus aureus subsp. aureus strain TW21	WGS	2870973	Good		47	100	100	100	0.6
46170.365	Staphylococcus aureus subsp. aureus strain TW22	WGS	2969153	Good		61	100	100	100	0
46170.500	Staphylococcus aureus subsp. aureus strain OXLIM	Complete	2872769	Good		1	99.9	100	100	0
46170.558	Staphylococcus aureus subsp. aureus strain M1KS0088_2	WGS	2777420	Good		42	100	100	100	0
46170.560	Staphylococcus aureus subsp. aureus strain M1KS0094_3	WGS	2671417	Good		41	100	100	100	0
46170.561	Staphylococcus aureus subsp. aureus strain M1KS0094_4	WGS	2670918	Good		37	100	100	100	0
46170.564	Staphylococcus aureus subsp. aureus strain M1KS0165_3	WGS	2770710	Good		25	99.9	100	100	0
46170.566	Staphylococcus aureus subsp. aureus strain M1KS0165_1	WGS	2776495	Good		28	99.9	100	100	0
46170.569	Staphylococcus aureus subsp. aureus strain M1KS0176_2	WGS	2747015	Good		47	99.8	100	100	0
46170.571	Staphylococcus aureus subsp. aureus strain M1KS0260_2	WGS	2586782	Good		35	97.8	98.3	94.3	3.2
46170.572	Staphylococcus aureus subsp. aureus strain M1KS0265_1	WGS	2684375	Good		38	99.9	100	100	0
46170.579	Staphylococcus aureus subsp. aureus strain M1KS0391_2	WGS	2821598	Good		55	99.8	100	100	0
46170.581	Staphylococcus aureus subsp. aureus strain M1KS0501_2	WGS	2804602	Good		41	100	100	100	0
46170.582	Staphylococcus aureus subsp. aureus strain M1KS0526_1	WGS	2736096	Good		26	99.7	100	100	0
46170.583	Staphylococcus aureus subsp. aureus strain M1KS0501_3	WGS	2806043	Good		50	100	100	100	0
46170.584	Staphylococcus aureus subsp. aureus strain M1KS0526_2	WGS	2735166	Good		25	99.9	100	100	0
46170.597	Staphylococcus aureus subsp. aureus strain M1KS0584_1	WGS	2794278	Good		61	99.8	100	100	0
46170.598	Staphylococcus aureus subsp. aureus strain M1KS0584_4	WGS	2795032	Good		72	99.8	100	100	0
46170.599	Staphylococcus aureus subsp. aureus strain M1KS0584_2	WGS	2789104	Good		47	99.8	100	100	0
46170.601	Staphylococcus aureus subsp. aureus strain M1KS0591_2	WGS	2793269	Good		50	99.7	100	100	0
46170.606	Staphylococcus aureus subsp. aureus strain M6KS0094_1	WGS	2794816	Good		46	99.9	100	100	0
46170.610	Staphylococcus aureus subsp. aureus strain M6KS0165_2	WGS	2771155	Good		25	99.9	100	100	0
46170.611	Staphylococcus aureus subsp. aureus strain M6KS0260_1	WGS	2754305	Good		40	99.9	100	100	0
46170.613	Staphylococcus aureus subsp. aureus strain M6KS0260_2	WGS	2728342	Good		65	99.6	99.9	97.5	0.6
46170.621	Staphylococcus aureus subsp. aureus strain M6KS0367_2	WGS	2763217	Good		57	100	100	100	0.6
46170.623	Staphylococcus aureus subsp. aureus strain M6KS0391_1	WGS	2824955	Good		68	99.8	100	100	0
46170.628	Staphylococcus aureus subsp. aureus strain M6KS0526_2	WGS	2870401	Good		52	99.7	99.8	100	0
46170.629	Staphylococcus aureus subsp. aureus strain M6KS0528_1	WGS	2692961	Good		37	100	100	100	0
46170.630	Staphylococcus aureus subsp. aureus strain M6KS0528_2	WGS	2692781	Good		33	100	100	100	0
46170.632	Staphylococcus aureus subsp. aureus strain M6KS0560_2	WGS	2759344	Good		25	99.9	100	100	0
46170.636	Staphylococcus aureus subsp. aureus strain M6KS0584_2	WGS	2788301	Good		42	99.8	100	100	0
