genome.genome_id	genome.genome_name	genome.genome_status	genome.genome_length	genome.genome_quality	genome.plasmids	genome.contigs	genome.fine_consistency	genome.coarse_consistency	genome.checkm_completeness	genome.checkm_contamination
1412492.3	Salmonella enterica subsp. enterica serovar Enteritidis str. SA20095440	Complete	4685537	Good		1	74.3	75.3	67.2	0
1412534.3	Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120685	Complete	4685746	Good		1	74.4	75	67.8	0.4
1412481.3	Salmonella enterica subsp. enterica serovar Enteritidis str. SA20100239	Complete	4685695	Good		1	71.8	72	46.5	0
1412517.3	Salmonella enterica subsp. enterica serovar Enteritidis str. SA20090419	Complete	4685809	Good		1	78.3	78.4	29.6	0.9
1029979.3	Salmonella enterica subsp. enterica serovar Pullorum str. ATCC 9120	WGS	4722009	Good	0	305	96.2	99.3	100	6.4
1412569.3	Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120994	Complete	4685775	Good		1	82.4	83.2	73.3	0
90370.2249	Salmonella enterica subsp. enterica serovar Typhi strain ISP_03_07467_SGB110-sc-1979083	Complete	5008887	Good	1	2	97	99.6	100	2.1
90371.2596	Salmonella enterica subsp. enterica serovar Typhimurium strain y06	WGS	4980919	Good		161	96.7	99.9	100	2.1
1412528.3	Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120213	Complete	4684981	Good		1	91.6	92.4	88.6	0
1242098.3	Salmonella enterica subsp. enterica serovar India str. SA20085604 strain SA20085604	Complete	5868736	Good	1	2	98.2	99.6	100	4.4
1054950.3	Salmonella enterica subsp. enterica serovar Heidelberg str. SARA 39	WGS	5056213	Good		177	97.1	99.3	99.7	0.8
1412595.3	Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121178	Complete	4949105	Good		1	96.4	97.3	96.8	0.1
1412594.3	Salmonella enterica subsp. enterica serovar Enteritidis str. EC20121177	Complete	4942739	Good		1	95.9	97.1	98.5	0.5
1008297.7	Salmonella enterica subsp. enterica serovar Typhimurium str. 798	Complete	4970096	Good	1	2	98.5	99.6	100	1.4
1412478.3	Salmonella enterica subsp. enterica serovar Enteritidis str. SA20084824	Complete	4581495	Good		1	96.8	97.6	96.4	0.5
1365218.5	Salmonella enterica subsp. enterica serovar Typhimurium str. ST1489	WGS	4761517	Good		120	98.6	99.8	100	2
54388.131	Salmonella enterica subsp. enterica serovar Paratyphi A strain A5301	WGS	4432213	Good		2	97.6	99.3	97.7	0
90371.693	Salmonella enterica subsp. enterica serovar Typhimurium strain SALF-297-2	WGS	4832483	Good		101	98.6	99.6	100	0.7
108619.125	Salmonella enterica subsp. enterica serovar Newport strain CFSAN051020	WGS	4811601	Good		50	99	99.9	100	0.5
90370.1999	Salmonella enterica subsp. enterica serovar Typhi strain 3135STDY5861338	WGS	4835671	Good		51	98	99.7	100	0.3
1412619.3	Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120969	Complete	4685856	Good		1	97	98	99.2	0
