	genome.genome_id	genome.genome_name	genome.genome_status	genome.genome_length	genome.genome_quality	genome.plasmids	genome.contigs	genome.fine_consistency	genome.coarse_consistency	genome.checkm_completeness	genome.checkm_contamination
0	1773.7309	Mycobacterium tuberculosis strain 2926STDY5723873	WGS	4361304.0	Good		82	98.9	99.1	100.0	1.1
1	1773.7512	Mycobacterium tuberculosis strain 2926STDY5723497	WGS	4363312.0	Good		76	98.9	99.2	100.0	1.1
2	1773.1040	Mycobacterium tuberculosis strain H111900019	WGS	4394655.0	Good		88	98.9	99.5	100.0	1.1
3	1773.1842	Mycobacterium tuberculosis strain 2488F	WGS	4352061.0	Good		83	98.9	99.5	100.0	1.1
4	1773.1933	Mycobacterium tuberculosis strain 2393C	WGS	4357634.0	Good		90	98.9	99.5	100.0	1.1
5	1773.7152	Mycobacterium tuberculosis strain 2926STDY5723872	WGS	4348733.0	Good		78	98.8	99.2	100.0	1.1
6	1773.1110	Mycobacterium tuberculosis strain 0436A	WGS	4353378.0	Good		81	98.8	99.5	100.0	1.1
7	1773.1762	Mycobacterium tuberculosis strain 2537J	WGS	4359087.0	Good		82	98.8	99.5	100.0	1.1
8	1773.1917	Mycobacterium tuberculosis strain 2337R	WGS	4354221.0	Good		69	98.8	99.5	100.0	1.1
9	1773.1052	Mycobacterium tuberculosis strain 2597Z	WGS	4416826.0	Good		79	98.7	99.5	100.0	1.1
10	1773.1910	Mycobacterium tuberculosis strain 2351G	WGS	4356311.0	Good		79	98.7	99.5	100.0	1.1
11	1773.7083	Mycobacterium tuberculosis strain 2926STDY5723480	WGS	4313056.0	Good		60	98.6	99.3	100.0	1.1
12	1773.1912	Mycobacterium tuberculosis strain 0466H	WGS	4361556.0	Good		93	98.5	99.4	100.0	1.1
13	1765.314	Mycobacterium bovis strain W-1171	WGS	4304865.0	Good		50	98.9	99.5	100.0	1.3
14	1773.8523	Mycobacterium tuberculosis strain S3	WGS	4411709.0	Good		1	99.6	99.8	100.0	1.1
15	1773.9512	Mycobacterium tuberculosis strain GG-45-11	Complete	4411469.0	Good		1	99.6	99.8	100.0	1.1
16	1773.9505	Mycobacterium tuberculosis strain GG-134-11	Complete	4411399.0	Good		1	99.5	99.8	100.0	1.1
17	1773.7654	Mycobacterium tuberculosis strain I0004105-8	WGS	4380569.0	Good		18	99.4	99.5	100.0	1.1
18	1773.7709	Mycobacterium tuberculosis strain I0004064-7	WGS	4404151.0	Good		4	99.4	99.5	100.0	1.1
19	1773.6230	Mycobacterium tuberculosis strain I0000655-6	WGS	4383009.0	Good		12	99.4	99.5	100.0	1.1
