	genome.genome_id	genome.genome_name	genome.genome_status	genome.genome_length	genome.genome_quality	genome.plasmids	genome.contigs	genome.fine_consistency	genome.coarse_consistency	genome.checkm_completeness	genome.checkm_contamination
0	1008297.7	Salmonella enterica subsp. enterica serovar Typhimurium str. 798	Complete	4970096.0	Good	1.0	2	98.5	99.6	100.0	1.4
1	108619.125	Salmonella enterica subsp. enterica serovar Newport strain CFSAN051020	WGS	4811601.0	Good		50	99.0	99.9	100.0	0.5
2	90370.1999	Salmonella enterica subsp. enterica serovar Typhi strain 3135STDY5861338	WGS	4835671.0	Good		51	98.0	99.7	100.0	0.3
3	1412619.3	Salmonella enterica subsp. enterica serovar Enteritidis str. EC20120969	Complete	4685856.0	Good		1	97.0	98.0	99.2	0.0
4	1243579.4	Salmonella enterica subsp. enterica serovar Moscow str. S-1843 strain S-1843	Complete	4690402.0	Good		1	99.0	99.6	100.0	0.6
5	57743.18	Salmonella enterica subsp. enterica serovar Weltevreden strain 139K	WGS	4868524.0	Good		71	99.0	99.7	99.7	0.3
6	2052597.7	Salmonella enterica subsp. enterica serovar Legon strain NRWCIIIB	WGS	4749100.0	Good		55	98.8	99.8	100.0	0.0
7	149539.340	Salmonella enterica subsp. enterica serovar Enteritidis strain SEE2	Complete	4677830.0	Good		1	99.0	99.4	99.7	0.0
8	149539.339	Salmonella enterica subsp. enterica serovar Enteritidis strain SEE1	Complete	4678365.0	Good		1	99.3	99.5	100.0	0.0
9	1171376.3	Salmonella enterica subsp. enterica serovar Typhimurium str. U288	Complete	5017059.0	Good	3.0	4	99.0	99.5	100.0	0.0
10	2052597.6	Salmonella enterica subsp. enterica serovar Legon strain NRWCIIA	WGS	4747573.0	Good		51	98.9	99.8	100.0	0.0
11	1003186.3	Salmonella enterica subsp. enterica serovar Agona str. SA-2	WGS	4767154.0	Good	0.0	62	97.9	99.6	99.7	1.3
12	1029996.3	Salmonella enterica subsp. enterica serovar Heidelberg str. SARA37	WGS	4945378.0	Good		74	98.4	99.1	99.7	0.3
13	1029999.3	Salmonella enterica subsp. enterica serovar Heidelberg str. SARA31	WGS	4751768.0	Good		63	98.8	99.1	100.0	0.0
14	1037262.4	Salmonella enterica subsp. enterica serovar Typhimurium str. AZ 057	WGS	4917909.0	Good	0.0	87	98.7	99.6	100.0	0.2
15	1072587.3	Salmonella enterica subsp. enterica serovar Agona str. 241981	WGS	4723630.0	Good	0.0	72	97.0	99.3	100.0	1.7
16	1072590.3	Salmonella enterica subsp. enterica serovar Agona str. 392869-2	WGS	4768952.0	Good	0.0	48	98.3	99.5	100.0	0.8
17	1072591.3	Salmonella enterica subsp. enterica serovar Agona str. 400095 11	WGS	4767352.0	Good	0.0	72	98.7	99.6	100.0	0.5
18	1072592.3	Salmonella enterica subsp. enterica serovar Agona str. 400095 13	WGS	4768493.0	Good	0.0	47	98.8	99.5	100.0	0.3
19	1072595.3	Salmonella enterica subsp. enterica serovar Agona str. 400095 18	WGS	4763855.0	Good	0.0	79	97.6	99.4	100.0	1.9
20	1079469.3	Salmonella enterica subsp. enterica serovar Saintpaul str. JO2008	WGS	4689603.0	Good	0.0	28	99.0	99.6	100.0	0.0
21	1079471.3	Salmonella enterica subsp. enterica serovar Pullorum str. 13036	WGS	4750838.0	Good	0.0	48	97.8	99.6	100.0	2.0
22	108619.128	Salmonella enterica subsp. enterica serovar Newport strain CFSAN051026	WGS	4815456.0	Good		44	99.0	99.9	100.0	0.0
23	108619.210	Salmonella enterica subsp. enterica serovar Newport strain 131174	WGS	4759162.0	Good		45	98.8	99.6	99.7	0.5
