	genome.genome_id	genome.genome_name	genome.genome_status	genome.genome_length	genome.genome_quality	genome.plasmids	genome.contigs	genome.fine_consistency	genome.coarse_consistency	genome.checkm_completeness	genome.checkm_contamination
0	992402.3	Acinetobacter baumannii ABNIH1	WGS	3899186.0	Good	0.0	103	97.2	99.3	100.0	1.0
1	470.1537	Acinetobacter baumannii strain ABBL034	WGS	4046288.0	Good		107	97.3	98.5	99.5	1.3
2	903907.3	Acinetobacter baumannii OIFC0162	WGS	4078399.0	Good	0.0	55	98.1	99.3	100.0	0.5
3	470.5187	Acinetobacter baumannii strain Ab242	WGS	3890962.0	Good		31	98.1	99.0	100.0	0.5
4	470.4293	Acinetobacter baumannii strain VB23193	WGS	4083572.0	Good		130	98.0	99.4	100.0	0.5
5	470.2769	Acinetobacter baumannii strain XH838	WGS	3820023.0	Good		115	97.7	98.2	98.9	0.5
6	1200351.3	Acinetobacter baumannii ABIsac_ColiR	WGS	3785453.0	Good	0.0	108	98.4	99.3	100.0	0.5
7	470.2423	Acinetobacter baumannii strain 3027STDY5784958	Complete	4050765.0	Good	1.0	2	98.6	99.2	100.0	0.0
8	470.2965	Acinetobacter baumannii strain Ab36	WGS	4025375.0	Good		86	98.6	99.4	100.0	0.0
9	1096995.4	Acinetobacter baumannii BJAB07104	Complete	4042229.0	Good	2.0	3	98.4	99.3	100.0	0.3
10	1168588.3	Acinetobacter baumannii Ab11111	WGS	4062506.0	Good	0.0	26	98.5	99.4	100.0	0.0
11	1216295.3	Acinetobacter baumannii 53264	WGS	3976592.0	Good	0.0	130	98.5	99.2	100.0	0.0
12	1221255.3	Acinetobacter baumannii AB_2008-15-34-7	WGS	3918675.0	Good	0.0	157	98.8	99.3	100.0	0.0
13	1221260.3	Acinetobacter baumannii AB_2008-15-71	WGS	3886101.0	Good	0.0	90	98.7	99.0	99.5	0.0
14	1221270.3	Acinetobacter baumannii AB_909-02-7	WGS	3929639.0	Good	0.0	98	98.6	99.2	100.0	1.0
15	1221273.3	Acinetobacter baumannii AB_TG19617	WGS	3890585.0	Good	0.0	59	98.6	99.3	100.0	0.0
16	1221283.3	Acinetobacter baumannii AB_TG27323	WGS	3962171.0	Good	0.0	103	98.5	99.4	100.0	0.0
17	1221284.3	Acinetobacter baumannii AB_TG27327	WGS	4012960.0	Good	0.0	104	98.6	99.4	100.0	0.0
18	1223564.3	Acinetobacter baumannii ZWS1122	WGS	3937258.0	Good	0.0	60	99.0	99.3	100.0	0.0
