genome.genome_id	genome.genome_name	genome.genome_status	genome.genome_length	genome.genome_quality	genome.plasmids	genome.contigs	genome.fine_consistency	genome.coarse_consistency	genome.checkm_completeness	genome.checkm_contamination
485.1024	Neisseria gonorrhoeae strain Gr05-1682	WGS	3160067	Good		654	82.3	93.9	100	24
485.1353	Neisseria gonorrhoeae strain NCTC13818	WGS	2246862	Good		2	97.5	98.8	100	2.1
485.1058	Neisseria gonorrhoeae strain Gr09-1213	WGS	2141740	Good		81	98.6	99.3	100	1.2
485.680	Neisseria gonorrhoeae strain mankind	WGS	2191659	Good		86	98.5	99.4	100	1.2
485.1038	Neisseria gonorrhoeae strain GC11278	WGS	2140256	Good		71	98.5	99.3	100	1.2
1351790.3	Neisseria gonorrhoeae MIA_2011_03-10	WGS	2167228	Good		288	98.4	99.4	100	1.2
485.46	Neisseria gonorrhoeae strain G2891	WGS	2149975	Good		132	98.7	99.6	100	0.6
485.1057	Neisseria gonorrhoeae strain Gr04-0065	WGS	2113959	Good		76	98.5	99.2	100	0.6
485.1113	Neisseria gonorrhoeae strain Gr10-1082	WGS	2141911	Good		74	98.5	99.2	100	0.6
485.1126	Neisseria gonorrhoeae strain Gr09-0577	WGS	2137952	Good		78	98.5	99.2	100	0.6
485.1084	Neisseria gonorrhoeae strain Gr04-0050	WGS	2119466	Good		74	98.5	99.2	100	0.6
1351784.3	Neisseria gonorrhoeae ATL_2011_01-21	WGS	2116476	Good		304	98.4	99.4	100	0.6
485.1185	Neisseria gonorrhoeae strain Gr10-1072	WGS	2097679	Good		76	98.4	99.2	100	0.6
485.1097	Neisseria gonorrhoeae strain Gr09-0112	WGS	2095043	Good		70	98.4	99.2	100	0.6
528360.6	Neisseria gonorrhoeae SK-93-1035	WGS	2144977	Good	0	40	98.8	99.5	98.8	0.6
485.624	Neisseria gonorrhoeae strain USO_SP10-030	WGS	2101025	Good		180	98.2	99	99.4	0.6
528357.5	Neisseria gonorrhoeae PID24-1	WGS	2125573	Good	0	54	98.4	99.5	98.8	0.6
485.608	Neisseria gonorrhoeae strain USO_SP09-062	WGS	2114596	Good		153	98.9	99.5	100	0.6
485.1036	Neisseria gonorrhoeae strain Gr09-1196	WGS	2076889	Good		71	98.6	99.3	99.4	0
485.1191	Neisseria gonorrhoeae strain Gr10-1558	WGS	2138728	Good		86	98.6	99.3	99.4	0
485.1125	Neisseria gonorrhoeae strain GC8253	WGS	2168708	Good		72	98.5	99.2	99.4	0
528358.6	Neisseria gonorrhoeae PID332	WGS	2197024	Good	0	47	99	99.6	98.8	0
485.1352	Neisseria gonorrhoeae strain NCTC13821	WGS	2233093	Good		2	97.7	99	100	0
