	number	modelling antibiotics
Mycobacterium tuberculosis	14	['amikacin', 'capreomycin', 'cycloserine', 'ethambutol', 'ethiomide', 'ethionamide', 'isoniazid', 'kanamycin', 'moxifloxacin', 'ofloxacin', 'pyrazinamide', 'rifampicin', 'rifampin', 'streptomycin']
Salmonella enterica	11	['amoxicillin/clavulanic acid', 'ampicillin', 'cefoxitin', 'ceftiofur', 'ceftriaxone', 'chloramphenicol', 'gentamicin', 'nalidixic acid', 'streptomycin', 'sulfisoxazole', 'tetracycline']
Streptococcus pneumoniae	7	['beta-lactam', 'chloramphenicol', 'cotrimoxazole', 'erythromycin', 'penicillin', 'tetracycline', 'trimethoprim/sulfamethoxazole']
Neisseria gonorrhoeae	2	['azithromycin', 'cefixime']
Escherichia coli	14	['amoxicillin', 'amoxicillin-clavulanate', 'amoxicillin/clavulanic acid', 'ampicillin', 'aztreonam', 'cefotaxime', 'ceftazidime', 'ceftriaxone', 'cefuroxime', 'ciprofloxacin', 'gentamicin', 'piperacillin/tazobactam', 'tetracycline', 'trimethoprim']
Staphylococcus aureus	9	['cefoxitin', 'ciprofloxacin', 'clindamycin', 'erythromycin', 'fusidic acid', 'gentamicin', 'methicillin', 'penicillin', 'tetracycline']
Klebsiella pneumoniae	13	['amikacin', 'aztreonam', 'cefepime', 'cefoxitin', 'ciprofloxacin', 'gentamicin', 'imipenem', 'levofloxacin', 'meropenem', 'piperacillin/tazobactam', 'tetracycline', 'tobramycin', 'trimethoprim/sulfamethoxazole']
Enterococcus faecium	1	['vancomycin']
Acinetobacter baumannii	9	['amikacin', 'ampicillin/sulbactam', 'ceftazidime', 'imipenem', 'levofloxacin', 'meropenem', 'tetracycline', 'tobramycin', 'trimethoprim/sulfamethoxazole']
Pseudomonas aeruginosa	5	['ceftazidime', 'ciprofloxacin', 'levofloxacin', 'meropenem', 'tobramycin']
Shigella sonnei	0	[]
Enterobacter cloacae	0	[]
Campylobacter jejuni	1	['tetracycline']
