
Mycobacterium tuberculosis,genome.genome_id,genome.genome_name,genome.genome_status,genome.genome_length,genome.genome_quality,genome.plasmids,genome.contigs,genome.fine_consistency,genome.coarse_consistency,genome.checkm_completeness,genome.checkm_contamination
count,24881,24881,24881,24881.0,24881,5002.0,24881.0,24881.0,24881.0,10495.0,10495.0
unique,24881,23271,2,,1,,,,,,
top,1773.20656,Mycobacterium tuberculosis,WGS,,Good,,,,,,
freq,1,176,24468,,24881,,,,,,
mean,,,,4364087.700132632,,0.0,185.99819139102127,98.66263815763031,99.31888589686909,99.9607813244402,0.4971414959504527
std,,,,39916.926822362824,,0.0,124.90564685273385,0.5482267684852755,0.38187195023601456,0.3245788042166514,1.0940216566669032
min,,,,4079118.0,,0.0,1.0,97.0,98.0,82.0,0.0
25%,,,,4342512.0,,0.0,97.0,98.4,99.3,100.0,0.0
50%,,,,4365734.0,,0.0,169.0,98.8,99.5,100.0,0.0
75%,,,,4387706.0,,0.0,259.0,99.0,99.5,100.0,0.9
max,,,,4895890.0,,0.0,987.0,99.9,100.0,100.0,14.7
missing,0,0,0,0.0,0,19879.0,0.0,0.0,0.0,14386.0,14386.0
percentage of missing,0.0,0.0,0.0,0.0,0.0,79.89630641855231,0.0,0.0,0.0,57.8192194847474,57.8192194847474

Mycobacterium tuberculosis,genome.genome_id,genome.genome_name,genome.genome_status,genome.genome_length,genome.genome_quality,genome.plasmids,genome.contigs,genome.fine_consistency,genome.coarse_consistency,genome.checkm_completeness,genome.checkm_contamination
count,24881,24881,24881,24881.0,24881,5002.0,24881.0,24881.0,24881.0,10495.0,10495.0
unique,24881,23271,2,,1,,,,,,
top,1773.3357,Mycobacterium tuberculosis,WGS,,Good,,,,,,
freq,1,176,24468,,24881,,,,,,
mean,,,,4364087.700132632,,0.0,185.99819139102127,98.66263815763031,99.31888589686909,99.9607813244402,0.4971414959504527
std,,,,39916.926822362824,,0.0,124.90564685273385,0.5482267684852755,0.38187195023601456,0.3245788042166514,1.0940216566669032
min,,,,4079118.0,,0.0,1.0,97.0,98.0,82.0,0.0
25%,,,,4342512.0,,0.0,97.0,98.4,99.3,100.0,0.0
50%,,,,4365734.0,,0.0,169.0,98.8,99.5,100.0,0.0
75%,,,,4387706.0,,0.0,259.0,99.0,99.5,100.0,0.9
max,,,,4895890.0,,0.0,987.0,99.9,100.0,100.0,14.7
missing,0,0,0,0.0,0,19879.0,0.0,0.0,0.0,14386.0,14386.0
percentage of missing,0.0,0.0,0.0,0.0,0.0,79.89630641855231,0.0,0.0,0.0,57.8192194847474,57.8192194847474

Mycobacterium tuberculosis,genome.genome_id,genome.genome_name,genome.genome_status,genome.genome_length,genome.genome_quality,genome.plasmids,genome.contigs,genome.fine_consistency,genome.coarse_consistency,genome.checkm_completeness,genome.checkm_contamination
count,24881,24881,24881,24881.0,24881,5002.0,24881.0,24881.0,24881.0,10495.0,10495.0
unique,24881,23271,2,,1,,,,,,
top,1773.6347,Mycobacterium tuberculosis,WGS,,Good,,,,,,
freq,1,176,24468,,24881,,,,,,
mean,,,,4364087.700132632,,0.0,185.99819139102127,98.66263815763031,99.31888589686909,99.9607813244402,0.4971414959504527
std,,,,39916.926822362824,,0.0,124.90564685273385,0.5482267684852755,0.38187195023601456,0.3245788042166514,1.0940216566669032
min,,,,4079118.0,,0.0,1.0,97.0,98.0,82.0,0.0
25%,,,,4342512.0,,0.0,97.0,98.4,99.3,100.0,0.0
50%,,,,4365734.0,,0.0,169.0,98.8,99.5,100.0,0.0
75%,,,,4387706.0,,0.0,259.0,99.0,99.5,100.0,0.9
max,,,,4895890.0,,0.0,987.0,99.9,100.0,100.0,14.7
missing,0,0,0,0.0,0,19879.0,0.0,0.0,0.0,14386.0,14386.0
percentage of missing,0.0,0.0,0.0,0.0,0.0,79.89630641855231,0.0,0.0,0.0,57.8192194847474,57.8192194847474

Salmonella enterica,genome.genome_id,genome.genome_name,genome.genome_status,genome.genome_length,genome.genome_quality,genome.plasmids,genome.contigs,genome.fine_consistency,genome.coarse_consistency,genome.checkm_completeness,genome.checkm_contamination
count,17379,17379,17379,17379.0,17379,1624.0,17379.0,17379.0,17379.0,9036.0,9036.0
unique,17379,16286,2,,1,,,,,,
top,440524.30,Salmonella enterica subsp. enterica serovar Weltevreden,WGS,,Good,,,,,,
freq,1,32,16531,,17379,,,,,,
mean,,,,4820435.990102998,,0.4938423645320197,80.05552678520053,98.66581506415788,99.68183439783647,99.91216246126605,0.3293160690571049
std,,,,155233.09002191955,,0.9903845863417976,64.07077840881621,0.5016809544368469,0.17862132328429398,0.3996308957660643,0.6326956037342926
min,,,,4164402.0,,0.0,1.0,97.0,98.0,85.6,0.0
25%,,,,4708424.5,,0.0,45.0,98.4,99.6,100.0,0.0
50%,,,,4800461.0,,0.0,64.0,98.8,99.7,100.0,0.0
75%,,,,4932954.5,,1.0,98.0,99.0,99.8,100.0,0.3
max,,,,6094161.0,,8.0,988.0,99.7,100.0,100.0,10.2
missing,0,0,0,0.0,0,15755.0,0.0,0.0,0.0,8343.0,8343.0
percentage of missing,0.0,0.0,0.0,0.0,0.0,90.65538868749641,0.0,0.0,0.0,48.00621439668566,48.00621439668566

Streptococcus pneumoniae,genome.genome_id,genome.genome_name,genome.genome_status,genome.genome_length,genome.genome_quality,genome.plasmids,genome.contigs,genome.fine_consistency,genome.coarse_consistency,genome.checkm_completeness,genome.checkm_contamination
count,25151,25151,25151,25151.0,25151,13432.0,25151.0,25151.0,25151.0,8450.0,8450.0
unique,25151,22005,2,,1,,,,,,
top,1313.26284,Streptococcus pneumoniae strain GPSC2,WGS,,Good,,,,,,
freq,1,154,25002,,25151,,,,,,
mean,,,,2084138.1395570752,,0.0002977963073257892,70.40749870780486,98.31225796191006,98.95806528567452,99.88198816568047,0.44604733727810647
std,,,,75675.3342895727,,0.017254848315565462,45.20000024003928,0.5877520903370332,0.5791157122913345,0.7418072347885488,0.9178103191157639
min,,,,1817306.0,,0.0,1.0,97.0,98.0,75.9,0.0
25%,,,,2045357.0,,0.0,45.0,97.8,98.4,100.0,0.0
50%,,,,2081263.0,,0.0,63.0,98.2,98.8,100.0,0.2
75%,,,,2120324.5,,0.0,83.0,98.8,99.5,100.0,0.5
max,,,,5731706.0,,1.0,676.0,99.9,100.0,100.0,20.7
missing,0,0,0,0.0,0,11719.0,0.0,0.0,0.0,16701.0,16701.0
