	genome.genome_id	genome.genome_name	genome.genome_status	genome.genome_length	genome.genome_quality	genome.plasmids	genome.contigs	genome.fine_consistency	genome.coarse_consistency	genome.checkm_completeness	genome.checkm_contamination
0	46170.620	Staphylococcus aureus subsp. aureus strain M6KS0367_3	WGS	2717059.0	Good		22	99.8	100.0	100.0	0.6
1	46170.241	Staphylococcus aureus subsp. aureus strain 1450/94	WGS	2938835.0	Good		29	99.5	100.0	100.0	0.6
2	46170.602	Staphylococcus aureus subsp. aureus strain M6KS0073_1	WGS	2830538.0	Good		45	99.8	100.0	100.0	0.0
3	46170.594	Staphylococcus aureus subsp. aureus strain M1KS0564_1	WGS	2738090.0	Good		58	99.5	99.9	100.0	0.0
4	46170.634	Staphylococcus aureus subsp. aureus strain M6KS0564_2	WGS	2737850.0	Good		57	99.5	99.9	100.0	0.0
5	1116218.3	Staphylococcus aureus subsp. aureus VRS5	WGS	2919993.0	Good	0.0	96	99.9	100.0	100.0	0.0
6	1155084.3	Staphylococcus aureus subsp. aureus 71193	Complete	2715000.0	Good	0.0	1	99.7	100.0	100.0	0.0
7	1194085.3	Staphylococcus aureus subsp. aureus SA40	Complete	2728308.0	Good	0.0	1	100.0	100.0	100.0	0.0
8	1203553.3	Staphylococcus aureus subsp. aureus KPL1845	WGS	2769559.0	Good	0.0	30	99.9	100.0	100.0	0.0
9	1216363.3	Staphylococcus aureus subsp. aureus 06BA18369	WGS	2865757.0	Good	0.0	59	99.9	100.0	100.0	0.6
10	1343064.3	Staphylococcus aureus subsp. aureus ST772-MRSA-V	WGS	2741418.0	Good	0.0	70	100.0	100.0	100.0	0.0
11	1368166.3	Staphylococcus aureus subsp. aureus SA268	Complete	2833899.0	Good		1	99.9	100.0	100.0	0.0
12	1392476.3	Staphylococcus aureus subsp. aureus 6850	Complete	2736560.0	Good	0.0	1	99.9	100.0	100.0	1.2
13	1453869.3	Staphylococcus aureus subsp. aureus 301-188	WGS	2762484.0	Good	0.0	40	99.7	100.0	100.0	0.0
14	282459.5	Staphylococcus aureus subsp. aureus MSSA476	Complete	2820454.0	Good	1.0	2	100.0	100.0	100.0	0.0
15	904747.3	Staphylococcus aureus subsp. aureus 21266	WGS	2712127.0	Good	0.0	27	99.1	100.0	100.0	1.3
16	904780.3	Staphylococcus aureus subsp. aureus IS-99	WGS	2910585.0	Good	0.0	91	98.2	99.9	100.0	0.6
17	46170.84	Staphylococcus aureus subsp. aureus UAMS-1	WGS	2763963.0	Good		2	99.6	99.7	98.1	0.0
18	367830.75	Staphylococcus aureus subsp. aureus USA300 strain NRS384 strain USA300 NRS384	WGS	2880326.0	Good	2.0	3	100.0	100.0	100.0	0.0
19	46170.125	Staphylococcus aureus subsp. aureus strain HG003	WGS	2797898.0	Good		19	99.9	100.0	100.0	0.0
20	46170.128	Staphylococcus aureus subsp. aureus strain FRI137	WGS	2811023.0	Good		74	99.5	99.9	100.0	0.6
21	46170.139	Staphylococcus aureus subsp. aureus strain SA-038	WGS	2817763.0	Good	1.0	91	99.6	99.9	100.0	0.0
22	46170.156	Staphylococcus aureus subsp. aureus strain MRSA_S8	WGS	2885017.0	Good		34	99.9	100.0	100.0	0.0
23	46170.161	Staphylococcus aureus subsp. aureus strain MRSA_S18	WGS	2882492.0	Good		24	100.0	100.0	100.0	0.0
24	46170.164	Staphylococcus aureus subsp. aureus strain MRSA_S7	WGS	2893900.0	Good		28	99.9	100.0	100.0	0.0
25	46170.167	Staphylococcus aureus subsp. aureus strain MRSA_S28	WGS	2923312.0	Good		29	100.0	100.0	100.0	0.0
