genome.genome_id	genome.genome_name	genome.genome_status	genome.genome_length	genome.genome_quality	genome.plasmids	genome.contigs	genome.fine_consistency	genome.coarse_consistency	genome.checkm_completeness	genome.checkm_contamination
1267512.3	Klebsiella pneumoniae subsp. pneumoniae B5055	WGS	5530318	Poor	0	1859	94.7	97	96.6	0.7
72407.884	Klebsiella pneumoniae subsp. pneumoniae strain SCKP020078					89	97.9	99	100	0.3
72407.901	Klebsiella pneumoniae subsp. pneumoniae strain WCHKP020039	WGS	5427036	Good		133	98.2	99.6	100	0
1203545.3	Klebsiella pneumoniae subsp. pneumoniae WGLW2	WGS	5729369	Good	0	32	98.2	99.6	100	0
1203546.5	Klebsiella pneumoniae subsp. pneumoniae WGLW3	WGS	5518063	Good	0	23	98	99.5	100	0
1203547.3	Klebsiella pneumoniae subsp. pneumoniae WGLW5	WGS	5788283	Good	0	34	98.6	99.6	100	0.3
1212766.3	Klebsiella pneumoniae subsp. pneumoniae ST258-490	WGS	5707592	Good	0	569	97.3	99.1	100	0.7
1226115.3	Klebsiella pneumoniae subsp. pneumoniae KpQ3	WGS	5401505	Good	0	54	97.6	99.4	100	0
1306950.3	Klebsiella pneumoniae subsp. pneumoniae 12-3578	WGS	5742061	Good	0	183	96.8	99	98.7	0.1
1413253.3	Klebsiella pneumoniae subsp. pneumoniae KPB-2	WGS	5819731	Good		136	96.4	99.6	100	0.7
72407.1141	Klebsiella pneumoniae subsp. pneumoniae strain NCTC11695	WGS	5548353	Good		2	90.6	99.5	98.3	10.1
72407.1144	Klebsiella pneumoniae subsp. pneumoniae strain NCTC9494	WGS	5497760	Good		2	83.4	98.5	99.7	24
1087445.3	Klebsiella pneumoniae subsp. pneumoniae KPNIH6	WGS	5714943	Good	0	149	97.7	99.4	100	0
1168062.3	Klebsiella pneumoniae subsp. pneumoniae KPNIH21	WGS	5757750	Good	0	178	97.6	99.3	100	0.4
1168063.3	Klebsiella pneumoniae subsp. pneumoniae KPNIH22	WGS	5749696	Good	0	165	98.1	99.6	100	0.2
72407.739	Klebsiella pneumoniae subsp. pneumoniae strain KPNIH32	Plasmid	212192		1	1				
72407.738	Klebsiella pneumoniae subsp. pneumoniae strain KPNIH32	Plasmid	115320		1	1				
1328324.7	Klebsiella pneumoniae subsp. pneumoniae KPNIH27	Plasmid	268334		1	1				
1406314.9	Klebsiella pneumoniae subsp. pneumoniae PittNDM01	Plasmid	283371		1	1				
72407.735	Klebsiella pneumoniae subsp. pneumoniae strain KPNIH33	Plasmid	9294		1	1				
1087440.12	Klebsiella pneumoniae subsp. pneumoniae KPNIH1	Plasmid	15096		1	1				
1328325.7	Klebsiella pneumoniae subsp. pneumoniae KPR0928	Plasmid	113639		1	1				
1225181.7	Klebsiella pneumoniae subsp. pneumoniae KPNIH24	Plasmid	58050		1	1				
1328325.6	Klebsiella pneumoniae subsp. pneumoniae KPR0928	Plasmid	13841		1	1				
1094170.9	Klebsiella pneumoniae subsp. pneumoniae KPNIH10	Plasmid	113639		1	1				
72407.76	Klebsiella pneumoniae subsp. pneumoniae strain KPNIH32	Complete	5858308	Good	3	4	97.9	99.6	100	0
72407.1056	Klebsiella pneumoniae subsp. pneumoniae strain 1461/2371	WGS	5640375	Good		146	98	99.6	100	0
72407.921	Klebsiella pneumoniae subsp. pneumoniae strain 1357/2245	WGS	5560998	Good		62	98.2	99.7	99.7	0
72407.1001	Klebsiella pneumoniae subsp. pneumoniae strain 1334/2217	WGS	5417700	Good		100	98.2	99.6	100	0
72407.1005	Klebsiella pneumoniae subsp. pneumoniae strain 1448/2382	WGS	5547311	Good		145	98.4	99.7	100	0
