	genome.genome_id	genome.genome_name	genome.genome_status	genome.genome_length	genome.genome_quality	genome.plasmids	genome.contigs	genome.fine_consistency	genome.coarse_consistency	genome.checkm_completeness	genome.checkm_contamination
0	1352.3633	Enterococcus faecium strain E64	WGS	2987629.0	Good		169	97.2	99.0	100.0	0.9
1	1352.2719	Enterococcus faecium strain Hp_5-10	WGS	2840193.0	Good		77	97.2	98.5	100.0	0.0
2	1134810.3	Enterococcus faecium 511	WGS	2952175.0	Good	0.0	315	97.0	98.7	100.0	0.0
3	1134813.3	Enterococcus faecium 515	WGS	2879535.0	Good	0.0	267	97.1	98.4	100.0	0.0
4	1134816.3	Enterococcus faecium C621	WGS	2913084.0	Good	0.0	267	97.1	98.7	100.0	0.0
5	1134821.3	Enterococcus faecium ERV161	WGS	2798511.0	Good	0.0	232	97.1	98.4	100.0	0.0
6	1134823.3	Enterococcus faecium ERV168	WGS	2988218.0	Good	0.0	245	97.3	98.8	100.0	0.0
7	1134827.3	Enterococcus faecium ERV99	WGS	2751553.0	Good	0.0	245	97.2	98.7	100.0	0.0
8	1134829.3	Enterococcus faecium P1137	WGS	2754598.0	Good	0.0	216	97.1	98.5	100.0	0.0
9	1134831.3	Enterococcus faecium P1140	WGS	2914111.0	Good	0.0	249	97.2	98.7	100.0	0.0
10	1134833.3	Enterococcus faecium P1986	WGS	2989933.0	Good	0.0	333	97.0	98.4	100.0	0.0
11	1134838.3	Enterococcus faecium R499	WGS	2851576.0	Good	0.0	234	97.0	98.3	100.0	0.0
12	1138906.3	Enterococcus faecium E1623	WGS	2796571.0	Good	0.0	35	97.2	98.4	100.0	1.5
13	1138914.3	Enterococcus faecium E1861	WGS	2774929.0	Good	0.0	25	97.0	98.4	100.0	0.0
14	1138917.3	Enterococcus faecium E2039	WGS	2908349.0	Good	0.0	34	97.0	98.5	100.0	0.0
15	1138934.3	Enterococcus faecium E4389	WGS	2896636.0	Good	0.0	61	97.3	98.7	100.0	0.0
16	1157445.3	Enterococcus faecium H17494	WGS	2768469.0	Good	0.0	30	97.1	98.5	100.0	0.9
17	1157453.3	Enterococcus faecium UAA714	WGS	2796467.0	Good	0.0	51	97.2	98.4	100.0	0.0
18	1157458.3	Enterococcus faecium UAA720	WGS	2865803.0	Good	0.0	62	97.1	98.5	100.0	0.0
19	1157461.3	Enterococcus faecium UAA723	WGS	2889135.0	Good	0.0	53	97.3	98.5	100.0	0.0
20	1157463.3	Enterococcus faecium UAA725	WGS	2862135.0	Good	0.0	65	97.2	98.5	100.0	0.9
21	1157465.3	Enterococcus faecium UAA944	WGS	2881603.0	Good	0.0	73	97.0	98.5	99.1	0.0
22	1157469.3	Enterococcus faecium VAN 335	WGS	2792687.0	Good	0.0	42	97.1	98.4	100.0	0.9
23	1157486.3	Enterococcus faecium HM1073	WGS	2967523.0	Good	0.0	32	97.3	98.6	100.0	0.9
24	1158543.3	Enterococcus faecium UAA951	WGS	2786381.0	Good	0.0	66	97.0	98.4	100.0	0.0
25	1158545.3	Enterococcus faecium UAA1007	WGS	2893408.0	Good	0.0	52	97.3	98.4	100.0	0.0
26	1158554.3	Enterococcus faecium UAA1433	WGS	2896650.0	Good	0.0	52	97.0	98.3	100.0	0.0
27	1158600.4	Enterococcus faecium ATCC 8459 [PRJNA206348]	WGS	2820063.0	Good	0.0	10	97.0	98.4	100.0	0.0
28	1169278.3	Enterococcus faecium VAN 476	WGS	2822334.0	Good	0.0	30	97.0	98.4	100.0	0.0
29	1352.1054	Enterococcus faecium strain Isolate 18	WGS	2880136.0	Good		157	97.3	98.7	100.0	0.0
30	1352.1441	Enterococcus faecium strain Hp_21-21	WGS	2827151.0	Good		221	97.0	98.4	99.1	0.0
31	1352.1612	Enterococcus faecium strain E2	WGS	2948701.0	Good		196	97.1	98.7	100.0	0.0
32	1352.1626	Enterococcus faecium strain SSM5539	WGS	2876378.0	Good		191	97.3	98.8	100.0	0.0
33	1352.2709	Enterococcus faecium strain 32	WGS	2876417.0	Good		203	97.0	98.4	100.0	0.0
34	1352.2716	Enterococcus faecium strain 76	WGS	2746197.0	Good		283	97.5	98.7	100.0	0.0
35	1352.2723	Enterococcus faecium strain 2_Efcm_HA-NL	WGS	2990066.0	Good		174	97.2	98.6	100.0	0.0
36	1352.2726	Enterococcus faecium strain 8_Efcm_HA-DE	WGS	2981805.0	Good		178	97.0	98.7	100.0	0.0
37	1352.3522	Enterococcus faecium strain 14-312-1	WGS	2762438.0	Good	6.0	7	97.3	98.7	99.1	0.0
38	1352.3523	Enterococcus faecium strain 15-162	WGS	2777669.0	Good	7.0	8	97.2	98.4	100.0	1.8
39	1352.3600	Enterococcus faecium strain 13-022	Complete	2912037.0	Good	1.0	2	97.0	98.4	100.0	0.0
40	1352.386	Enterococcus faecium VRE3	WGS	2820231.0	Good		142	97.0	98.6	100.0	0.9
41	1352.4047	Enterococcus faecium strain KRESVSE0002	WGS	2824901.0	Good		251	97.1	98.8	100.0	0.0
42	1352.4084	Enterococcus faecium strain JE1 strain Enterococcus faecium JE1	Complete	2803306.0	Good	1.0	2	97.8	99.0		
43	1352.4281	Enterococcus faecium strain E8172	Complete	2986036.0	Good	11.0	12	97.2	99.0		
44	1352.512	Enterococcus faecium strain 607_EFCM	WGS	2790986.0	Good		276	97.1	98.5	100.0	0.0
45	1352.528	Enterococcus faecium strain 990_EFCM	WGS	2986521.0	Good		334	97.0	98.6	100.0	0.9
46	1352.531	Enterococcus faecium strain 999_EFCM	WGS	2905399.0	Good		347	97.0	98.7	100.0	0.0
47	1352.656	Enterococcus faecium strain 58M	WGS	2754403.0	Good		60	97.2	98.4	100.0	0.0
48	1352.691	Enterococcus faecium strain D344RRF x C68	WGS	2971286.0	Good		201	97.6	98.7	100.0	0.0
49	1352.697	Enterococcus faecium strain D344RRF x C68	WGS	2972912.0	Good		201	97.6	98.7	100.0	0.0
50	1352.699	Enterococcus faecium strain C68	WGS	2952500.0	Good		180	97.2	98.7	100.0	0.0
51	1352.725	Enterococcus faecium strain E13931	WGS	2893152.0	Good		167	97.2	98.7	100.0	0.0
52	1352.746	Enterococcus faecium strain VRE-1407988	WGS	2752466.0	Good		151	97.0	98.5	100.0	0.0
53	1352.754	Enterococcus faecium strain VRE-1502939	WGS	2909394.0	Good		145	97.3	98.8	100.0	0.0
54	1352.757	Enterococcus faecium strain VRE-1503262	WGS	2979335.0	Good		143	97.2	98.7	100.0	0.0
55	1352.763	Enterococcus faecium strain 805447/07	WGS	2949813.0	Good		232	97.1	98.7	100.0	0.0
56	1352.769	Enterococcus faecium strain D344RRF	WGS	2982307.0	Good		207	97.6	98.7	100.0	0.9
57	1352.803	Enterococcus faecium strain VRE16	WGS	2897665.0	Good		160	97.1	98.7	100.0	0.0
58	1391466.3	Enterococcus faecium NEF1	WGS	2986518.0	Good	0.0	47	97.2	98.5	100.0	0.0
59	1400824.3	Enterococcus faecium UC8733	WGS	2723595.0	Good	0.0	164	97.0	98.5	99.1	0.6
60	1409946.3	Enterococcus faecium MRSN 11639	WGS	2951462.0	Good		142	97.0	98.7	100.0	0.0
61	1352.485	Enterococcus faecium strain KACC 15689	WGS	2824234.0	Good		128	97.0	98.4	100.0	0.9
62	1352.3978	Enterococcus faecium strain 300BEA1	WGS	2715473.0	Good		18	97.4	99.0	100.0	0.0
63	1352.3991	Enterococcus faecium strain 78EA1	WGS	2849599.0	Good		9	97.3	98.8	100.0	0.9
64	1352.3960	Enterococcus faecium strain 163EA1	WGS	2880397.0	Good		9	97.6	99.0	100.0	0.9
65	1352.3962	Enterococcus faecium strain 177EA1	WGS	2728495.0	Good		4	97.8	99.0	99.1	0.5
66	1352.3990	Enterococcus faecium strain 74EA1	WGS	2783793.0	Good		7	97.5	99.1	99.1	0.9
67	1352.3993	Enterococcus faecium strain 86EA1	WGS	2976268.0	Good		15	97.3	98.8	100.0	0.9
68	1352.3422	Enterococcus faecium strain CVM N60336F	WGS	2810033.0	Good		171	97.5	98.8	100.0	0.0
69	1352.3424	Enterococcus faecium strain CVM N59653F	WGS	2830254.0	Good		109	97.3	98.6	99.1	0.0
70	1352.3425	Enterococcus faecium strain CVM N60324F	WGS	2714410.0	Good		330	97.3	98.6	100.0	1.4
71	1352.3433	Enterococcus faecium strain CVM N59951F	WGS	2801631.0	Good		148	97.1	98.4	100.0	0.0
72	1352.3437	Enterococcus faecium strain CVM N60001F	WGS	2904971.0	Good		101	97.2	98.4	99.1	0.0
73	1352.3445	Enterococcus faecium strain CVM N59711F	WGS	2870574.0	Good		100	97.6	99.1	99.1	1.8
74	1352.3454	Enterococcus faecium strain CVM N60425F	WGS	2740218.0	Good		134	97.2	98.4	100.0	0.0
75	1352.3456	Enterococcus faecium strain CVM N60365F	WGS	2790839.0	Good		147	97.2	98.5	100.0	0.0
76	1352.3466	Enterococcus faecium strain CVM N59589F	WGS	2706436.0	Good		78	97.7	99.0	99.1	1.8
77	1352.3481	Enterococcus faecium strain CVM N55299	WGS	2726040.0	Good		138	97.5	99.0	100.0	0.0
78	1352.3483	Enterococcus faecium strain CVM N55279	WGS	2872204.0	Good		113	97.8	99.1	99.1	1.8
79	1352.3486	Enterococcus faecium strain CVM N55229	WGS	2827109.0	Good		161	97.3	98.5	100.0	0.0
80	1352.3489	Enterococcus faecium strain CVM N54599	WGS	2801535.0	Good		109	97.2	98.4	100.0	0.9
81	1352.3506	Enterococcus faecium strain CVM N52777	WGS	2924325.0	Good		203	97.2	98.7	100.0	0.0
82	1352.3510	Enterococcus faecium strain CVM N55072	WGS	2820141.0	Good		147	97.3	98.4	100.0	0.5
83	525279.14	Enterococcus faecium TX1330	WGS	2780471.0	Good		4	97.9	99.1	100.0	1.8
84	525279.3	Enterococcus faecium TX1330	WGS	2777972.0	Good	0.0	38	97.3	98.5	98.2	0.0
85	546340.3	Enterococcus faecium E1679	WGS	2928184.0	Good	0.0	340	97.0	98.7	99.1	0.9
86	749525.3	Enterococcus faecium TX0133C	WGS	2907861.0	Good	0.0	193	97.0	98.7	99.1	0.0
87	933356.3	Enterococcus faecium E4452	WGS	2769032.0	Good	0.0	268	97.2	98.5	100.0	0.0
88	1352.1730	Enterococcus faecium strain 11B10_MSG5005	WGS	2754527.0	Good		16	97.0	98.5	100.0	1.8
89	1352.1732	Enterococcus faecium strain 11C6_DIV0699	WGS	2790863.0	Good		2	97.3	98.6	100.0	0.0
90	1352.1738	Enterococcus faecium strain 1B3_DIV609	WGS	2741506.0	Good		14	97.3	98.5	100.0	0.0
91	1352.1740	Enterococcus faecium strain 2B3_DIV0609	WGS	2933808.0	Good		10	97.0	98.5	99.1	0.9
92	1352.1744	Enterococcus faecium strain 7C8_DIV0219	WGS	2904368.0	Good		4	97.1	98.4	100.0	1.4
93	1352.1753	Enterococcus faecium strain 1D8_DIV0466	WGS	2737852.0	Good		5	97.2	98.4	100.0	0.9
94	1352.4123	Enterococcus faecium strain P10 CL A14	WGS	2712423.0	Good		41	97.4	99.0		
95	1352.2181	Enterococcus faecium strain AT1E22	WGS	2798919.0	Good		83	97.0	98.5	99.1	0.9
96	1352.1810	Enterococcus faecium strain VREN3640	WGS	2932667.0	Good		143	97.0	98.7	100.0	0.0
97	1352.1849	Enterococcus faecium strain VREN3645	WGS	2943752.0	Good		148	97.0	98.7	100.0	0.0
98	1352.1883	Enterococcus faecium strain VREN3646	WGS	2939985.0	Good		160	97.0	98.7	100.0	0.0
99	1352.1887	Enterococcus faecium strain VREN3647	WGS	2937357.0	Good		146	97.0	98.7	100.0	0.0
100	1352.1895	Enterococcus faecium strain VREN3654	WGS	2941529.0	Good		148	97.0	98.7	100.0	0.0
101	1352.1914	Enterococcus faecium strain VREN3657	WGS	2941848.0	Good		152	97.0	98.7	100.0	0.0
102	1352.1916	Enterococcus faecium strain VREN3684	WGS	2935341.0	Good		146	97.0	98.7	100.0	0.0
103	1352.1917	Enterococcus faecium strain VREN3685	WGS	2935567.0	Good		145	97.0	98.7	100.0	0.0
104	1352.1928	Enterococcus faecium strain VREN3650	WGS	2937568.0	Good		151	97.0	98.7	100.0	0.0
105	1352.1935	Enterococcus faecium strain VREN3651	WGS	2942056.0	Good		169	97.0	98.7	100.0	0.0
106	1352.1937	Enterococcus faecium strain VREN3735	WGS	2942322.0	Good		150	97.0	98.7	100.0	0.0
107	1352.8225	Enterococcus faecium strain QU 50	WGS	2749658.0	Good	2.0	3	97.6	98.7		
108	1352.7799	Enterococcus faecium strain L5-A	WGS	2770961.0	Good		101	97.4	98.9		
109	1352.7911	Enterococcus faecium strain UAMSEF_24	WGS	2770238.0	Good		40	97.6	99.0		
110	1352.7949	Enterococcus faecium strain 13-014	WGS	2728004.0	Good	8.0	10	97.6	98.9		
111	1352.7961	Enterococcus faecium strain ARL08-339	WGS	2908355.0	Good		180	97.0	98.7		
112	1352.7952	Enterococcus faecium strain NM213	Complete	2857122.0	Good	5.0	6	97.0	98.7		
113	1352.7962	Enterococcus faecium strain ARL08-32	WGS	2907035.0	Good		188	97.0	98.7		
114	1352.7932	Enterococcus faecium strain UAMSEF_05	WGS	2911291.0	Good		203	97.1	99.0		
115	1352.7934	Enterococcus faecium strain UAMSEF_04	WGS	2909821.0	Good		204	97.1	99.0		
116	1352.7987	Enterococcus faecium strain ARL08-43	WGS	2905599.0	Good		176	97.0	98.7		
117	1352.7989	Enterococcus faecium strain ARL08-394	WGS	2917288.0	Good		186	97.0	98.7		
118	1352.7975	Enterococcus faecium strain ARL09-409	WGS	2758389.0	Good		109	97.5	99.1		
119	1352.7978	Enterococcus faecium strain ARL09-1074a	WGS	2925628.0	Good		236	97.0	98.7		
120	1352.7907	Enterococcus faecium strain UAMSEF_34	WGS	2918402.0	Good		193	97.1	99.0		
121	1352.7913	Enterococcus faecium strain UAMSEF_23	WGS	2758039.0	Good		123	97.3	99.0		
122	1352.7917	Enterococcus faecium strain UAMSEF_28	WGS	2739636.0	Good		172	97.1	98.8		
123	1352.3572	Enterococcus faecium strain V1711	WGS	2917968.0	Good		205	97.0	98.7	100.0	0.0
124	1352.3581	Enterococcus faecium strain V1511	WGS	2970160.0	Good		221	97.1	98.8	100.0	0.0
125	1352.8309	Enterococcus faecium strain 4928STDY7071572	WGS	2816839.0	Good		53	97.1	98.9		
126	1352.8302	Enterococcus faecium strain 4928STDY7071454	WGS	2773778.0	Good		73	97.7	99.0		
127	1352.8226	Enterococcus faecium strain ICIS 18	WGS	2733101.0	Good		279	97.0	98.6		
128	1352.8318	Enterococcus faecium strain 4928STDY7071456	WGS	2836305.0	Good		71	97.8	99.0		
129	1352.8178	Enterococcus faecium strain FB-1	Complete	2782065.0	Good	1.0	2	97.3	98.9		
130	1352.8323	Enterococcus faecium strain 4928STDY7071510	WGS	2903481.0	Good		44	97.9	99.0		
131	1352.8182	Enterococcus faecium strain CCT11 strain not applicable	WGS	2944573.0	Good		222	97.0	99.2		
132	1352.8193	Enterococcus faecium strain HPH9 strain not applicable	WGS	2937201.0	Good		200	97.0	99.2		
133	1352.8344	Enterococcus faecium strain 4928STDY7387731	WGS	2759624.0	Good		87	97.2	99.0		
134	1352.8350	Enterococcus faecium strain 4928STDY7387840	WGS	2814824.0	Good		77	97.6	99.0		
135	1352.8356	Enterococcus faecium strain 4928STDY7071283	Complete	2775175.0	Good		1	97.6	98.8		
