genome.genome_id	genome.genome_name	genome.genome_status	genome.genome_length	genome.genome_quality	genome.plasmids	genome.contigs	genome.fine_consistency	genome.coarse_consistency	genome.checkm_completeness	genome.checkm_contamination
287.1861	Pseudomonas aeruginosa	WGS	7021103	Poor		1514	87.7	99.9	100	14.7
287.3257	Pseudomonas aeruginosa strain 145	WGS	5663507	Poor		1399	90	98.7	97	9.5
287.3595	Pseudomonas aeruginosa strain LRJ08	WGS	6397775	Poor		1325	90.1	98.7	97.9	9.9
287.1754	Pseudomonas aeruginosa strain 720_PAER	WGS	6454206	Good		359	97.6	99.9	100	1.8
287.2920	Pseudomonas aeruginosa strain PHLS08916	WGS	6062808	Good		65	98.7	99.6	100	2.1
287.1993	Pseudomonas aeruginosa strain ATCC 33359	WGS	6445954	Good		273	97.3	99.8	98.4	1.8
287.1697	Pseudomonas aeruginosa strain Pae_CF67.06b	WGS	6385097	Good		161	97.9	99.6	99.4	2.5
287.1666	Pseudomonas aeruginosa strain Pae_CF67.12a	WGS	6390911	Good		202	96.2	99.3	98.6	2.1
287.1708	Pseudomonas aeruginosa strain Pae_CF67.06s	WGS	6375341	Good		266	95.5	98.9	98.8	2.1
287.1695	Pseudomonas aeruginosa strain Pae_CF67.06a	WGS	6389333	Good		160	98.4	99.7	100	1
287.452	Pseudomonas aeruginosa JD333	WGS	6331120	Poor	0	1996	96.5	97.5	97.4	0.3
287.3570	Pseudomonas aeruginosa strain 439.1	WGS	6276315	Good		299	97.6	99.9	99.1	0.9
287.3217	Pseudomonas aeruginosa strain 104	WGS	6942720	Good		189	97.9	99.9	100	1.2
287.439	Pseudomonas aeruginosa JD316	WGS	6194931	Poor	0	1882	96.3	97.9	97.2	0.3
287.1702	Pseudomonas aeruginosa strain Pae_CF67.06i	WGS	6390481	Good		160	97.6	99.6	100	1.2
287.1586	Pseudomonas aeruginosa strain Pae_CF67.06j	WGS	6387357	Good		180	97.6	99.2	99.4	1.2
287.3247	Pseudomonas aeruginosa strain 135	WGS	6254677	Good		361	97.5	99.9	99.1	1.2
287.1600	Pseudomonas aeruginosa strain Pae_CF67.08f	WGS	6386431	Good		161	97.4	99	99.4	1.3
287.1613	Pseudomonas aeruginosa strain Pae_CF67.08s	WGS	6392660	Good		135	98.5	99.6	99.7	1.6
287.1611	Pseudomonas aeruginosa strain Pae_CF67.08q	WGS	6386525	Good		202	97.7	99.5	99.7	1.6
287.447	Pseudomonas aeruginosa JD326	WGS	6447494	Poor	0	1982	97.2	98.1	98.6	0
287.2957	Pseudomonas aeruginosa strain TNCF_167	WGS	6634570	Good		73	98.4	99.9	100	0.6
287.438	Pseudomonas aeruginosa JD315	WGS	6392162	Poor	0	1913	97.7	98.5	97.6	0
287.4311	Pseudomonas aeruginosa strain Site 7	WGS	6666345	Good		54	98.6	99.7	100	0.7
287.1696	Pseudomonas aeruginosa strain Pae_CF67.06c	WGS	6394767	Good		139	98.1	99.7	99.7	0.6
287.3521	Pseudomonas aeruginosa strain 423	WGS	6282789	Good		249	97.7	99.9	99.1	0.6
287.4334	Pseudomonas aeruginosa strain PPF-7	WGS	6870403	Good		81	98.3	99.9	100	0.3
287.4329	Pseudomonas aeruginosa strain VD564	WGS	6395928	Good		36	99.3	99.8	100	0.6
287.1728	Pseudomonas aeruginosa strain 1046_PAER	WGS	6478321	Good		337	97.8	99.5	100	0.3
287.454	Pseudomonas aeruginosa JD335	WGS	6373845	Poor	0	1820	97.5	98.2	98.6	0
1163394.3	Pseudomonas aeruginosa ATCC 700888	WGS	6794802	Good	0	600	98.6	99.3	99.4	0
287.4344	Pseudomonas aeruginosa strain VD171	WGS	6394289	Good		39	99	99.8	100	0.3
287.3726	Pseudomonas aeruginosa strain SCH_ABX05	WGS	6568726	Good		86	99	99.7	100	0.3
287.4312	Pseudomonas aeruginosa strain 151 Assistante	WGS	6668216	Good		41	98.7	99.7	100	0
287.3350	Pseudomonas aeruginosa strain 244	WGS	6421345	Good		131	98.4	99.9	100	0
1341644.3	Pseudomonas aeruginosa WS136	WGS	6493088	Good		70	98.3	99.6	100	0
287.4343	Pseudomonas aeruginosa strain VD706	WGS	6399842	Good		40	99.3	99.8	100	0
287.4373	Pseudomonas aeruginosa strain env159a	WGS	6374043	Good		64	99.3	99.7	100	0
287.4372	Pseudomonas aeruginosa strain env165	WGS	6419204	Good		103	99.3	99.9	100	0
287.4561	Pseudomonas aeruginosa strain PA34	WGS	6302340	Good		17	99.3	99.9	100	0
287.4272	Pseudomonas aeruginosa strain Env_1	WGS	6407931	Good		95	99.2	99.7	100	0
287.1481	Pseudomonas aeruginosa strain JMM	WGS	6222092	Good		52	99.1	99.9	100	0
287.2010	Pseudomonas aeruginosa strain UM-01	WGS	6267368	Good		77	99.7	99.9	100	0
287.4394	Pseudomonas aeruginosa strain SJU-S9_3	WGS	6223177	Good		72	99.7	99.9	100	0
1123015.3	Pseudomonas aeruginosa DSM 50071	Complete	6317050	Good		1	99.6	99.9	100	0
287.4440	Pseudomonas aeruginosa strain env101	WGS	6342230	Good		47	99.5	99.9	100	0
1000561.3	Pseudomonas aeruginosa AES-1R	WGS	6267620	Poor	0	1783	93.8	95.1	95.2	0.3
1009714.7	Pseudomonas aeruginosa PAK	WGS	6422904	Good		9	97	98.3	98.5	0.2
1051003.3	Pseudomonas aeruginosa 19BR	WGS	6742964	Good	0	1	98.9	99.7	100	0
1051004.3	Pseudomonas aeruginosa 213BR	WGS	6719211	Good	0	1	99	99.7	100	0
1051005.3	Pseudomonas aeruginosa 9BR	WGS	6849861	Good	0	2	99	99.7	100	0
1081927.4	Pseudomonas aeruginosa PA103	WGS	6716795	Good		270	98.2	99	99.4	0
1125697.3	Pseudomonas aeruginosa str. Stone 130	WGS	7433566	Good	0	47	98.5	99.7	100	0.6
1131758.3	Pseudomonas aeruginosa MPAO1/P2	WGS	6276335	Good	0	301	98.7	99.5	99.7	0.3
1146882.3	Pseudomonas aeruginosa PAHM4	WGS	6372585	Good		281	97	99.6	97.9	0.3
1163393.3	Pseudomonas aeruginosa ATCC 25324	WGS	7103922	Poor	0	1023	98.4	99.5	99.7	0.6
1169413.3	Pseudomonas aeruginosa XMG	WGS	6453808	Good	0	225	98.7	99.2	99.1	0
1193501.3	Pseudomonas aeruginosa SJTD-1	WGS	6074058	Good	0	104	99.6	99.8	100	0
1279008.3	Pseudomonas aeruginosa PA1R	Complete	6309305	Good	0	1	97.9	99	97.3	0.9
1328315.3	Pseudomonas aeruginosa PGPR2	WGS	6772433	Good	0	198	93.6	99.2	98.8	8.7
1331059.3	Pseudomonas aeruginosa MSH-10	WGS	6466492	Good	0	19	99.4	99.9	100	0
1331669.4	Pseudomonas aeruginosa PAO1-CipR	WGS	5798124	Poor	0	1677	91.8	94.5	88.8	0.5
1333541.3	Pseudomonas aeruginosa str. C 1334	WGS	6302567	Good		669	96	99.6	100	7.1
1333550.3	Pseudomonas aeruginosa str. E2UoS	WGS	6634585	Good		341	98	99.9	100	0.3
1339265.3	Pseudomonas aeruginosa IGB83	WGS	6480647	Good		249	99.4	99.8	99.1	0.3
1340851.3	Pseudomonas aeruginosa RP73	Complete	6342034	Good	0	1	99.1	99.6	99.7	0
1341645.3	Pseudomonas aeruginosa WS394	WGS	6754356	Good		198	99	99.6	100	0
1352354.3	Pseudomonas aeruginosa PAO581	Complete	6043974	Good	0	1	99.5	99.8	98.5	0
1356855.3	Pseudomonas aeruginosa DK1 strain DK1	Complete	6212531	Good		1	99.7	99.9	100	0
1365008.3	Pseudomonas aeruginosa B3-1811	WGS	6679829	Good	0	341	98.9	99.4	97.6	0
1365009.3	Pseudomonas aeruginosa B3-208	WGS	6729352	Good	0	418	99.3	99.8	100	0
1365011.3	Pseudomonas aeruginosa B3-CFI	WGS	6751908	Good	0	314	99	99.8	100	0.9
1367494.3	Pseudomonas aeruginosa PAO1-VE13	Complete	6265484	Good	0	1	99.9	99.9	100	0.1
1400868.3	Pseudomonas aeruginosa VRFPA04	WGS	6998695	Good	0	86	98	99.4	100	1.2
1408274.3	Pseudomonas aeruginosa LESlike1	Complete	6509070	Good	0	1	99.3	99.5	99.4	0
1408276.3	Pseudomonas aeruginosa LESlike5	Complete	6543350	Good	0	1	99.3	99.6	100	0
1423141.3	Pseudomonas aeruginosa VRFPA06	WGS	6971579	Good	0	276	98.1	99.3	99.4	2.1
1424337.3	Pseudomonas aeruginosa ATCC 15442	WGS	6770586	Good	0	200	98.4	99.6	99.7	0
1431713.3	Pseudomonas aeruginosa VRFPA07	WGS	7177216	Good	0	140	97.6	99.5	99.7	2.1
1441460.3	Pseudomonas aeruginosa C1913C	WGS	6827238	Good		22	94.6	99	99.1	2.8
1441461.3	Pseudomonas aeruginosa C0324C	WGS	6631037	Good		539	92	95.6	93.9	4.1
1441462.3	Pseudomonas aeruginosa C2159M	WGS	6382292	Good		12	97	99.4	98.7	2.7
1449980.3	Pseudomonas aeruginosa MW3a	WGS	6613043	Good	0	239	97.7	99.1	98.8	0.6
1457392.3	Pseudomonas aeruginosa PA96	Complete	6444091	Good		1	99.2	99.6	100	0
208964.12	Pseudomonas aeruginosa PAO1	Complete	6264404	Good	0	1	99.9	99.9	99.7	0
1402541.3	Pseudomonas aeruginosa Z61	WGS	6453260	Good	0	43	99.2	99.7	100	0.3
1437873.3	Pseudomonas aeruginosa PA99	WGS	6343906	Good		142	97.6	98.6	98.2	0.3
287.2612	Pseudomonas aeruginosa strain AU19803	WGS	6158966	Good		52	98.7	99.9	99.7	1.2
287.2615	Pseudomonas aeruginosa strain AU19804	WGS	6161159	Good		66	98.6	99.9	99.7	0.9
287.2616	Pseudomonas aeruginosa strain AU17550	WGS	6255564	Good		35	98.7	99.7	100	0.3
287.2600	Pseudomonas aeruginosa strain AU10409	WGS	6475849	Good		56	99	99.9	99.7	0
287.4260	Pseudomonas aeruginosa strain ATCC BAA-2108	WGS	6350180	Good		43	99.3	99.8	99.7	0
1402505.4	Pseudomonas aeruginosa BWHPSA005	WGS	6786304	Good		4	99.1	99.9	100	0.6
287.2258	Pseudomonas aeruginosa strain WH-SGI-V-07074	WGS	7084655	Good		89	98.8	99.8	100	0.9
287.2259	Pseudomonas aeruginosa strain WH-SGI-V-07068	WGS	6799779	Good		127	99.1	99.9	100	0
287.2262	Pseudomonas aeruginosa strain WH-SGI-V-07071	WGS	6454783	Good		48	99.3	99.8	100	0
287.2265	Pseudomonas aeruginosa strain WH-SGI-V-07062	WGS	6439818	Good		90	99	99.9	98.8	0.6
287.2267	Pseudomonas aeruginosa strain WH-SGI-V-07072	WGS	6373176	Good		87	98.6	99.6	98.6	1.3
287.2289	Pseudomonas aeruginosa strain WH-SGI-V-07223	WGS	6671717	Good		86	98.9	99.8	100	0.9
287.2290	Pseudomonas aeruginosa strain WH-SGI-V-07225	WGS	6910560	Good		139	99.1	99.9	100	0.3
287.2292	Pseudomonas aeruginosa strain WH-SGI-V-07228	WGS	6545356	Good		53	99.3	99.8	100	0
287.2293	Pseudomonas aeruginosa strain WH-SGI-V-07229	WGS	6810880	Good		122	98.5	99.6	99.7	0.6
287.2299	Pseudomonas aeruginosa strain WH-SGI-V-07238	WGS	6854006	Good		79	98.9	99.8	100	0
287.2319	Pseudomonas aeruginosa strain WH-SGI-V-07054	WGS	6622180	Good		116	99.3	99.8	100	0.3
287.2332	Pseudomonas aeruginosa strain WH-SGI-V-07227	WGS	7059764	Good		124	98.7	99.8	100	0.3
287.2335	Pseudomonas aeruginosa strain WH-SGI-V-07236	WGS	6294241	Good		54	99.4	99.9	100	0.3
287.2336	Pseudomonas aeruginosa strain WH-SGI-V-07239	WGS	6791780	Good		93	98.3	99.7	100	0.3
287.2374	Pseudomonas aeruginosa strain WH-SGI-V-07428	WGS	6281269	Good		52	99.3	99.8	100	0.3
287.2375	Pseudomonas aeruginosa strain WH-SGI-V-07427	WGS	7047911	Good		130	99	99.8	100	0.3
287.2380	Pseudomonas aeruginosa strain WH-SGI-V-07488	WGS	5966500	Good		116	91.7	93.3	89.5	0
287.2385	Pseudomonas aeruginosa strain WH-SGI-V-07494	WGS	6367706	Good		137	97.5	98.4	95.8	0.3
287.2386	Pseudomonas aeruginosa strain WH-SGI-V-07495	WGS	7192846	Good		66	98.7	99.8	100	0
287.2389	Pseudomonas aeruginosa strain WH-SGI-V-07498	WGS	6599883	Good		91	99.1	99.8	100	0
287.2390	Pseudomonas aeruginosa strain WH-SGI-V-07500	WGS	6450818	Good		63	98.5	99.8	98.8	0
287.2394	Pseudomonas aeruginosa strain WH-SGI-V-07508	WGS	6992151	Good		212	98.7	99.8	100	0.9
287.2396	Pseudomonas aeruginosa strain WH-SGI-V-07619	WGS	6948292	Good		142	99.1	99.7	100	0.3
287.2398	Pseudomonas aeruginosa strain WH-SGI-V-07622	WGS	6749695	Good		166	96.8	98.2	96.7	0
287.2400	Pseudomonas aeruginosa strain WH-SGI-V-07627	WGS	6909417	Good		93	99	99.9	100	0
287.2402	Pseudomonas aeruginosa strain WH-SGI-V-07630	WGS	6472520	Good		63	99.5	99.9	100	0
287.2405	Pseudomonas aeruginosa strain WH-SGI-V-07635	WGS	6716925	Good		106	98.9	99.8	100	0.3
287.2406	Pseudomonas aeruginosa strain WH-SGI-V-07636	WGS	6773596	Good		94	98.9	99.9	100	0.9
287.2408	Pseudomonas aeruginosa strain WH-SGI-V-07640	WGS	6880830	Good		173	99.3	99.9	100	0
287.2410	Pseudomonas aeruginosa strain WH-SGI-V-07642	WGS	7056797	Good		119	99	99.8	99.7	0
287.2412	Pseudomonas aeruginosa strain WH-SGI-V-07644	WGS	6915640	Good		126	99	99.9	100	0
287.2424	Pseudomonas aeruginosa strain WH-SGI-V-07690	WGS	6946716	Good		347	98.2	99.4	100	0.6
287.2425	Pseudomonas aeruginosa strain WH-SGI-V-07692	WGS	6467973	Good		73	99.3	99.9	100	0
287.2426	Pseudomonas aeruginosa strain WH-SGI-V-07693	WGS	7105181	Good		200	99	99.9	100	0
287.2428	Pseudomonas aeruginosa strain WH-SGI-V-07697	WGS	6384066	Good		79	99.2	99.7	100	0.6
287.2429	Pseudomonas aeruginosa strain WH-SGI-V-07699	WGS	6749021	Good		130	98.8	99.9	100	0.9
287.2433	Pseudomonas aeruginosa strain WH-SGI-V-07704	WGS	6480039	Good		74	94.5	95.3	94.9	0.3
287.2434	Pseudomonas aeruginosa strain WH-SGI-V-07706	WGS	6796717	Good		94	98.8	99.9	100	0
287.2435	Pseudomonas aeruginosa strain WH-SGI-V-07707	WGS	6866306	Good		87	99	99.9	100	0
287.2441	Pseudomonas aeruginosa strain WH-SGI-V-07250	WGS	6785576	Good		79	98.7	99.8	97	0
287.2459	Pseudomonas aeruginosa strain WH-SGI-V-07501	WGS	6420339	Good		81	99	99.9	100	0
287.2464	Pseudomonas aeruginosa strain WH-SGI-V-07623	WGS	6422629	Good		64	99.3	99.9	100	0
287.2465	Pseudomonas aeruginosa strain WH-SGI-V-07624	WGS	6799608	Good		88	99.3	99.9	100	0.1
287.2473	Pseudomonas aeruginosa strain WH-SGI-V-07648	WGS	6852935	Good		184	99.1	99.8	100	0
287.2474	Pseudomonas aeruginosa strain WH-SGI-V-07650	WGS	6902747	Good		206	98.8	99.8	100	0.9
287.2475	Pseudomonas aeruginosa strain WH-SGI-V-07678	WGS	6772383	Good		98	99.7	99.9	100	0.6
287.2481	Pseudomonas aeruginosa strain WH-SGI-V-07691	WGS	6992939	Good		89	99	99.7	99.7	0
287.2482	Pseudomonas aeruginosa strain WH-SGI-V-07695	WGS	6321958	Good		68	99.6	99.7	100	0
287.2503	Pseudomonas aeruginosa strain WH-SGI-V-07293	WGS	6583317	Good		120	99	99.9	100	0
287.2516	Pseudomonas aeruginosa strain WH-SGI-V-07317	WGS	6433955	Good		89	99.4	99.8	100	0.3
287.2574	Pseudomonas aeruginosa strain AU24787	WGS	6150557	Good		61	97.8	99.8	98.5	1.6
287.2576	Pseudomonas aeruginosa strain AU7511	WGS	6430803	Good		60	98.2	99.9	99.4	1.3
287.2581	Pseudomonas aeruginosa strain AU11866	WGS	6441026	Good		87	98.5	99.9	99.7	0.3
287.2586	Pseudomonas aeruginosa strain AU10014	WGS	6515569	Good		76	98.9	99.9	100	0.6
287.2597	Pseudomonas aeruginosa strain AU16960	WGS	6499229	Good		33	98.5	99.8	99.4	0.6
287.2598	Pseudomonas aeruginosa strain AU7033	WGS	6366246	Good		95	98.7	99.9	100	0
287.2601	Pseudomonas aeruginosa strain AU10272	WGS	6588605	Good		53	98.8	99.8	100	1.2
287.2602	Pseudomonas aeruginosa strain AU10410	WGS	6580210	Good		56	98.8	99.8	100	1.2
287.2614	Pseudomonas aeruginosa strain AU10658	WGS	6341036	Good		77	98.2	99.9	99.7	0.3
287.2626	Pseudomonas aeruginosa strain AU24156	WGS	6356852	Good		59	98.6	99.7	100	0.3
287.2627	Pseudomonas aeruginosa strain AU7198	WGS	6548147	Good		91	98.3	99.8	99.7	1.2
287.2629	Pseudomonas aeruginosa strain AU11990	WGS	6321329	Good		39	98.9	99.8	100	0.6
287.4259	Pseudomonas aeruginosa strain ATCC BAA-2113	WGS	6345121	Good		27	99.5	99.9	100	0
287.4261	Pseudomonas aeruginosa strain ATCC BAA-2114	WGS	6238536	Good		23	99.7	99.9	100	0
