	genome.genome_id	genome.genome_name	genome.genome_status	genome.genome_length	genome.genome_quality	genome.plasmids	genome.contigs	genome.fine_consistency	genome.coarse_consistency	genome.checkm_completeness	genome.checkm_contamination
0	1313.6814	Streptococcus pneumoniae strain 34	WGS	2099887.0	Good		81	98.7	99.8	99.7	1.0
1	869312.3	Streptococcus pneumoniae SPN033038	Complete	2133496.0	Good	0.0	1	98.5	99.5	100.0	1.2
2	1313.5848	Streptococcus pneumoniae strain 0216	WGS	2119985.0	Good		96	99.0	99.4	99.4	1.2
3	1313.6112	Streptococcus pneumoniae strain 0272	WGS	2128457.0	Good		87	98.7	99.3	99.5	1.2
4	1313.5873	Streptococcus pneumoniae strain 0279	WGS	2142411.0	Good		85	98.7	99.3	99.4	1.2
5	1313.6776	Streptococcus pneumoniae strain 0315	WGS	2132746.0	Good		87	98.9	99.3	99.5	1.3
6	1313.13969	Streptococcus pneumoniae strain SPN_01	WGS	2029162.0	Good		64	98.9	99.6	100.0	1.8
7	1315308.3	Streptococcus pneumoniae MNZ14	WGS	2131549.0	Good	0.0	79	99.3	99.5	98.8	0.5
8	1313.6799	Streptococcus pneumoniae	WGS	2071732.0	Good		54	98.3	99.5	100.0	0.6
9	1313.6224	Streptococcus pneumoniae strain 0375	WGS	2125828.0	Good		62	99.2	99.6	100.0	0.8
10	1313.6786	Streptococcus pneumoniae strain 0379	WGS	2123747.0	Good		69	99.2	99.6	100.0	0.8
11	1313.15902	Streptococcus pneumoniae strain NCTC11902	Complete	2093242.0	Good		1	99.1	99.6	100.0	0.8
12	1313.5773	Streptococcus pneumoniae strain 208_15	WGS	2133453.0	Good		62	99.0	99.6	100.0	0.8
13	1313.6220	Streptococcus pneumoniae strain 0273	WGS	2148845.0	Good		95	98.9	99.3	99.5	0.7
14	1313.6789	Streptococcus pneumoniae strain 0206	WGS	2122391.0	Good		64	99.2	99.6	100.0	0.9
15	1313.5867	Streptococcus pneumoniae strain 0381	WGS	2126494.0	Good		65	99.2	99.6	100.0	0.9
16	1313.12160	Streptococcus pneumoniae strain SMRU1020	WGS	2144068.0	Good		65	99.2	99.5	98.9	0.9
17	1313.6430	Streptococcus pneumoniae strain 0378	WGS	2131392.0	Good		70	99.0	99.5	100.0	1.1
18	1313.8286	Streptococcus pneumoniae strain 2842STDY5753665	WGS	2175641.0	Good		72	98.5	99.4	100.0	0.3
19	1313.8141	Streptococcus pneumoniae strain 2842STDY5881949	WGS	2091317.0	Good		31	99.1	99.9	100.0	0.5
20	1313.13900	Streptococcus pneumoniae strain 37119	WGS	2039338.0	Good		58	98.9	99.8	100.0	0.5
21	1313.13899	Streptococcus pneumoniae strain 21295	WGS	2035286.0	Good		60	98.9	99.8	100.0	0.5
22	1313.8082	Streptococcus pneumoniae strain 2842STDY5643744	WGS	2085395.0	Good		30	99.0	99.6	99.7	0.5
23	1313.8090	Streptococcus pneumoniae strain 2842STDY5881948	WGS	2092817.0	Good		29	99.0	99.8	99.7	0.5
24	1313.5274	Streptococcus pneumoniae ECC_3508	WGS	2114550.0	Good		90	99.1	99.4	99.5	0.5
25	1313.6269	Streptococcus pneumoniae strain 23A	WGS	2150927.0	Good		88	98.9	99.6	100.0	0.6
26	1313.6445	Streptococcus pneumoniae strain 0310	WGS	2147764.0	Good		92	98.8	99.3	99.5	0.5
27	1313.6177	Streptococcus pneumoniae strain 34	WGS	2072088.0	Good		39	98.6	99.8	99.7	0.5
28	1313.13893	Streptococcus pneumoniae strain 41617	WGS	2071981.0	Good		60	99.0	99.8	100.0	0.2
29	1313.13885	Streptococcus pneumoniae strain 48565	WGS	2038526.0	Good		67	99.0	99.7	100.0	0.2
30	1313.7163	Streptococcus pneumoniae strain 2842STDY5643694	WGS	2054897.0	Good		29	99.0	99.5	100.0	0.2
31	1313.8466	Streptococcus pneumoniae strain 2842STDY5753676	WGS	2071975.0	Good		44	99.0	99.8	100.0	0.2
32	1313.7602	Streptococcus pneumoniae strain 2842STDY5753280	WGS	1986836.0	Good		26	99.1	99.5	99.8	0.2
33	1313.8073	Streptococcus pneumoniae strain 2842STDY5753771	WGS	2106515.0	Good		35	98.9	99.7	100.0	0.2
34	1313.8153	Streptococcus pneumoniae strain 2842STDY5753276	WGS	2064839.0	Good		50	98.9	99.3	100.0	0.2
35	1313.7652	Streptococcus pneumoniae strain 2842STDY5753321	WGS	2099662.0	Good		57	98.8	99.5	100.0	0.2
36	1313.6817	Streptococcus pneumoniae strain 19F	WGS	2124989.0	Good		61	98.7	99.3	100.0	0.2
37	1313.8005	Streptococcus pneumoniae strain 2842STDY5753150	WGS	2142247.0	Good		48	98.7	99.4	100.0	0.2
38	1313.8317	Streptococcus pneumoniae strain 2842STDY5644104	WGS	2042965.0	Good		33	98.8	99.6	99.8	0.2
39	170187.35	Streptococcus pneumoniae TIGR4	Complete	2163340.0	Good		1	98.6	99.4	100.0	0.2
40	1313.7366	Streptococcus pneumoniae strain 2842STDY5753599	WGS	2103857.0	Good		65	98.6	99.4	100.0	0.2
41	170187.11	Streptococcus pneumoniae TIGR4	Complete	2160842.0	Good	0.0	1	99.0	99.6	100.0	0.3
42	1313.6411	Streptococcus pneumoniae strain 34	WGS	2065931.0	Good		46	98.8	99.8	99.7	0.2
43	1313.7639	Streptococcus pneumoniae strain 2842STDY5644478	WGS	2108566.0	Good		49	98.7	99.4	99.8	0.2
44	1330044.3	Streptococcus pneumoniae BHN427	WGS	2108487.0	Good	0.0	76	98.4	99.4	99.1	0.0
45	1313.7262	Streptococcus pneumoniae strain 2842STDY5643769	WGS	2117561.0	Good		36	98.9	99.7	100.0	0.3
46	1313.7560	Streptococcus pneumoniae strain 2842STDY5753812	WGS	2153378.0	Good		39	98.9	99.7	100.0	0.3
47	1313.7723	Streptococcus pneumoniae strain 2842STDY5881939	WGS	2057476.0	Good		29	98.9	99.4	100.0	0.3
48	1313.13835	Streptococcus pneumoniae strain SWU02	Complete	2092148.0	Good		1	98.9	99.3	100.0	0.3
