	genome.genome_id	genome.genome_name	genome.genome_status	genome.genome_length	genome.genome_quality	genome.plasmids	genome.contigs	genome.fine_consistency	genome.coarse_consistency	genome.checkm_completeness	genome.checkm_contamination
0	562.28551	Escherichia coli strain HT2012153	WGS	5102600.0	Good		66	97.3	99.6	100.0	1.1
1	562.28484	Escherichia coli strain HT2012036	WGS	5160898.0	Good		100	98.3	99.6	99.3	0.4
2	1116119.3	Escherichia coli 2719100	WGS	5286235.0	Good	0.0	36	99.0	99.9	100.0	0.7
3	562.19008	Escherichia coli strain 53-632	WGS	4845617.0	Good		9	99.0	99.9	100.0	0.4
4	562.7976	Escherichia coli strain HMLN-1	WGS	4868332.0	Good	1.0	48	98.8	99.9	100.0	0.4
5	562.20887	Escherichia coli strain MOD1-EC5035	WGS	4976989.0	Good		79	99.1	99.8	100.0	0.4
6	562.7555	Escherichia coli	WGS	4810179.0	Good		72	98.7	99.9	100.0	0.0
7	562.20890	Escherichia coli strain MOD1-EC5031	WGS	4881416.0	Good		89	98.7	99.9	100.0	0.0
8	562.28198	Escherichia coli strain DH5alpha	Complete	4833062.0	Good		1	98.4	99.5	100.0	0.0
9	562.22259	Escherichia coli strain MOD1-EC5790	WGS	4899186.0	Good		82	98.3	99.6	100.0	0.0
10	562.9969	Escherichia coli strain sheep21	WGS	4942000.0	Good		60	99.3	99.8	100.0	0.0
11	562.13767	Escherichia coli strain S42	Complete	4838808.0	Good		1	99.3	100.0	100.0	0.0
12	562.7535	Escherichia coli	WGS	4933946.0	Good		63	99.3	99.9	100.0	0.0
13	562.7817	Escherichia coli strain PARC444	WGS	5064812.0	Good		98	99.3	100.0	100.0	0.0
14	1181756.3	Escherichia coli KTE210	WGS	4896455.0	Good	0.0	38	99.2	99.9	100.0	0.0
15	562.19070	Escherichia coli strain 111-1495	WGS	4939454.0	Good		16	99.1	99.9	100.0	0.0
16	868209.3	Escherichia coli DEC15D	WGS	5210334.0	Good	0.0	31	99.0	99.9	100.0	0.0
17	562.20512	Escherichia coli strain RM7806	WGS	5138700.0	Good		18	99.6	100.0	100.0	0.0
18	562.9966	Escherichia coli strain sheep18	WGS	5012550.0	Good		54	99.4	99.7	100.0	0.0
19	1055545.3	Escherichia coli O91 str. RM7190	Complete	5030336.0	Good	2.0	3	99.4	100.0	100.0	0.0
20	1116037.3	Escherichia coli BCE001_MS16	WGS	4998456.0	Good	0.0	22	99.3	99.9	100.0	0.0
21	1116112.3	Escherichia coli BCE002_MS12	WGS	4946441.0	Good	0.0	97	99.2	99.9	100.0	1.1
22	1116140.3	Escherichia coli MP020940.1	WGS	5256328.0	Good	0.0	56	99.0	99.9	100.0	0.0
23	1125649.3	Escherichia coli P0299483.2	WGS	5048678.0	Good	0.0	100	99.5	99.9	100.0	0.0
24	1136217.3	Escherichia coli O104:H4 str. ON2010	WGS	5100158.0	Good	0.0	80	98.9	99.9	100.0	0.0
25	1144302.3	Escherichia coli SCI-07	WGS	4972327.0	Good	0.0	68	98.7	99.8	100.0	0.4
26	1169316.3	Escherichia coli KTE3	WGS	5124621.0	Good	0.0	58	98.9	99.7	100.0	0.6
27	1169318.3	Escherichia coli KTE13	WGS	4959688.0	Good	0.0	40	99.4	99.9	100.0	0.0
28	1169326.3	Escherichia coli KTE5	WGS	5230036.0	Good	0.0	65	99.0	99.9	100.0	0.0
29	1169332.3	Escherichia coli KTE12	WGS	4982067.0	Good	0.0	53	99.4	99.9	100.0	0.0
30	1169333.3	Escherichia coli KTE14	WGS	5286387.0	Good	0.0	92	98.8	99.9	100.0	0.2
