	genome.genome_id	genome.genome_name	genome.genome_status	genome.genome_length	genome.genome_quality	genome.plasmids	genome.contigs	genome.fine_consistency	genome.coarse_consistency	genome.checkm_completeness	genome.checkm_contamination
0	336306.33	Enterobacter cloacae subsp. cloacae strain MN73R	WGS	4759704.0	Good		24	98.6	99.3	100.0	0.0
1	336306.32	Enterobacter cloacae subsp. cloacae strain CAPREX E2-2	WGS	5028994.0	Good		21	98.4	99.5	100.0	0.0
2	1203195.3	Enterobacter cloacae subsp. cloacae 08XA1	WGS	4875756.0	Good	0.0	51	98.2	99.3	99.7	0.0
3	1211025.3	Enterobacter cloacae subsp. cloacae ENHKU01	Complete	4726582.0	Good	0.0	1	98.2	99.3	100.0	0.0
4	336306.25	Enterobacter cloacae subsp. cloacae strain SZECL	WGS	4893955.0	Good		29	98.2	99.4	100.0	0.0
5	336306.31	Enterobacter cloacae subsp. cloacae strain CAPREX_E7	WGS	5034327.0	Good		15	98.4	99.5	100.0	0.0
6	336306.12	Enterobacter cloacae subsp. cloacae strain WCHECl-1060	WGS	4810359.0	Good		28	98.2	99.3	100.0	0.6
7	336306.15	Enterobacter cloacae subsp. cloacae strain ST252:19870317JSK	WGS	4870580.0	Good		99	97.7	99.1	100.0	0.3
8	1619244.3	Enterobacter sp. 35669	WGS	4997010.0	Good		66	98.6	99.5	100.0	0.3
9	550.854	Enterobacter cloacae strain e381	WGS	5043172.0	Good		29	98.4	99.9	98.4	1.7
10	550.340	Enterobacter cloacae strain MNCRE36	WGS	4965829.0	Good		84	97.4	99.2	100.0	0.9
11	550.1537	Enterobacter cloacae strain amazonensis	WGS	5053980.0	Good		69	97.9	99.2	99.4	0.9
12	550.274	Enterobacter cloacae strain MNCRE7	WGS	4960370.0	Good		74	97.1	99.3	100.0	0.3
13	550.337	Enterobacter cloacae strain MNCRE35	WGS	4918874.0	Good		102	97.4	99.2	100.0	0.4
14	550.257	Enterobacter cloacae strain MNCRE84	WGS	4916081.0	Good		100	97.3	99.2	100.0	0.6
15	550.265	Enterobacter cloacae strain MNCRE25	WGS	4968960.0	Good		100	97.7	99.2	100.0	0.8
16	550.344	Enterobacter cloacae strain MNCRE83	WGS	4881652.0	Good		100	97.4	99.0	99.7	0.0
17	550.978	Enterobacter cloacae strain INSali10	WGS	4949459.0	Good		63	97.1	99.6	100.0	0.0
18	550.279	Enterobacter cloacae strain MNCRE38	WGS	4960708.0	Good		100	97.5	99.2	100.0	0.0
19	550.276	Enterobacter cloacae strain MNCRE8	WGS	4962676.0	Good		68	97.4	99.3	100.0	0.0
20	550.347	Enterobacter cloacae strain MNCRE9	WGS	4908651.0	Good		62	97.3	99.2	100.0	0.0
21	550.486	Enterobacter cloacae strain CAV1411	Complete	5005065.0	Good	2.0	3	98.6	99.6	100.0	0.3
22	550.1407	Enterobacter cloacae strain ECC3137	WGS	4956996.0	Good		56	98.6	99.6	100.0	0.3
23	550.1303	Enterobacter cloacae strain 170	WGS	5092096.0	Good		37	98.3	99.4	100.0	0.0
24	550.133	Enterobacter cloacae ND7	WGS	5020878.0	Good		74	97.0	99.1	100.0	0.0
25	550.141	Enterobacter cloacae ND4	WGS	4978163.0	Good		78	97.6	99.0	100.0	0.0
26	550.136	Enterobacter cloacae ND11	WGS	4914264.0	Good		78	97.3	98.9	100.0	0.0
27	550.137	Enterobacter cloacae ND12	WGS	4975568.0	Good		76	97.3	99.0	100.0	0.0
28	550.128	Enterobacter cloacae ND13	WGS	4938576.0	Good		77	97.2	99.0	100.0	0.0
29	69219.6	Enterobacter cloacae subsp. dissolvens strain GN05902	WGS	4991140.0	Good		76	97.0	99.5	100.0	0.8
30	550.520	Enterobacter cloacae strain GN03667	WGS	4906814.0	Good		104	97.9	99.7	100.0	1.7
31	2080663.3	Enterobacter cloacae complex sp. ECNIH8	WGS	5107527.0	Good		71	98.4	99.6	100.0	0.3
32	550.489	Enterobacter cloacae strain GN02108	WGS	4704988.0	Good		81	98.0	99.6	100.0	0.0
33	550.492	Enterobacter cloacae strain GN02001	WGS	5166765.0	Good		104	98.0	99.5	100.0	0.0
34	550.399	Enterobacter cloacae strain GN02667	WGS	4973608.0	Good		106	98.5	99.6	100.0	0.0
35	550.393	Enterobacter cloacae strain GN02450	WGS	4715527.0	Good		22	98.5	99.4	100.0	0.0
36	550.404	Enterobacter cloacae strain GN02232	WGS	4885342.0	Good		53	97.9	99.3	100.0	0.0
37	550.406	Enterobacter cloacae strain GN02320	WGS	4967571.0	Good		61	98.3	99.6	100.0	0.3
38	550.514	Enterobacter cloacae strain GN04300	WGS	4961201.0	Good		94	98.0	99.3	100.0	0.5
39	1400147.3	Enterobacter cloacae UCI 24	WGS	4769038.0	Good	0.0	7	97.7	99.2	100.0	0.0
40	1439329.3	Enterobacter cloacae MGH 53	WGS	5056365.0	Good		32	98.0	99.4	100.0	0.0
41	550.1146	Enterobacter cloacae strain 704SK10	Complete	5051588.0	Good	2.0	3	98.1	99.6	100.0	0.0
42	550.1220	Enterobacter cloacae strain DS31788	WGS	4767242.0	Good		46	99.3	99.5	99.7	0.0
43	550.1226	Enterobacter cloacae strain DS11861	WGS	5022728.0	Good		47	98.9	99.5	100.0	0.6
44	550.1227	Enterobacter cloacae strain DS11005	WGS	4715829.0	Good		29	98.6	99.4	100.0	0.3
45	550.1409	Enterobacter cloacae strain ECC4240	WGS	4880712.0	Good		54	97.9	99.3	100.0	0.3
46	550.1417	Enterobacter cloacae strain ECC2572	WGS	4789183.0	Good		30	98.9	99.6	100.0	0.3
47	550.149	Enterobacter cloacae 6kgm	WGS	4889096.0	Good		78	98.7	99.3	100.0	0.0
48	550.150	Enterobacter cloacae GGT036	Complete	4848754.0	Good		1	97.9	99.2	100.0	0.0
49	550.1523	Enterobacter cloacae strain ESP151	WGS	4925587.0	Good		61	98.2	99.6	100.0	0.3
50	550.1672	Enterobacter cloacae strain NCTC13464	WGS	4845343.0	Good		2	98.4	99.5	100.0	0.8
51	550.354	Enterobacter cloacae strain CIDEIMsCOL14	WGS	5090391.0	Good		89	98.4	99.6	100.0	0.0
52	550.366	Enterobacter cloacae strain CIDEIMsCOL20	WGS	4860167.0	Good		91	98.2	99.6	100.0	0.6
53	550.437	Enterobacter cloacae strain 171_ECLO	WGS	4788973.0	Good		67	98.7	99.5	100.0	0.3
54	550.456	Enterobacter cloacae strain 559_ECLO	WGS	4869888.0	Good		67	98.3	99.3	100.0	0.0
55	550.475	Enterobacter cloacae strain LB3	WGS	4810458.0	Good		48	98.3	99.4	100.0	0.0
56	550.1123	Enterobacter cloacae strain UCI102	WGS	5058259.0	Good		5	97.8	99.2	100.0	0.3
57	550.1737	Enterobacter cloacae strain WCHECl090025	WGS	5087871.0	Good		109	98.4	99.5		
58	550.1740	Enterobacter cloacae strain WCHECl090014	WGS	4724937.0	Good		104	98.8	99.5		
59	550.1117	Enterobacter cloacae strain MGH159	WGS	5077423.0	Good		6	98.2	99.6	100.0	0.3
60	550.1119	Enterobacter cloacae strain MGH177	WGS	5154478.0	Good		14	97.4	99.3	99.7	0.0
61	550.1122	Enterobacter cloacae strain MGH184	WGS	4825632.0	Good		3	98.2	99.5	100.0	0.0
62	550.2247	Enterobacter cloacae strain DZ3-3B	WGS	4960254.0	Good		37	98.6	99.6		
63	550.2249	Enterobacter cloacae strain 339389L	Complete	5036275.0	Good		1	97.6	99.3		
64	550.1570	Enterobacter cloacae strain TUM10	WGS	4720457.0	Good		79	97.4	99.1	100.0	0.0
65	550.1575	Enterobacter cloacae strain TUM5376	WGS	4875023.0	Good		89	97.8	99.3	100.0	0.3
66	550.2108	Enterobacter cloacae strain 152	WGS	5016994.0	Good		84	97.4	99.3		
67	550.2118	Enterobacter cloacae strain 366	WGS	4871984.0	Good		69	97.6	99.3		
68	550.2124	Enterobacter cloacae strain 465	WGS	4924690.0	Good		79	97.6	99.4		
69	550.2127	Enterobacter cloacae strain MUGSI_100	WGS	4915059.0	Good		70	97.4	99.4		
70	550.2129	Enterobacter cloacae strain MUGSI_104	WGS	4938409.0	Good		80	97.8	99.4		
71	550.2131	Enterobacter cloacae strain MUGSI_11	WGS	4980223.0	Good		65	97.6	99.4		
72	550.2133	Enterobacter cloacae strain MUGSI_135	WGS	4939689.0	Good		56	97.4	99.3		
73	550.2142	Enterobacter cloacae strain MUGSI_20	WGS	4979880.0	Good		62	97.6	99.4		
74	550.2145	Enterobacter cloacae strain MUGSI_219	WGS	4760339.0	Good		80	97.6	99.3		
75	550.2149	Enterobacter cloacae strain MUGSI_229	WGS	4946275.0	Good		51	97.6	99.3		
76	550.2152	Enterobacter cloacae strain MUGSI_24	WGS	4980077.0	Good		58	97.6	99.4		
77	550.2154	Enterobacter cloacae strain MUGSI_26	WGS	4980050.0	Good		58	97.5	99.4		
78	550.2157	Enterobacter cloacae strain MUGSI_6	WGS	4984751.0	Good		56	97.4	99.4		
79	550.2159	Enterobacter cloacae strain MUGSI_70	WGS	4937759.0	Good		92	97.9	99.3		
80	550.2162	Enterobacter cloacae strain MUGSI_99	WGS	4978904.0	Good		76	97.5	99.3		
81	550.1074	Enterobacter cloacae strain AR_0002	Complete	5021981.0	Good	1.0	2	97.7	99.3	100.0	0.0
82	550.1113	Enterobacter cloacae strain AR_0065	Complete	4894829.0	Good	1.0	2	98.4	99.5	100.0	0.0
83	550.1142	Enterobacter cloacae strain AR_0053	Complete	5132006.0	Good	3.0	4	97.7	99.3	100.0	0.3
84	550.1526	Enterobacter cloacae strain AR_0072	Complete	4875791.0	Good	2.0	3	98.7	99.6	100.0	0.0
85	550.1528	Enterobacter cloacae strain AR_0093	Complete	4980809.0	Good	2.0	3	98.4	99.7	100.0	0.3
86	550.1647	Enterobacter cloacae strain AR_0032	WGS	5116152.0	Good		6	97.9	99.3	100.0	0.0
87	550.506	Enterobacter cloacae strain SMART_855	WGS	4896352.0	Good		100	98.3	99.3	100.0	0.0
88	550.534	Enterobacter cloacae strain SMART_1306	WGS	5042723.0	Good		76	97.0	99.3	100.0	0.3
89	550.543	Enterobacter cloacae strain SMART_1270	WGS	5055893.0	Good		85	98.4	99.6	100.0	0.3
90	550.549	Enterobacter cloacae strain SMART_1261	WGS	5057911.0	Good		88	98.4	99.6	100.0	0.3
91	550.555	Enterobacter cloacae strain SMART_1259	WGS	5076846.0	Good		74	98.2	99.6	100.0	0.0
92	550.558	Enterobacter cloacae strain SMART_1342	WGS	4909094.0	Good		66	98.4	99.6	100.0	0.0
93	550.566	Enterobacter cloacae strain SMART_1269	WGS	5053865.0	Good		80	98.4	99.6	100.0	0.3
94	550.643	Enterobacter cloacae strain e1284	WGS	4806682.0	Good		40	98.3	99.4	100.0	0.0
95	550.647	Enterobacter cloacae strain e1109	WGS	4787547.0	Good		41	98.2	99.4	100.0	0.3
96	550.650	Enterobacter cloacae strain e1219	WGS	4816242.0	Good		49	98.6	99.6	100.0	0.3
97	550.657	Enterobacter cloacae strain e1227	WGS	4940014.0	Good		59	98.4	99.3	99.7	0.0
98	550.663	Enterobacter cloacae strain e1236	WGS	4969269.0	Good		44	98.4	99.3	100.0	0.6
99	550.669	Enterobacter cloacae strain e1195	WGS	5099383.0	Good		51	97.6	99.3	99.7	0.0
100	550.680	Enterobacter cloacae strain e1163	WGS	4849604.0	Good		37	97.9	99.0	99.1	0.0
101	550.684	Enterobacter cloacae strain e1155	WGS	5165860.0	Good		105	98.2	99.3	100.0	0.3
102	550.688	Enterobacter cloacae strain e1252	WGS	5121988.0	Good		85	98.2	99.5	99.4	0.5
103	550.690	Enterobacter cloacae strain e1294	WGS	5132688.0	Good		70	97.7	99.4	100.0	0.6
104	550.696	Enterobacter cloacae strain e1333	WGS	5101263.0	Good		55	97.9	99.5	100.0	0.1
105	550.700	Enterobacter cloacae strain e1339	WGS	5167754.0	Good		52	98.4	99.4	100.0	0.0
106	550.703	Enterobacter cloacae strain e1345	WGS	4743924.0	Good		65	98.4	99.5	100.0	0.6
107	550.708	Enterobacter cloacae strain e1386	WGS	5002252.0	Good		71	98.5	99.5	100.0	0.3
108	550.710	Enterobacter cloacae strain e1387	WGS	4819496.0	Good		52	98.6	99.4	100.0	0.0
109	550.711	Enterobacter cloacae strain e1391	WGS	4878038.0	Good		43	98.1	99.2	100.0	0.0
110	550.717	Enterobacter cloacae strain e1454	WGS	4765306.0	Good		27	98.4	99.5	100.0	0.0
111	550.718	Enterobacter cloacae strain e1481	WGS	5011677.0	Good		44	97.9	99.5	100.0	0.0
112	550.722	Enterobacter cloacae strain e1487	WGS	4791577.0	Good		36	98.4	99.4	100.0	0.0
113	550.729	Enterobacter cloacae strain e1547	WGS	4769308.0	Good		23	98.2	99.4	99.7	0.0
114	550.735	Enterobacter cloacae strain e1589	WGS	4806205.0	Good		25	97.8	99.4	100.0	0.3
115	550.737	Enterobacter cloacae strain e1605	WGS	4802016.0	Good		25	98.0	99.5	100.0	0.3
116	550.739	Enterobacter cloacae strain e1632	WGS	4928875.0	Good		20	97.8	99.3	100.0	0.1
117	550.748	Enterobacter cloacae strain e1832	WGS	4934993.0	Good		32	97.8	99.5	100.0	0.3
118	550.764	Enterobacter cloacae strain e1713	WGS	5002227.0	Good		57	97.9	99.5	99.7	0.0
119	550.769	Enterobacter cloacae strain e1772	WGS	4959604.0	Good		48	98.0	99.0	100.0	0.3
120	550.773	Enterobacter cloacae strain e1775	WGS	4914568.0	Good		41	97.5	99.2	100.0	0.0
121	550.778	Enterobacter cloacae strain e1837	WGS	4971161.0	Good		34	97.7	99.4	99.7	0.3
122	550.780	Enterobacter cloacae strain e1889	WGS	4856648.0	Good		47	98.0	99.2	100.0	0.0
123	550.782	Enterobacter cloacae strain e1947	WGS	5051261.0	Good		52	98.3	99.6	100.0	0.0
124	550.791	Enterobacter cloacae strain e2022	WGS	5032991.0	Good		47	98.5	99.6	100.0	0.0
125	550.792	Enterobacter cloacae strain e2049	WGS	4951161.0	Good		29	97.8	99.3	100.0	0.0
126	550.793	Enterobacter cloacae strain e2071	WGS	4960127.0	Good		72	98.4	99.4	99.7	0.0
127	550.794	Enterobacter cloacae strain e2054	WGS	4794858.0	Good		30	98.2	99.4	100.0	0.3
128	550.797	Enterobacter cloacae strain e2140	WGS	4819206.0	Good		58	98.3	99.3	100.0	0.0
129	550.800	Enterobacter cloacae strain e2276	WGS	5083775.0	Good		76	98.2	99.5	100.0	0.0
130	550.804	Enterobacter cloacae strain e2282	WGS	4965741.0	Good		64	98.2	99.5	100.0	0.3
131	550.809	Enterobacter cloacae strain e2350	WGS	4963845.0	Good		17	98.2	99.3	100.0	0.6
132	550.813	Enterobacter cloacae strain e2433	WGS	5080276.0	Good		48	98.2	99.5	100.0	0.0
133	550.814	Enterobacter cloacae strain e2473	WGS	5014014.0	Good		39	98.0	99.5	99.7	0.0
134	550.815	Enterobacter cloacae strain e248	WGS	4774122.0	Good		30	97.3	99.4	100.0	0.0
135	550.817	Enterobacter cloacae strain e2430	WGS	4948840.0	Good		60	97.9	99.2	100.0	0.0
136	550.826	Enterobacter cloacae strain e2752	WGS	4793330.0	Good		73	98.1	99.3	100.0	0.6
137	550.832	Enterobacter cloacae strain e283	WGS	4767203.0	Good		30	98.4	99.5	100.0	0.3
138	550.839	Enterobacter cloacae strain e298	WGS	4997106.0	Good		38	97.7	99.4	100.0	0.3
139	550.843	Enterobacter cloacae strain e318	WGS	4910245.0	Good		55	98.0	99.3	99.7	0.0
140	550.845	Enterobacter cloacae strain e316	WGS	4988230.0	Good		76	97.9	99.5	100.0	0.9
141	550.851	Enterobacter cloacae strain e362	WGS	4721010.0	Good		13	98.3	99.0	99.7	0.0
142	550.855	Enterobacter cloacae strain e395	WGS	4932848.0	Good		62	98.4	99.3	99.4	0.0
143	550.856	Enterobacter cloacae strain e391	WGS	5140903.0	Good		53	97.7	99.3	100.0	0.0
144	550.857	Enterobacter cloacae strain e404	WGS	4746288.0	Good		71	97.8	99.2	100.0	0.3
145	550.868	Enterobacter cloacae strain e473	WGS	4891846.0	Good		39	98.2	99.3	100.0	0.0
146	550.871	Enterobacter cloacae strain e484	WGS	5121703.0	Good		85	98.2	99.4	100.0	0.3
147	550.874	Enterobacter cloacae strain e513	WGS	4903750.0	Good		42	98.2	99.3	99.7	0.3
148	550.875	Enterobacter cloacae strain e532	WGS	4789757.0	Good		35	98.5	99.6	100.0	0.0
149	550.881	Enterobacter cloacae strain e554	WGS	5002379.0	Good		29	97.2	99.3	99.7	0.0
150	550.883	Enterobacter cloacae strain e559	WGS	4898563.0	Good		46	98.4	99.4	100.0	0.0
151	550.886	Enterobacter cloacae strain e575	WGS	4891915.0	Good		59	98.2	99.3	100.0	0.6
152	550.887	Enterobacter cloacae strain e590	WGS	4829673.0	Good		36	98.2	99.3	100.0	0.6
