	genome.genome_id	genome.genome_name	genome.genome_status	genome.genome_length	genome.genome_quality	genome.plasmids	genome.contigs	genome.fine_consistency	genome.coarse_consistency	genome.checkm_completeness	genome.checkm_contamination
0	485.1058	Neisseria gonorrhoeae strain Gr09-1213	WGS	2141740	Good		81	98.6	99.3	100.0	1.2
1	485.680	Neisseria gonorrhoeae strain mankind	WGS	2191659	Good		86	98.5	99.4	100.0	1.2
2	485.1038	Neisseria gonorrhoeae strain GC11278	WGS	2140256	Good		71	98.5	99.3	100.0	1.2
3	485.1057	Neisseria gonorrhoeae strain Gr04-0065	WGS	2113959	Good		76	98.5	99.2	100.0	0.6
4	485.1113	Neisseria gonorrhoeae strain Gr10-1082	WGS	2141911	Good		74	98.5	99.2	100.0	0.6
5	485.1126	Neisseria gonorrhoeae strain Gr09-0577	WGS	2137952	Good		78	98.5	99.2	100.0	0.6
6	485.1084	Neisseria gonorrhoeae strain Gr04-0050	WGS	2119466	Good		74	98.5	99.2	100.0	0.6
7	485.1185	Neisseria gonorrhoeae strain Gr10-1072	WGS	2097679	Good		76	98.4	99.2	100.0	0.6
8	485.1097	Neisseria gonorrhoeae strain Gr09-0112	WGS	2095043	Good		70	98.4	99.2	100.0	0.6
9	528360.6	Neisseria gonorrhoeae SK-93-1035	WGS	2144977	Good	0.0	40	98.8	99.5	98.8	0.6
10	528357.5	Neisseria gonorrhoeae PID24-1	WGS	2125573	Good	0.0	54	98.4	99.5	98.8	0.6
11	485.1036	Neisseria gonorrhoeae strain Gr09-1196	WGS	2076889	Good		71	98.6	99.3	99.4	0.0
12	485.1191	Neisseria gonorrhoeae strain Gr10-1558	WGS	2138728	Good		86	98.6	99.3	99.4	0.0
13	485.1125	Neisseria gonorrhoeae strain GC8253	WGS	2168708	Good		72	98.5	99.2	99.4	0.0
14	528358.6	Neisseria gonorrhoeae PID332	WGS	2197024	Good	0.0	47	99.0	99.6	98.8	0.0
15	485.1352	Neisseria gonorrhoeae strain NCTC13821	WGS	2233093	Good		2	97.7	99.0	100.0	0.0
16	485.980	Neisseria gonorrhoeae strain Gr07-0417	WGS	2110695	Good		83	98.2	99.1	99.4	0.0
17	485.1190	Neisseria gonorrhoeae strain GC8241	WGS	2140831	Good		78	98.8	99.3	100.0	0.0
18	485.1110	Neisseria gonorrhoeae strain Gr05-0885	WGS	2160324	Good		85	98.8	99.4	100.0	0.0
19	485.1018	Neisseria gonorrhoeae strain Gr07-1672	WGS	2138806	Good		76	98.7	99.2	100.0	0.0
20	485.1020	Neisseria gonorrhoeae strain Gr07-1669	WGS	2116546	Good		84	98.7	99.3	100.0	0.0
21	485.986	Neisseria gonorrhoeae strain Gr07-1637	WGS	2122655	Good		78	98.7	99.3	100.0	0.0
22	485.1040	Neisseria gonorrhoeae strain Gr04-0023	WGS	2178539	Good		72	98.7	99.3	100.0	0.0
23	485.1176	Neisseria gonorrhoeae strain Gr09-0971	WGS	2176490	Good		79	98.7	99.3	100.0	0.0
24	485.1179	Neisseria gonorrhoeae strain Gr09-1274	WGS	2136981	Good		71	98.7	99.3	100.0	0.0
25	485.1160	Neisseria gonorrhoeae strain Gr08-2615	WGS	2137131	Good		74	98.7	99.2	100.0	0.0
26	485.964	Neisseria gonorrhoeae strain Gr10-1645	WGS	2181177	Good		73	98.7	99.2	100.0	0.0
27	485.1142	Neisseria gonorrhoeae strain Gr05-0367	WGS	2131464	Good		74	98.7	99.3	100.0	0.0
28	485.1109	Neisseria gonorrhoeae strain Gr07-1178	WGS	2140722	Good		69	98.7	99.2	100.0	0.0
29	485.1094	Neisseria gonorrhoeae strain Gr05-0370	WGS	2150057	Good		85	98.7	99.2	100.0	0.0
30	485.1101	Neisseria gonorrhoeae strain Gr07-0317	WGS	2138734	Good		76	98.7	99.2	100.0	0.0
31	485.1117	Neisseria gonorrhoeae strain Gr10-2191	WGS	2121890	Good		75	98.7	99.3	100.0	0.0
32	485.1121	Neisseria gonorrhoeae strain Gr07-1620	WGS	2167054	Good		72	98.7	99.2	100.0	0.0
33	485.682	Neisseria gonorrhoeae strain mankind	WGS	2164140	Good		61	98.6	99.4	100.0	0.0
34	485.1033	Neisseria gonorrhoeae strain GC11296	WGS	2133817	Good		74	98.6	99.3	100.0	0.0
35	485.1034	Neisseria gonorrhoeae strain Gr09-1253	WGS	2141330	Good		70	98.6	99.3	100.0	0.0
36	485.1016	Neisseria gonorrhoeae strain Gr10-1648	WGS	2135355	Good		69	98.6	99.3	100.0	0.0
37	485.1008	Neisseria gonorrhoeae strain Gr08-0996	WGS	2135373	Good		73	98.6	99.2	100.0	0.0
38	485.1009	Neisseria gonorrhoeae strain GC11256	WGS	2079168	Good		73	98.6	99.2	100.0	0.0
39	485.989	Neisseria gonorrhoeae strain Gr10-1565	WGS	2136366	Good		77	98.6	99.3	100.0	0.0
40	485.1059	Neisseria gonorrhoeae strain Gr04-0037	WGS	2121891	Good		69	98.6	99.2	100.0	0.0
41	485.1061	Neisseria gonorrhoeae strain Gr07-1623	WGS	2114511	Good		74	98.6	99.2	100.0	0.0
42	485.979	Neisseria gonorrhoeae strain Gr10-1566	WGS	2130264	Good		77	98.6	99.3	100.0	0.0
43	485.1035	Neisseria gonorrhoeae strain Gr09-0032	WGS	2130407	Good		73	98.6	99.3	100.0	0.0
44	485.1047	Neisseria gonorrhoeae strain GC8259	WGS	2137268	Good		77	98.6	99.3	100.0	0.0
45	485.1054	Neisseria gonorrhoeae strain GC8266	WGS	2080334	Good		79	98.6	99.2	100.0	0.0
