	genome.genome_id	genome.genome_name	genome.genome_status	genome.genome_length	genome.genome_quality	genome.plasmids	genome.contigs	genome.fine_consistency	genome.coarse_consistency	genome.checkm_completeness	genome.checkm_contamination
0	903907.3	Acinetobacter baumannii OIFC0162	WGS	4078399.0	Good	0.0	55	98.1	99.3	100.0	0.5
1	470.5187	Acinetobacter baumannii strain Ab242	WGS	3890962.0	Good		31	98.1	99.0	100.0	0.5
2	470.2423	Acinetobacter baumannii strain 3027STDY5784958	Complete	4050765.0	Good	1.0	2	98.6	99.2	100.0	0.0
3	470.2965	Acinetobacter baumannii strain Ab36	WGS	4025375.0	Good		86	98.6	99.4	100.0	0.0
4	1096995.4	Acinetobacter baumannii BJAB07104	Complete	4042229.0	Good	2.0	3	98.4	99.3	100.0	0.3
5	1168588.3	Acinetobacter baumannii Ab11111	WGS	4062506.0	Good	0.0	26	98.5	99.4	100.0	0.0
6	1221260.3	Acinetobacter baumannii AB_2008-15-71	WGS	3886101.0	Good	0.0	90	98.7	99.0	99.5	0.0
7	1221270.3	Acinetobacter baumannii AB_909-02-7	WGS	3929639.0	Good	0.0	98	98.6	99.2	100.0	1.0
8	1221273.3	Acinetobacter baumannii AB_TG19617	WGS	3890585.0	Good	0.0	59	98.6	99.3	100.0	0.0
9	1223564.3	Acinetobacter baumannii ZWS1122	WGS	3937258.0	Good	0.0	60	99.0	99.3	100.0	0.0
10	1224141.3	Acinetobacter baumannii ZWS1219	WGS	3964728.0	Good	0.0	70	98.9	99.3	100.0	0.0
11	1315146.3	Acinetobacter baumannii TG15242	WGS	3886374.0	Good	0.0	88	98.8	99.3	100.0	0.0
12	1315150.3	Acinetobacter baumannii TG20277	WGS	4110502.0	Good	0.0	62	98.7	99.3	100.0	0.5
13	1315170.3	Acinetobacter baumannii TG22336	WGS	4160198.0	Good	0.0	45	98.0	99.3	100.0	1.0
14	1315184.3	Acinetobacter baumannii TG27407	WGS	4163950.0	Good	0.0	94	98.5	99.4	100.0	0.0
15	1343075.3	Acinetobacter baumannii CI77	WGS	4030011.0	Good	0.0	81	98.2	99.3	100.0	0.0
16	1398949.4	Acinetobacter baumannii UH10707 [PRJNA227030]	WGS	4156196.0	Good	0.0	9	98.3	99.4	100.0	0.0
17	1431338.3	Acinetobacter baumannii P630	WGS	3890656.0	Good		46	98.2	99.2	100.0	0.0
18	1455315.5	Acinetobacter baumannii LAC-4	Complete	3968436.0	Good	2.0	3	98.2	98.8	98.4	1.0
19	1458926.3	Acinetobacter baumannii LY9	WGS	4087028.0	Good		98	98.5	99.4	100.0	0.0
20	1116235.3	Acinetobacter baumannii AB5256	WGS	4158015.0	Good	0.0	50	98.0	99.0	100.0	1.0
21	1310839.3	Acinetobacter baumannii 24860_5	WGS	4128312.0	Good		92	98.3	99.3	100.0	0.0
22	1310846.3	Acinetobacter baumannii 24812_2	WGS	4014757.0	Good		91	98.5	99.3	100.0	0.0
23	1310858.3	Acinetobacter baumannii 24845_4	WGS	4083108.0	Good	0.0	95	98.4	99.3	100.0	0.0
24	1310867.3	Acinetobacter baumannii 25307_3	WGS	3974705.0	Good	0.0	87	98.6	99.3	100.0	0.5
25	1310898.3	Acinetobacter baumannii 45002_4	WGS	4004196.0	Good	0.0	83	98.4	99.3	100.0	0.0
26	1310948.3	Acinetobacter baumannii 24975_4	WGS	4025024.0	Good	0.0	96	98.1	99.3	100.0	0.0
27	1310953.3	Acinetobacter baumannii 24975_9	WGS	4043685.0	Good	0.0	97	98.4	99.3	100.0	0.0
28	1311022.3	Acinetobacter baumannii 25493_8	WGS	4106507.0	Good		93	98.4	99.1	100.0	1.5
29	1311093.3	Acinetobacter baumannii 45075_6	WGS	3942498.0	Good		57	98.6	99.1	100.0	0.5
30	1311095.3	Acinetobacter baumannii 45075_8	WGS	3930804.0	Good		59	98.4	99.1	100.0	0.0
31	1311098.3	Acinetobacter baumannii 16553_1	WGS	4099878.0	Good		88	98.4	99.3	100.0	0.0
32	1311112.3	Acinetobacter baumannii 25569_5	WGS	3989196.0	Good		69	98.4	99.1	100.0	0.0
33	1311116.3	Acinetobacter baumannii 25569_9	WGS	3966072.0	Good		68	98.7	99.1	100.0	0.5
34	1311138.3	Acinetobacter baumannii 42057_6	WGS	4080445.0	Good		79	98.1	99.4	100.0	2.0
35	1311143.3	Acinetobacter baumannii 45052_3	WGS	4000951.0	Good		69	98.3	99.1	100.0	0.5
36	1311144.3	Acinetobacter baumannii 45052_4	WGS	3983869.0	Good		65	98.4	99.1	100.0	0.0
37	470.766	Acinetobacter baumannii ABUH24314	WGS	4038180.0	Good		88	98.6	99.5	100.0	0.0
38	470.4683	Acinetobacter baumannii strain ABNIH28	Complete	4078838.0	Good	4.0	5	97.3	98.4	99.2	1.0
39	470.4746	Acinetobacter baumannii strain S4	WGS	3844189.0	Good		92	98.6	99.2	100.0	0.0
40	470.1288	Acinetobacter baumannii strain AC29	Complete	3851648.0	Good		1	98.7	99.3	100.0	0.0
41	470.1289	Acinetobacter baumannii strain BU310	WGS	3933524.0	Good		12	98.6	99.3	100.0	0.0
42	470.1299	Acinetobacter baumannii strain GTC 03328	WGS	4059659.0	Good		92	98.2	99.1	100.0	1.5
43	470.1303	Acinetobacter baumannii strain NBRC 110489	WGS	4059201.0	Good		95	98.1	99.1	100.0	1.5
44	470.1317	Acinetobacter baumannii strain NBRC 110494	WGS	3814151.0	Good		45	98.4	99.3	100.0	0.0
45	470.1345	Acinetobacter baumannii strain AB5075-UW	Complete	4066980.0	Good	3.0	4	98.7	99.3	100.0	0.0
46	470.1347	Acinetobacter baumannii strain J65	WGS	3890367.0	Good		55	98.7	99.3	100.0	0.0
47	470.1349	Acinetobacter baumannii strain J133	WGS	3886992.0	Good		83	98.8	99.4	100.0	0.0
48	470.1351	Acinetobacter baumannii strain GTC 03324	WGS	3815339.0	Good		37	98.4	99.3	100.0	0.0
49	470.1360	Acinetobacter baumannii strain MRSN16875	WGS	3916650.0	Good		85	97.9	98.8	100.0	0.0
50	470.1366	Acinetobacter baumannii strain LUH_6220	WGS	3966581.0	Good		63	98.3	99.2	100.0	0.3
51	470.1418	Acinetobacter baumannii strain ABBL062	WGS	3870667.0	Good		70	98.4	99.1	99.5	0.0
52	470.1508	Acinetobacter baumannii strain ACMH-6201	WGS	3977832.0	Good		82	98.2	98.9	100.0	0.8
53	470.1510	Acinetobacter baumannii strain ABBL006	WGS	4067745.0	Good		77	98.1	99.1	99.5	0.0
54	470.1513	Acinetobacter baumannii strain ABBL011	WGS	4003629.0	Good		70	97.9	99.3	99.5	0.5
55	470.1522	Acinetobacter baumannii strain ABBL004	WGS	3855049.0	Good		77	98.7	99.3	100.0	1.0
56	470.1524	Acinetobacter baumannii strain ABBL008	WGS	4064187.0	Good		89	98.6	99.4	100.0	0.0
57	470.1738	Acinetobacter baumannii strain CIP70.10	Complete	3936255.0	Good	1.0	2	98.2	99.2	100.0	0.0
58	470.1822	Acinetobacter baumannii strain YU-R612	Complete	4155251.0	Good	2.0	3	98.5	99.3	100.0	0.0
59	470.1864	Acinetobacter baumannii strain XH860	Complete	3846621.0	Good		1	98.9	99.3	99.0	0.0
60	470.2002	Acinetobacter baumannii strain AB3927	WGS	4113781.0	Good		45	98.7	99.3	100.0	0.0
61	470.2004	Acinetobacter baumannii strain AB4027	WGS	3903961.0	Good		72	98.9	99.4	100.0	0.0
62	470.2007	Acinetobacter baumannii strain AB4052	WGS	3921338.0	Good		43	98.5	99.3	100.0	0.0
63	470.2011	Acinetobacter baumannii strain AB4795	WGS	3882341.0	Good		78	98.4	99.4	100.0	0.0
64	470.2012	Acinetobacter baumannii strain AB4878	WGS	3862567.0	Good		45	98.6	99.3	100.0	0.0
65	470.2014	Acinetobacter baumannii strain AB4932	WGS	3865974.0	Good		39	98.6	99.3	100.0	0.0
66	470.2018	Acinetobacter baumannii strain AB5197	WGS	3959484.0	Good		58	98.6	99.3	100.0	0.0
67	470.2020	Acinetobacter baumannii strain 2015ZJAB3	WGS	3943968.0	Good		41	98.8	99.4	100.0	0.0
68	470.2021	Acinetobacter baumannii strain 2015ZJAB2	WGS	3964372.0	Good		53	98.7	99.4	100.0	0.5
69	470.2117	Acinetobacter baumannii strain AB967	WGS	3795032.0	Good		27	98.7	99.2	100.0	0.0
