genome.genome_id	genome.genome_name	genome.genome_status	genome.genome_length	genome.genome_quality	genome.plasmids	genome.contigs	genome.fine_consistency	genome.coarse_consistency	genome.checkm_completeness	genome.checkm_contamination
470.4285	Acinetobacter baumannii strain MBL_M11	WGS	3802156	Good		846	91.9	98.8	99	13.5
470.1385	Acinetobacter baumannii strain 421_ABAU	WGS	3516196	Good		41	98.4	99.5	88.5	2.3
470.4284	Acinetobacter baumannii strain MBL_M9	WGS	3860077	Good		488	93.1	99.2	100	9.1
470.2803	Acinetobacter baumannii strain XH690	WGS	3589477	Good		96	92.2	92.9	86.4	0
470.1381	Acinetobacter baumannii strain 1054_ABAU	WGS	3655738	Good		302	98.1	99.5	100	2.5
470.2743	Acinetobacter baumannii strain XH764	WGS	3604596	Good		168	98.1	98.7	98.9	2.6
470.3992	Acinetobacter baumannii strain AB254	WGS	3862765	Good		196	97.4	99.3	100	2.8
470.554	Acinetobacter baumannii 269	WGS	4428340	Good		254	97.9	99	98.4	2.6
470.2835	Acinetobacter baumannii strain XH687	WGS	3758971	Good		100	97	97.3	95.8	0
992402.3	Acinetobacter baumannii ABNIH1	WGS	3899186	Good	0	103	97.2	99.3	100	1
470.2828	Acinetobacter baumannii strain XH679	WGS	3758757	Good		96	96	96.5	95.5	0
470.1467	Acinetobacter baumannii strain ABBL125	WGS	3802673	Good		523	97.3	98.3	100	1.3
470.1537	Acinetobacter baumannii strain ABBL034	WGS	4046288	Good		107	97.3	98.5	99.5	1.3
903907.3	Acinetobacter baumannii OIFC0162	WGS	4078399	Good	0	55	98.1	99.3	100	0.5
470.5187	Acinetobacter baumannii strain Ab242	WGS	3890962	Good		31	98.1	99	100	0.5
470.4293	Acinetobacter baumannii strain VB23193	WGS	4083572	Good		130	98	99.4	100	0.5
470.1416	Acinetobacter baumannii strain ABBL056	WGS	4013997	Good		89	97.8	98.7	97.4	0
470.4693	Acinetobacter baumannii strain MCR6739	WGS	3539725	Good		159	98.2	98.9	98.9	0.5
470.2769	Acinetobacter baumannii strain XH838	WGS	3820023	Good		115	97.7	98.2	98.9	0.5
470.1456	Acinetobacter baumannii strain ABBL121	WGS	4063382	Good		541	97.7	98.9	98.4	0.5
1200351.3	Acinetobacter baumannii ABIsac_ColiR	WGS	3785453	Good	0	108	98.4	99.3	100	0.5
470.1432	Acinetobacter baumannii strain ABBL082	WGS	3862831	Good		328	97.9	98.6	99.5	0
470.2423	Acinetobacter baumannii strain 3027STDY5784958	Complete	4050765	Good	1	2	98.6	99.2	100	0
470.2965	Acinetobacter baumannii strain Ab36	WGS	4025375	Good		86	98.6	99.4	100	0
470.4850	Acinetobacter baumannii strain ACM-1	WGS	3730037	Good		48	98.2	98.9	100	0
1082934.5	Acinetobacter baumannii A424	WGS	3936258	Good		28	91.5	99.3	99.5	12.8
1096995.4	Acinetobacter baumannii BJAB07104	Complete	4042229	Good	2	3	98.4	99.3	100	0.3
1100846.3	Acinetobacter baumannii TYTH-6	WGS	3944163	Good		137	98.2	99.1	97.9	0
1168588.3	Acinetobacter baumannii Ab11111	WGS	4062506	Good	0	26	98.5	99.4	100	0
1216295.3	Acinetobacter baumannii 53264	WGS	3976592	Good	0	130	98.5	99.2	100	0
1221246.3	Acinetobacter baumannii AB_1583-8	WGS	3889613	Good	0	322	97.5	98.2	100	0.5
1221251.3	Acinetobacter baumannii AB_1766_8	WGS	4010535	Good	0	222	98.3	99.2	99	0
1221252.3	Acinetobacter baumannii AB_2007-09-110-01-7	WGS	3965849	Good	0	274	97.5	98.2	98.4	2.1
1221255.3	Acinetobacter baumannii AB_2008-15-34-7	WGS	3918675	Good	0	157	98.8	99.3	100	0
1221260.3	Acinetobacter baumannii AB_2008-15-71	WGS	3886101	Good	0	90	98.7	99	99.5	0
1221262.3	Acinetobacter baumannii AB_2008-23-07-01-7	WGS	3995020	Good	0	242	98.2	99.2	100	0
1221264.3	Acinetobacter baumannii AB_2009-04-02-7	WGS	3972032	Good	0	163	98.4	99.2	100	0.5
1221265.3	Acinetobacter baumannii AB_515-8	WGS	4077480	Good	0	222	98.2	99.1	100	0
1221268.3	Acinetobacter baumannii AB_908-14-7	WGS	3850665	Good	0	291	98.3	99	100	0
1221270.3	Acinetobacter baumannii AB_909-02-7	WGS	3929639	Good	0	98	98.6	99.2	100	1
1221271.3	Acinetobacter baumannii AB_909-05	WGS	4045601	Good	0	181	98.2	99	99	0
1221272.3	Acinetobacter baumannii AB_909-14-7	WGS	4006324	Good	0	584	97.9	98.7	99.5	0
1221273.3	Acinetobacter baumannii AB_TG19617	WGS	3890585	Good	0	59	98.6	99.3	100	0
1221275.3	Acinetobacter baumannii AB_TG2022	WGS	3936091	Good	0	198	98.3	99.3	100	0
1221283.3	Acinetobacter baumannii AB_TG27323	WGS	3962171	Good	0	103	98.5	99.4	100	0
1221284.3	Acinetobacter baumannii AB_TG27327	WGS	4012960	Good	0	104	98.6	99.4	100	0
1222033.3	Acinetobacter baumannii AB405E4	WGS	3653486	Good	0	139	98.2	99	99.5	1
1223564.3	Acinetobacter baumannii ZWS1122	WGS	3937258	Good	0	60	99	99.3	100	0
1224141.3	Acinetobacter baumannii ZWS1219	WGS	3964728	Good	0	70	98.9	99.3	100	0
1293574.3	Acinetobacter baumannii 48055	WGS	4049562	Good	0	135	98.7	99.3	100	0
1315135.3	Acinetobacter baumannii TG02011	WGS	4041294	Good	0	106	98.7	99.3	100	0
1315139.3	Acinetobacter baumannii TG15234	WGS	4033580	Good	0	161	98.6	99.2	100	0
