genome.genome_id	genome.genome_name	genome.genome_status	genome.genome_length	genome.genome_quality	genome.plasmids	genome.contigs	genome.fine_consistency	genome.coarse_consistency	genome.checkm_completeness	genome.checkm_contamination
1248404.4	Campylobacter jejuni subsp. jejuni BIGS0030	WGS	1607358	Good		422	95	99.9	100	10.5
32022.567	Campylobacter jejuni subsp. jejuni strain CFSAN065343	WGS	1685694	Good		37	99.6	99.8	100	0.6
32022.157	Campylobacter jejuni subsp. jejuni strain P9-2209	WGS	1656947	Good		69	99.5	99.9	100	0.3
32022.220	Campylobacter jejuni subsp. jejuni strain 14980A	Complete	1759887	Good	1	2	99.3	99.7	100	0
889255.3	Campylobacter jejuni subsp. jejuni 2008-831	WGS	1609412	Good	0	120	99.8	99.9	99.4	0
889250.3	Campylobacter jejuni subsp. jejuni 2008-1025	WGS	1661042	Good	0	139	99.9	100	100	0
1357994.3	Campylobacter jejuni subsp. jejuni 00-2425	Complete	1718980	Good	0	1	99.9	100	100	0
1380767.3	Campylobacter jejuni subsp. jejuni 00-2426	Complete	1615143	Good	0	1	99.9	100	100	0
1201032.3	Campylobacter jejuni subsp. jejuni PT14	Complete	1622145	Good	0	1	99.9	100	100	0
889221.3	Campylobacter jejuni subsp. jejuni 1997-1	WGS	1604303	Good	0	112	99.8	99.9	100	0
1383068.3	Campylobacter jejuni subsp. jejuni 00-2544	Complete	1710056	Good	1	2	99.8	99.9	100	0
32022.290	Campylobacter jejuni subsp. jejuni strain CJ504CC21	WGS	1789612	Good	1	26	99.8	99.9	100	0
32022.282	Campylobacter jejuni subsp. jejuni strain CJ501CC21	WGS	1794151	Good	1	50	99.8	99.9	100	0
32022.285	Campylobacter jejuni subsp. jejuni strain CJ500CC21	WGS	1795173	Good	1	35	99.8	99.9	100	0
32022.537	Campylobacter jejuni subsp. jejuni strain CFSAN065371	WGS	1665892	Good		34	99.8	99.9	100	0
32022.557	Campylobacter jejuni subsp. jejuni strain CFSAN065391	WGS	1670670	Good		40	99.8	99.9	100	0
32022.279	Campylobacter jejuni subsp. jejuni strain CJ069CC21	WGS	1722019	Good	1	20	99.7	99.9	100	0
32022.609	Campylobacter jejuni subsp. jejuni strain CFSAN065334	WGS	1700593	Good		22	99.7	99.8	100	0
32022.610	Campylobacter jejuni subsp. jejuni strain CFSAN065333	WGS	1701738	Good		21	99.7	99.8	100	0
32022.549	Campylobacter jejuni subsp. jejuni strain CFSAN065319	WGS	1721410	Good		48	99.7	99.9	100	0
32022.595	Campylobacter jejuni subsp. jejuni strain CFSAN065354	WGS	1758887	Good		21	99.7	99.9	100	0
32022.148	Campylobacter jejuni subsp. jejuni strain 00-0949	Complete	1831013	Good	2	3	99.6	99.9	100	0
32022.559	Campylobacter jejuni subsp. jejuni strain CFSAN065387	WGS	1728151	Good		35	99.6	99.8	100	0
32022.629	Campylobacter jejuni subsp. jejuni strain CFSAN065305	WGS	1758306	Good		37	99.6	99.7	100	0
32022.635	Campylobacter jejuni subsp. jejuni strain CFSAN065298	WGS	1797604	Good		35	99.6	99.7	100	0
32022.223	Campylobacter jejuni subsp. jejuni strain MTVDSCj16	Complete	1785310	Good		1	99.5	99.7	100	0
360111.4	Campylobacter jejuni subsp. jejuni CF93-6	WGS	1676304	Good	0	14	99.4	99.8	100	0
1248401.4	Campylobacter jejuni subsp. jejuni BIGS0014	WGS	1543877	Good		324	98.2	99.6	99.3	5.2
1385723.3	Campylobacter jejuni subsp. jejuni NCTC 11168-Kf1	Complete	1641480	Good		1	99.9	100	100	0
