	genome_id	resistant_phenotype
215178	485.291	1
215180	485.292	1
215182	485.511	1
215184	485.294	1
215186	485.295	1
215188	485.512	1
215190	485.513	1
215192	485.298	1
215194	485.301	1
215196	485.514	1
215198	485.299	1
215200	485.515	1
215202	485.518	1
215204	485.517	1
215206	485.305	1
215208	485.520	1
215210	485.307	1
215212	485.519	1
215214	485.516	1
215216	485.311	1
215218	485.521	1
215220	485.312	1
215222	485.313	1
215224	485.314	1
215226	485.523	1
215228	485.317	0
215230	485.316	1
215232	485.318	1
215234	485.322	1
215236	485.319	1
215238	485.320	1
215240	485.324	1
215242	485.323	1
215244	485.321	1
215246	485.325	1
215248	485.522	1
215250	485.524	1
215252	485.525	1
215254	485.528	1
215256	485.527	1
215258	485.526	1
215260	485.331	1
215262	485.333	1
215264	485.529	1
215266	485.530	1
215268	485.531	1
215270	485.532	1
215272	485.533	1
215274	485.339	1
215276	485.340	1
215278	485.341	1
215280	485.342	1
215282	485.534	1
215284	485.345	1
215286	485.344	1
215290	485.347	1
215292	485.348	0
215294	485.349	1
215296	485.535	1
215298	485.536	1
215300	485.537	1
215304	485.354	1
215306	485.355	1
215308	485.356	1
215310	485.357	1
215312	485.358	1
215314	485.359	1
215316	485.539	1
215318	485.540	1
215320	485.362	1
215322	485.363	1
215324	485.364	1
215326	485.365	1
215330	485.542	1
215332	485.368	1
215334	485.543	1
215336	485.544	1
215338	485.545	1
215340	485.372	1
215342	485.373	1
215344	485.546	1
215347	485.547	1
215349	485.548	1
215351	485.549	1
215353	485.378	1
215355	485.380	1
215357	485.550	1
215359	485.551	1
215361	485.383	1
215365	485.385	1
215367	485.386	1
215369	485.387	1
215371	485.388	1
215373	485.552	1
215375	485.390	1
215377	485.391	1
215379	485.392	1
215381	485.393	1
215383	485.394	1
215385	485.553	1
215387	485.554	1
215391	485.396	1
215393	485.556	1
215395	485.557	1
215399	485.559	1
215401	485.560	1
215403	485.406	1
215405	485.405	1
215407	485.404	1
215409	485.561	1
215411	485.408	1
215413	485.409	0
215415	485.410	1
215417	485.411	1
215419	485.562	1
215421	485.563	1
215423	485.564	1
215425	485.414	1
215427	485.415	0
215429	485.565	1
215431	485.566	1
215433	485.567	1
215435	485.420	1
215436	485.421	1
215437	485.422	1
215438	485.423	1
215440	485.568	1
215441	485.425	1
215442	485.569	1
215443	485.427	1
215444	485.428	1
215445	485.570	1
215447	485.571	1
215448	485.431	1
215450	485.572	1
215452	485.433	1
215454	485.434	1
215456	485.436	1
215458	485.435	1
215460	485.573	1
215462	485.574	1
215464	485.575	1
215466	485.440	1
215468	485.441	1
215470	485.442	1
215472	485.443	1
215474	485.576	1
215476	485.577	1
215478	485.446	1
215480	485.447	1
215482	485.448	1
215484	485.449	1
215486	485.450	1
215488	485.453	1
215490	485.578	1
215491	485.579	1
215493	485.580	1
215495	485.581	1
215497	485.582	1
215499	485.584	1
215501	485.458	1
215504	485.461	1
215506	485.460	1
215508	485.585	1
215510	485.586	1
215512	485.464	1
215514	485.587	1
215516	485.466	1
215518	485.467	1
215520	485.588	0
215522	485.589	1
215524	485.470	1
215526	485.472	1
215528	485.471	1
215530	485.473	1
215532	485.474	1
215534	485.475	1
215536	485.476	1
215538	485.477	1
215540	485.478	1
215541	485.590	1
215543	485.591	1
215545	485.592	1
215547	485.593	1
215549	485.483	1
215551	485.594	1
215553	485.595	1
215555	485.486	1
215557	485.487	1
215559	485.596	1
215561	485.488	1
215563	485.597	1
215565	485.598	1
215567	485.599	1
215569	485.495	1
215571	485.600	1
215573	485.494	1
215575	485.496	1
215577	485.498	1
215579	485.601	1
215581	485.602	0
215583	485.500	1
215585	485.502	1
215587	485.497	1
215589	485.506	1
215591	485.507	1
215606	485.699	0
215613	485.696	0
215620	485.698	0
215627	485.697	0
215735	485.700	0
215742	485.701	0
215748	485.703	0
215756	485.702	0
215764	485.705	0
215770	485.704	0
215778	485.706	0
215785	485.707	0
215791	485.708	0
215798	485.709	0
215804	485.710	1
215811	485.711	0
215818	485.712	0
215834	485.714	0
215842	485.715	0
215850	485.716	0
215858	485.717	0
215866	485.718	0
215874	485.720	0
215882	485.719	0
215890	485.721	0
215898	485.722	0
215905	485.723	0
215913	485.724	0
215919	485.725	0
215925	485.726	0
215933	485.727	0
215941	485.728	0
215947	485.729	0
215955	485.730	0
215963	485.731	0
215971	485.732	0
215979	485.733	0
215986	485.734	0
215993	485.735	0
216000	485.736	0
216007	485.737	0
216014	485.738	0
216020	485.739	0
216027	485.740	0
216034	485.741	0
216041	485.742	0
216049	485.743	0
216057	485.744	0
216063	485.745	0
216071	485.746	0
216079	485.747	0
216086	485.748	0
216093	485.749	0
216099	485.750	1
216106	485.751	0
216112	485.752	1
216120	485.753	0
216126	485.754	0
216134	485.755	0
216140	485.756	0
216146	485.757	0
216154	485.758	0
216162	485.759	0
216168	485.760	0
216176	485.761	0
216184	485.762	0
216192	485.763	0
216206	485.765	0
216214	485.766	0
216222	485.771	0
216230	485.769	0
216238	485.770	0
216246	485.768	1
216253	485.767	0
216269	485.773	0
216276	485.774	0
216284	485.775	0
216292	485.776	0
216298	485.780	0
216306	485.779	0
216314	485.777	0
216322	485.778	0
216330	485.781	0
216338	485.782	0
216346	485.784	0
216354	485.783	0
216362	485.785	0
216368	485.787	0
216376	485.788	0
216384	485.790	0
216390	485.789	0
216397	485.786	0
216404	485.791	0
216411	485.792	0
216419	485.793	0
216427	485.794	0
216434	485.795	0
216441	485.796	0
216447	485.797	0
216455	485.798	0
216463	485.800	0
216471	485.799	0
216479	485.801	0
216487	485.802	0
216493	485.803	0
216501	485.804	0
216509	485.805	0
216517	485.806	0
216525	485.807	0
216533	485.808	0
216541	485.809	0
216549	485.810	0
216557	485.811	0
216564	485.812	0
216572	485.813	0
216578	485.814	0
216584	485.815	0
216590	485.816	0
216598	485.817	0
216606	485.818	0
216614	485.819	0
216622	485.820	0
216628	485.821	0
216636	485.822	1
216642	485.823	0
216650	485.824	0
216658	485.825	0
216666	485.826	0
216674	485.827	0
216682	485.828	0
216690	485.829	0
216698	485.830	0
216706	485.831	0
216714	485.832	0
216722	485.833	0
216730	485.834	0
216738	485.835	0
216744	485.836	0
216752	485.837	0
216758	485.838	0
216766	485.839	0
216774	485.840	0
216781	485.841	0
216789	485.842	0
216796	485.843	0
216803	485.844	0
216809	485.845	0
216815	485.846	0
216823	485.847	0
216830	485.848	0
216837	485.849	0
216844	485.850	0
216852	485.851	0
216860	485.852	0
216867	485.853	0
216875	485.854	0
216883	485.855	0
216891	485.856	0
216899	485.857	0
216907	485.858	1
216914	485.859	0
216922	485.860	0
216930	485.861	0
216938	485.862	0
216946	485.863	0
216954	485.864	0
216970	485.865	0
216989	485.866	0
220207	485.867	0
220215	485.868	0
220223	485.869	0
220231	485.870	0
220239	485.871	0
220247	485.873	0
220255	485.874	0
