genome.genome_id	genome.genome_name	genome.genome_status	genome.genome_length	genome.genome_quality	genome.plasmids	genome.contigs	genome.fine_consistency	genome.coarse_consistency	genome.checkm_completeness	genome.checkm_contamination
624.633	Shigella sonnei strain 521_SSON	WGS	6075253	Good		487	95.8	99.5	93.1	13.8
624.146	Shigella sonnei strain KY 913	WGS	4744695	Good		564	95.9	99.2	98.7	3.8
624.1183	Shigella sonnei strain 4303	WGS	4532602	Good	1	432	92.9	99.3	99	9.5
624.72	Shigella sonnei strain 546_SSON	WGS	5102477	Good		83	97.8	99	84.7	10
624.133	Shigella sonnei strain 35401ss_1	WGS	4539316	Good		363	96.6	98.8	98.6	0.3
624.400	Shigella sonnei strain 30901ss_1	WGS	4549243	Good		369	96	98.2	99.2	1
624.317	Shigella sonnei strain KY 834	WGS	4765359	Good		552	96.5	99.4	100	1.7
624.1213	Shigella sonnei strain FC653	WGS	4543040	Good		507	97.2	99.7	100	1.9
624.559	Shigella sonnei strain 99040	WGS	4645909	Good		503	96.9	99.4	100	2.1
624.391	Shigella sonnei strain 98274	WGS	4791195	Good		658	95.9	99.6	100	2.9
624.1267	Shigella sonnei strain PK-01	WGS	4650749	Good		645	95.7	99.4	100	3.2
624.701	Shigella sonnei strain CDPH_C20	WGS	4450113	Good		635	96.5	99.7	100	4.1
624.808	Shigella sonnei strain 2090STDY5461801	WGS	4600536	Good		439	97.7	99.5	99.3	0.7
624.1418	Shigella sonnei strain 4028STDY6275229 strain H121960406	WGS	4505579	Good		371	97.8	99.6	99	0.7
624.295	Shigella sonnei strain sh02-7265	WGS	4660070	Good		382	98	99.7	100	1
624.776	Shigella sonnei strain 2090STDY5461776	WGS	4629681	Good		402	97.9	99.7	100	1
624.782	Shigella sonnei strain 2090STDY5461798	WGS	4637681	Good		456	97.6	99.7	100	1.1
624.746	Shigella sonnei strain CDPH_C92	WGS	4498290	Good		439	98.2	99.8	98.4	1
624.734	Shigella sonnei strain CDPH_C42	WGS	4723548	Good		560	97.7	99.7	100	1.3
624.723	Shigella sonnei strain CDPH_C41	WGS	4612091	Good		484	97.4	99.7	98.4	1
624.742	Shigella sonnei strain CDPH_C17	WGS	4486939	Good		535	96.8	99.8	100	1.3
624.227	Shigella sonnei strain 144555	WGS	4089977	Good		161	95.7	97	94.5	0
624.195	Shigella sonnei strain 52001ss_1	WGS	4767279	Good		403	96.9	98.8	98	1
624.797	Shigella sonnei strain 2090STDY5461796	WGS	4778897	Good		466	98.2	99.6	100	1.9
624.194	Shigella sonnei strain sh02-8933	WGS	4646761	Good		381	97.6	99.7	99.7	0.3
624.1156	Shigella sonnei strain sh1439	WGS	4605582	Good		378	98.4	99.7	100	0.6
624.796	Shigella sonnei strain 2090STDY5461752	WGS	4646255	Good		442	98.2	99.6	100	0.6
624.694	Shigella sonnei strain CDPH_C14	WGS	4626583	Good		630	96.8	99.6	100	0.3
624.858	Shigella sonnei strain 2090STDY5461862	WGS	4662967	Good		483	98.1	99.6	100	0.6
624.670	Shigella sonnei strain CDPH_C115	WGS	4618908	Good		417	98	99.8	100	0.6
624.713	Shigella sonnei strain CDPH_C112	WGS	4528095	Good		417	98	99.8	100	0.6
624.622	Shigella sonnei strain sh03-0995	WGS	4535859	Good		367	98	99.7	98.4	0.3
624.1564	Shigella sonnei strain 4028STDY6275259 strain H133720576	WGS	4640944	Good		360	97.9	99.7	100	0.6
624.1523	Shigella sonnei strain 4028STDY6275188 strain H104640195	WGS	4491878	Good		372	97.9	99.7	100	0.6
624.1630	Shigella sonnei strain 4028STDY6275212 strain H113440502	WGS	4549403	Good		372	97.9	99.6	100	0.6
624.1448	Shigella sonnei strain 4028STDY6275284 strain H143260594	WGS	4755092	Good		373	97.8	99.6	100	0.6
624.806	Shigella sonnei strain 2090STDY5461799	WGS	4687634	Good		476	97.6	99.7	100	0.6
624.865	Shigella sonnei strain 2090STDY5461870	WGS	4489710	Good		364	98.1	99.7	97.7	0.3
624.818	Shigella sonnei strain 2090STDY5461811	WGS	4688682	Good		378	98.3	99.7	100	0.3
624.810	Shigella sonnei strain 2090STDY5461817	WGS	4794518	Good		509	98.3	99.7	100	0.3
624.346	Shigella sonnei strain 99382	WGS	4793124	Good		386	98.2	99.6	100	0.3
624.426	Shigella sonnei strain 201405327_1	WGS	4749549	Good		399	98.2	99.6	100	0.3
624.460	Shigella sonnei strain 201405079_1	WGS	4769584	Good		394	98.2	99.6	100	0.3
624.738	Shigella sonnei strain CDPH_C126	WGS	4540516	Good		465	98.2	99.8	100	0.3
624.1182	Shigella sonnei strain 2090STDY5461810	WGS	4691220	Good		374	98.2	99.7	100	0.3
624.820	Shigella sonnei strain 2090STDY5461822	WGS	4699846	Good		376	98.2	99.7	100	0.3
624.1091	Shigella sonnei strain sh1428	WGS	4524916	Good		365	98.2	99.6	100	0.3
624.792	Shigella sonnei strain 2090STDY5461781	WGS	4613800	Good		417	98.2	99.7	100	0.3
624.783	Shigella sonnei strain 2090STDY5461784	WGS	4675938	Good		401	98.2	99.7	100	0.3
624.955	Shigella sonnei strain sh1354	WGS	4703708	Good		408	98.2	99.7	100	0.3
624.1145	Shigella sonnei strain sh1355	WGS	4764727	Good		417	98.2	99.7	100	0.3
624.1125	Shigella sonnei strain sh1383	WGS	4816908	Good		422	98.2	99.7	100	0.3
