genome.genome_id	genome.genome_name	genome.genome_status	genome.genome_length	genome.genome_quality	genome.plasmids	genome.contigs	genome.fine_consistency	genome.coarse_consistency	genome.checkm_completeness	genome.checkm_contamination
1313.8460	Streptococcus pneumoniae strain 2842STDY5753514	WGS	2292366	Good		216	97	99.9	88.4	9.5
1313.15771	Streptococcus pneumoniae strain NTPn 158					285	98.5	99.3	98.6	2.1
1313.9424	Streptococcus pneumoniae strain 09	WGS	1995770	Good		64	99.4	100	100	2.7
1313.6330	Streptococcus pneumoniae strain 0212	WGS	2159257	Good		103	98.2	99.4	99.4	2.6
1313.15897	Streptococcus pneumoniae strain UoS5181	WGS	2025442	Good		66	98.3	99.4	100	2.9
1313.9425	Streptococcus pneumoniae strain 3298	WGS	1997306	Good		76	99.1	100	100	3.5
1313.6814	Streptococcus pneumoniae strain 34	WGS	2099887	Good		81	98.7	99.8	99.7	1
1313.5438	Streptococcus pneumoniae strain 0409	WGS	2145044	Good		106	99.1	99.6	100	1.2
1313.6824	Streptococcus pneumoniae strain 23F	WGS	2143759	Good		179	98.5	99.4	100	1.1
869312.3	Streptococcus pneumoniae SPN033038	Complete	2133496	Good	0	1	98.5	99.5	100	1.2
1313.5848	Streptococcus pneumoniae strain 0216	WGS	2119985	Good		96	99	99.4	99.4	1.2
1313.6781	Streptococcus pneumoniae strain 0407	WGS	2159519	Good		126	98.9	99.3	99.5	1.2
1313.6112	Streptococcus pneumoniae strain 0272	WGS	2128457	Good		87	98.7	99.3	99.5	1.2
1313.5873	Streptococcus pneumoniae strain 0279	WGS	2142411	Good		85	98.7	99.3	99.4	1.2
1313.5475	Streptococcus pneumoniae strain 255210	WGS	2160291	Good		206	98.9	99.3	99.5	1.3
1313.6776	Streptococcus pneumoniae strain 0315	WGS	2132746	Good		87	98.9	99.3	99.5	1.3
1313.6405	Streptococcus pneumoniae strain 111_81	WGS	2108398	Good		150	99	99.6	98.8	1.2
1313.16021	Streptococcus pneumoniae strain NCTC11888	WGS	2230670	Good		5	98.6	99.6	100	1.4
1313.6783	Streptococcus pneumoniae strain 0178	WGS	2107661	Good		111	99.1	99.5	98.4	1.2
