genome.genome_id	genome.genome_name	genome.genome_status	genome.genome_length	genome.genome_quality	genome.plasmids	genome.contigs	genome.fine_consistency	genome.coarse_consistency	genome.checkm_completeness	genome.checkm_contamination
1352.2734	Enterococcus faecium strain ET13_17	WGS	3010461	Good		238	96.3	98.5	100	1.8
1352.2713	Enterococcus faecium strain 993	WGS	2863054	Good		355	96.2	98.1	100	1.8
1352.4054	Enterococcus faecium strain HY07	Complete	2865999	Good	2	3	97.3	99	100	2.4
1352.2733	Enterococcus faecium strain ET14_17	WGS	2981739	Good		227	96.5	98.7	100	2.7
1244152.4	Enterococcus faecium SB2C-2	WGS	2928432	Good	0	228	98.4	99.5	93.6	2
1352.743	Enterococcus faecium strain U-1313438	WGS	3302684	Good		170	95.9	98.7	100	3.5
1352.1424	Enterococcus faecium strain Hp_7-6	WGS	2983423	Good		540	95.3	98.3	99.1	3.6
1352.1643	Enterococcus faecium strain 2014-VREF-114	Complete	3255197	Good	6	7	97.3	98.7	100	0.9
1352.3633	Enterococcus faecium strain E64	WGS	2987629	Good		169	97.2	99	100	0.9
1352.1641	Enterococcus faecium strain VREF	Complete	3280732	Good	4	5	96.8	98.7	100	0.9
1352.488	Enterococcus faecium strain KACC16093	WGS	2585280	Good		96	96.7	98.2	95.4	0
1352.388	Enterococcus faecium 70-40-11	WGS	2599418	Good		126	97.3	98.6	99.1	0.9
1352.3411	Enterococcus faecium strain VREF001					185	97	98.8	100	1.5
1352.483	Enterococcus faecium strain KACC15960	WGS	2692229	Good		94	96.7	97.9	99.1	0
1352.1625	Enterococcus faecium strain 97-7_S6	WGS	3101372	Good		287	97	98.7	100	0
1352.3408	Enterococcus faecium strain VREF005					190	96.8	98.9	100	0
1352.2717	Enterococcus faecium strain Hp_7-8	WGS	2891257	Good		175	96.7	98.7	100	0
1352.383	Enterococcus faecium 70-7-8	WGS	2476044	Good		65	97.5	98.7	100	0
1352.2706	Enterococcus faecium strain FDAARGOS_374	WGS	2685083	Good		2	97.5	98.7	100	0
1352.2719	Enterococcus faecium strain Hp_5-10	WGS	2840193	Good		77	97.2	98.5	100	0
1134809.3	Enterococcus faecium 510	WGS	2897989	Good	0	246	96.7	98.7	100	0
1134810.3	Enterococcus faecium 511	WGS	2952175	Good	0	315	97	98.7	100	0
1134812.3	Enterococcus faecium 514	WGS	2935362	Good	0	322	96.9	98.7	100	0
1134813.3	Enterococcus faecium 515	WGS	2879535	Good	0	267	97.1	98.4	100	0
1134816.3	Enterococcus faecium C621	WGS	2913084	Good	0	267	97.1	98.7	100	0
1134817.3	Enterococcus faecium E417	WGS	2889316	Good	0	217	96.9	98.5	100	0
1134821.3	Enterococcus faecium ERV161	WGS	2798511	Good	0	232	97.1	98.4	100	0
1134823.3	Enterococcus faecium ERV168	WGS	2988218	Good	0	245	97.3	98.8	100	0
1134827.3	Enterococcus faecium ERV99	WGS	2751553	Good	0	245	97.2	98.7	100	0
1134828.3	Enterococcus faecium P1123	WGS	2978675	Good	0	377	96.9	98.5	100	0
1134829.3	Enterococcus faecium P1137	WGS	2754598	Good	0	216	97.1	98.5	100	0
1134830.3	Enterococcus faecium P1139	WGS	2989195	Good	0	346	96.9	98.5	100	0
1134831.3	Enterococcus faecium P1140	WGS	2914111	Good	0	249	97.2	98.7	100	0
1134833.3	Enterococcus faecium P1986	WGS	2989933	Good	0	333	97	98.4	100	0
1134835.3	Enterococcus faecium R494	WGS	2852630	Good	0	237	96.9	98.6	100	0
1134837.3	Enterococcus faecium R497	WGS	2988945	Good	0	384	96.8	98.5	99.1	0.9
1134838.3	Enterococcus faecium R499	WGS	2851576	Good	0	234	97	98.3	100	0
1138880.3	Enterococcus faecium E0045	WGS	2611874	Good	0	81	97.2	98.4	100	0
1138882.3	Enterococcus faecium E0164	WGS	2592445	Good	0	78	97.4	98.5	100	0.9
1138895.3	Enterococcus faecium E1552	WGS	2599539	Good	0	30	97.3	98.6	100	0.9
1138900.3	Enterococcus faecium E1578	WGS	2663393	Good	0	29	97.4	98.5	100	0
1138904.3	Enterococcus faecium E1620	WGS	2468918	Good	0	91	97.5	98.6	99.1	0
1138906.3	Enterococcus faecium E1623	WGS	2796571	Good	0	35	97.2	98.4	100	1.5
1138910.3	Enterococcus faecium E1634	WGS	2608082	Good	0	25	97.3	98.4	100	0.9
1138914.3	Enterococcus faecium E1861	WGS	2774929	Good	0	25	97	98.4	100	0
1138915.3	Enterococcus faecium E1904	WGS	3081103	Good	0	138	97.1	98.4	100	1.8
1138916.3	Enterococcus faecium E1972	WGS	2886498	Good	0	35	96.8	98.5	100	0.9
1138917.3	Enterococcus faecium E2039	WGS	2908349	Good	0	34	97	98.5	100	0
1138918.3	Enterococcus faecium E2071	WGS	2694238	Good	0	32	97.3	98.7	100	0.9
1138931.3	Enterococcus faecium E1644	WGS	2892458	Good	0	67	96.9	98.4	100	0
1138932.3	Enterococcus faecium E2369	WGS	2927142	Good	0	67	96.6	98.2	100	0
1138934.3	Enterococcus faecium E4389	WGS	2896636	Good	0	61	97.3	98.7	100	0
1155766.14	Enterococcus faecium Aus0004	Complete	3011814	Good	1	2	97.2	98.7	100	0
1157425.3	Enterococcus faecium 841V03	WGS	2654019	Good	0	34	97.3	98.6	100	0
1157445.3	Enterococcus faecium H17494	WGS	2768469	Good	0	30	97.1	98.5	100	0.9
1157446.3	Enterococcus faecium H17575	WGS	2607004	Good	0	28	97.3	98.6	100	0
1157453.3	Enterococcus faecium UAA714	WGS	2796467	Good	0	51	97.2	98.4	100	0
1157455.3	Enterococcus faecium UAA716	WGS	2692604	Good	0	54	97.6	98.7	100	0
1157458.3	Enterococcus faecium UAA720	WGS	2865803	Good	0	62	97.1	98.5	100	0
